name,group,Great Circle Distance from London,Total exports from UK
Afghanistan,grp0,5703.078853,0.429
Albania,grp0,1884.698571,0.034
Algeria,grp0,1655.393182,0.595
Andorra,grp0,1007.310259,0.079
Angola,grp0,6828.544276,0.706
Antigua and Barbuda,grp0,6590.049511,0.024
Argentina,grp0,11133.08523,0.615
Armenia,grp0,3604.664531,0.024
Aruba,grp0,7542.021306,0.027
Australia,grp3,16975.3257,8.607
Austria,grp0,1226.671104,3.012
Azerbaijan,grp0,3963.41196,0.64
Bahamas,grp0,6998.067555,0.125
Bahrain,grp0,5064.644778,0.594
Bangladesh,grp0,7993.652453,0.575
Barbados,grp0,6787.369162,0.128
Belarus,grp0,1864.031148,0.064
Belgium,grp1,311.6937236,15.854
Belize,grp0,8430.980708,0.06
Benin,grp0,5011.860995,0.021
Bermuda,grp0,5564.52281,1.358
Bolivia,grp0,10006.50722,0.032
Bosnia and Herzegovina,grp0,1611.553144,0.169
Botswana,grp0,8838.505234,0.201
Brazil,grp0,8796.456156,3.004
British Virgin Islands,grp0,6668.455449,0.761
Brunei,grp0,11257.69024,0.322
Bulgaria,grp0,2005.663117,0.684
Burkina Faso,grp0,4355.440182,0.018
Burma,grp0,8709.08205,0.137
Cambodia,grp0,10007.72535,0.033
Cameroon,grp0,5402.925825,0.126
Canada,grp0,5369.656793,8.317
Cayman Islands,grp0,7751.045455,1.944
Chad,grp0,4586.906172,0.004
Chile,grp0,11679.64895,0.792
China,grp2,8135.793693,16.807
Colombia,grp0,8510.616901,0.522
Congo,grp0,6368.099917,0.389
Costa Rica,grp0,8737.08017,0.083
Côte d'Ivoire,grp0,4991.998046,0.222
Croatia,grp0,1328.871164,0.281
Cuba,grp0,7499.117256,0.041
Cyprus,grp0,3210.235405,1.055
Czech Republic,grp0,1025.507332,3.1
Dem. Rep. of the Congo,grp0,6374.200815,0.048
Denmark,grp0,948.5165875,5.782
Dominica,grp0,6714.837018,0.01
Dominican Republic,grp0,7029.788205,0.124
East Timor,grp0,13158.11297,0.003
Ecuador,grp0,9234.676007,0.067
Egypt,grp0,3503.053099,1.993
El Salvador,grp0,8768.097943,0.024
Equatorial Guinea,grp0,5371.369244,0.067
Eritrea,grp0,5296.030848,0
Estonia,grp0,1776.960507,0.292
Ethiopia,grp0,5890.935268,0.225
Falkland Islands,grp0,12689.23753,0.103
Fiji,grp0,16302.00554,0.166
Finland,grp0,1814.923661,2.7
France,grp1,338.8313661,33.848
Gabon,grp0,5753.41339,0.042
Gambia,grp0,4484.779459,0.025
Georgia,grp0,3530.487379,0.136
Germany,grp1,922.7627513,49.123
Ghana,grp0,5109.437077,1.017
Gibraltar,grp0,1760.946398,4.375
Greece,grp0,2384.8057,1.812
Grenada,grp0,7022.808405,0.014
Guatemala,grp0,8777.256404,0.036
Guernsey,grp0,290.2547552,9.701
Guinea,grp0,4829.199433,0.039
Guyana,grp0,7254.760569,0.082
Honduras,grp0,8592.705403,0.017
Hong Kong,grp0,9617.903575,8.815
Hungary,grp0,1441.690742,1.939
Iceland,grp0,1889.494574,0.786
India,grp0,6703.840888,5.741
Indonesia,grp0,11709.08473,0.967
Iran,grp0,4388.412298,0.262
Iraq,grp0,4079.741008,0.474
Ireland,grp1,470.5924577,26.675
Isle of Man,grp0,420.0566426,1.742
Israel,grp0,3573.058663,2.093
Italy,grp1,1427.213315,17.313
Jamaica,grp0,7546.251268,0.086
Japan,grp0,9557.12288,12.482
Jersey,grp0,298.2524761,7.413
Jordan,grp0,3634.989885,0.434
Kazakhstan,grp0,4759.377678,2.889
Kenya,grp0,6812.567564,0.611
Kiribati,grp0,14092.26517,0
Kosovo,grp0,1869.423971,0.004
Kuwait,grp0,4633.606687,1.643
Kyrgyzstan,grp0,5467.384432,0.025
Lao People`s Democratic Republic,grp0,9292.657884,0.011
Latvia,grp0,1669.06239,0.354
Lebanon,grp0,3448.901543,0.474
Lesotho,grp0,9378.991333,0.006
Liberia,grp0,5122.961375,0.031
Libya,grp0,2327.987249,0.275
Liechtenstein,grp0,842.9351224,0.06
Lithuania,grp0,1714.857888,0.54
Luxembourg,grp0,481.6817532,2.59
Macao,grp0,9594.14228,0.084
Macedonia,grp0,1933.470945,1.296
Madagascar,grp0,9087.852519,0.019
Malawi,grp0,7978.74089,0.029
Malaysia,grp0,10538.2996,2.096
Maldives,grp0,8508.413334,0.027
Mali,grp0,4379.613767,0.03
Malta,grp0,2083.904874,1.092
Marshall islands,grp0,13448.11883,0.768
Mauritania,grp0,3970.136827,0.017
Mauritius,grp0,9724.496721,0.215
Mexico,grp0,8937.372975,1.902
Moldova,grp0,2138.579976,0.072
Mongolia,grp0,6965.737012,0.024
Montenegro,grp0,1767.097188,0.016
Morocco,grp0,2019.263852,1.036
Mozambique,grp0,9185.149388,0.09
Namibia,grp0,8403.379799,0.07
Nauru,grp0,14216.1134,0
Nepal,grp0,7324.75083,0.098
Netherlands,grp1,349.5057092,31.022
New Zealand,grp3,18811.00024,1.294
Nicaragua,grp0,8696.320759,0.034
Niger,grp0,4227.510937,0.012
Nigeria,grp0,4766.149599,2.146
Norway,grp0,1152.810943,5.676
Oman,grp0,5810.56595,1.447
Pakistan,grp0,6025.960053,1.038
Panama,grp0,8494.481124,0.196
Papua New Guinea,grp0,14474.93186,0.261
Paraguay,grp0,10213.21555,0.036
Peru,grp0,10176.83072,0.223
Philippines,grp0,10729.6899,0.531
Poland,grp0,1439.856959,5.883
Portugal,grp0,1590.986859,2.289
