date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c,adjusted2,adjusted1
Jun-09,-70,,,,62,,,,174,,,,,118
Dec-09,-44,,,,58,,,,184,,,,,93
Mar-10,-34,,,,58,,,,199,,,,,92
Jun-10,-33,,,,72,,,,196,,,,,107
Sep-10,-44,,,,81,,,,218,,,,,116
Dec-10,-43,,,,77,,,,217,,,,,112
Mar-11,-50,,,,77,,,,215,,,,,124
Jun-11,-55,,,,79,,,,222,,,,,127
Sep-11,-60,,,,75,,,,228,,,,,122
Dec-11,-70,,,,82,,,,204,,,,,126
Mar-12,-77,,,,76,,,,185,,,,,116
Jun-12,-76,,,,72,,,,172,,,,,112
Sep-12,-72,,,,65,,,,160,,,,,105
Dec-12,-63,,,,82,,,,157,,,,126,113
Mar-13,-65,,,,95,,,,145,,,,113,123
Jun-13,-63,,,,106,,,,139,,,,108,134
Sep-13,-58,,,,130,,,,138,,,,107,158
Dec-13,-57,,,,123,,,,142,,,,119,151
Mar-14,-50,,,,130,,,,156,,,,132,160
Jun-14,-48,,,,138,,,,164,,,,139,168
Sep-14,-54,,,,158,,,,188,,,,164,189
Dec-14,-55,,,,174,,,,194,,,,166,205
Mar-15,-48,,,,184,,,,200,,,,172,219
Jun-15,-46,,,,180,,,,202,,,,174,215
Sep-15,-40,,,,171,,,,192,,,,163,206
Dec-15,-40,,,,184,,,,189,,,,164,218
Mar-16,-43,,,,178,,,,193,,,,168,207
Jun-16,-49,,,,189,,,,196,,,,171,
Sep-16,-56,,,,165,,,,197,,,,172,
Dec-16,-60,,,,133,,,,208,,,,188,
Mar-17,-59,,,,123,,,,212,,,,192,
Jun-17,-48,,,,103,,,,204,,,,184,
Sep-17,-51,,,,106,,,,222,,,,203,
Dec-17,-48,,,,99,,,,234,,,,208,
Mar-18,-55,,,,85,,,,237,,,,211,
Jun-18,-48,,,,74,,,,250,,,,224,
Sep-18,-35,,,,57,,,,262,,,,236,
Dec-18,-48,,,,75,,,,232,,,,214,
Mar-19,-52,,,,59,,,,238,,,,219,
