date,UK,England,Wales,Scotland,Northern Ireland
1981,2185.3,2155.7,2259.7,2406.0,2285.8
1982,2176.3,2147.7,2250.3,2425.7,2154.1
1983,2151.1,2123.5,2243.0,2355.6,2209.8
1984,2074.4,2048.3,2104.7,2293.9,2160.9
1985,2126.9,2103.7,2198.3,2313.3,2136.7
1986,2065.8,2036.7,2089.8,2312.7,2176.3
1987,1971.5,1942.2,2007.3,2229.5,2028.2
1988,1962.9,1936.0,1969.7,2194.1,2089.1
1989,1967.6,1934.0,1986.6,2269.4,2067.6
1990,1903.7,1878.3,1929.7,2115.0,2000.9
1991,1892.8,1873.4,1895.4,2079.0,1898.7
1992,1831.4,1807.1,1825.1,2075.6,1851.7
1993,1874.8,1843.3,1914.2,2154.9,1922.0
1994,1766.4,1742.7,1781.1,1978.3,1819.0
1995,1780.3,1754.4,1852.2,1976.7,1834.7
1996,1747.4,1720.1,1779.9,1987.9,1795.1
1997,1702.2,1677.1,1771.6,1904.7,1711.6
1998,1666.3,1644.3,1674.3,1866.3,1712.9
1999,1649.3,1618.3,1717.0,1892.6,1751.6
2000,1579.2,1554.8,1624.7,1776.8,1641.6
2001,1532.5,1508.1,1569.6,1734.6,1597.3
2002,1520.6,1494.0,1539.7,1776.8,1549.6
2003,1507.6,1476.8,1572.1,1785.2,1537.2
2004,1424.5,1397.0,1461.5,1673.6,1474.0
2005,1390.8,1364.5,1432.8,1619.1,1444.9
2006,1346.5,1321.9,1366.1,1562.4,1433.8
2007,1324.9,1293.1,1393.3,1577.5,1439.2
2008,1314.0,1286.6,1372.9,1524.7,1416.4
2009,1249.8,1225.9,1290.5,1450.3,1316.8
2010,1222.2,1197.1,1271.4,1423.8,1298.6
2011,1179.8,1154.1,1247.6,1377.7,1249.6
2012,1178.1,1154.7,1236.9,1356.1,1252.4
2013,1176.2,1152.5,1253.0,1346.1,1251.2
2014,1138.0,1116.6,1196.0,1309.5,1168.0
2015,1176.2,1151.8,1231.9,1372.3,1237.1
2016,1145.9,1122.4,1227.3,1326.5,1177.6
