Liability,Asset,Y2014
Turnover was substantially lower than normal,Turnover was substantially lower than normal,743
Turnover was substantially lower than normal,Turnover was a little lower than normal,83
Turnover was substantially lower than normal,Not sure,17
Turnover was substantially lower than normal,Turnover was a little higher than normal,8
Turnover was substantially lower than normal,Turnover was substantially higher than normal,6
Turnover was a little lower than normal,Turnover was substantially lower than normal,161
Turnover was a little lower than normal,Turnover was a little lower than normal,122
Turnover was a little lower than normal,Not sure,12
Turnover was a little lower than normal,Turnover was a little higher than normal,0
Turnover was a little lower than normal,Turnover was substantially higher than normal,3
Not sure,Turnover was substantially lower than normal,3
Not sure,Turnover was a little lower than normal,2
Not sure,Not sure,6
Not sure,Turnover was a little higher than normal,0
Not sure,Turnover was substantially higher than normal,0
Turnover was a little higher than normal,Turnover was substantially lower than normal,2
Turnover was a little higher than normal,Turnover was a little lower than normal,6
Turnover was a little higher than normal,Not sure,0
Turnover was a little higher than normal,Turnover was a little higher than normal,7
Turnover was a little higher than normal,Turnover was substantially higher than normal,5
Turnover was substantially higher than normal,Turnover was substantially lower than normal,2
Turnover was substantially higher than normal,Turnover was a little lower than normal,3
Turnover was substantially higher than normal,Not sure,2
Turnover was substantially higher than normal,Turnover was a little higher than normal,10
Turnover was substantially higher than normal,Turnover was substantially higher than normal,13
