year,male,female
1948,65.86,70.29
1949,65.56,69.95
1950,66.09,70.61
1951,65.68,70.65
1952,66.89,72.12
1953,67.12,72.24
1954,67.4,72.72
1955,67.33,72.7
1956,67.57,72.99
1957,67.64,73.23
1958,67.76,73.39
1959,67.89,73.48
1960,68.06,73.82
1961,68.02,73.87
1962,68.03,73.99
1963,67.92,73.93
1964,68.65,74.78
1965,68.58,74.81
1966,68.46,74.73
1967,69.09,75.23
1968,68.73,74.9
1969,68.63,74.96
1970,68.89,75.19
1971,69.24,75.51
1972,69.02,75.24
1973,69.23,75.46
1974,69.45,75.65
1975,69.7,75.85
1976,69.73,75.85
1977,70.23,76.33
1978,70.17,76.3
1979,70.33,76.41
1980,70.78,76.78
1981,71.1,77.08
1982,71.27,77.18
1983,71.51,77.42
1984,71.94,77.78
1985,71.85,77.57
1986,72.07,77.88
1987,72.47,78.16
1988,72.61,78.26
1989,72.85,78.33
1990,73.07,78.71
1991,73.29,78.79
1992,73.74,79.15
1993,73.71,79
1994,74.28,79.53
1995,74.22,79.43
1996,74.46,79.54
1997,74.75,79.7
1998,74.96,79.92
1999,75.2,80
2000,75.61,80.36
2001,75.93,80.57
2002,76.09,80.7
2003,76.31,80.68
2004,76.86,81.23
2005,77.12,81.4
2006,77.44,81.7
2007,77.7,81.85
2008,77.86,81.91
2009,78.31,82.43
2010,78.65,82.57
2011,79.05,82.94
2012,79.21,82.89
2013,79.22,82.95
2014,79.48,83.2
2015,79.29,82.91
2016,79.46,83.08
