AREANM,AREACD,value
North East,E12000001,96.3
North West,E12000002,68.3
Yorkshire and  The Humber,E12000003,64.1
East Midlands,E12000004,39.1
West Midlands,E12000005,50.3
East,E12000006,41.3
London,E12000007,34.9
South East,E12000008,39.2
South West,E12000009,51.4
Wales,W92000004,72
