name,group,Region,empchange,popchange
Battle BUA,Other,South East,172.099,7.691
Weston BUASD,Other,South West,13.632,3.135
Chipping Ongar BUA,Other,East of England,107.695,3.030
Rowlands Gill BUA,Other,North East,-4.731,-1.947
Hoo St Werburgh BUA,Other,South East,6.630,26.580
Carnforth BUASD,Other,North West,-0.729,2.626
Kingsbridge BUA,Other,South West,-4.298,2.373
Bulkington BUASD,Other,West Midlands,4.709,0.049
Studley BUA,Other,West Midlands,33.218,-2.519
Shifnal BUA,Other,West Midlands,-5.670,14.410
East Leake BUA,Other,East Midlands,41.158,14.238
Wroughton BUA,Other,South West,9.023,-0.585
Godmanchester BUA,Other,East of England,221.616,8.237
Blackheath BUASD,Other,West Midlands,6.291,3.943
Kingsnorth (Ashford) BUASD,Other,South East,25.696,25.135
Pickering BUASD,Other,Yorkshire and The Humber,48.943,6.070
Chapel-en-le-Frith BUA,Other,East Midlands,37.083,7.140
Wadebridge BUA,Other,South West,-10.512,5.526
Willington (County Durham) BUA,Other,North East,0.465,2.433
Bolton Upon Dearne BUASD,Other,Yorkshire and The Humber,169.602,-0.586
Garstang BUASD,Other,North West,-4.752,1.552
Calverton BUA,Other,East Midlands,12.455,7.087
Burnham-on-Crouch BUASD,Other,East of England,62.616,1.473
Bursledon BUASD,Other,South East,11.333,1.996
Barnard Castle BUA,Other,North East,19.547,2.636
Norton-on-Derwent BUASD,Other,Yorkshire and The Humber,27.262,13.572
Kiveton Park BUASD,Other,Yorkshire and The Humber,280.589,1.332
Faringdon BUA,Other,South East,30.428,21.316
Cotgrave BUA,Other,East Midlands,105.187,5.739
Shaftesbury BUA,Other,South West,8.420,24.072
Ferndale BUA,Other,Wales,-5.318,-2.587
Sheringham BUASD,Other,East of England,-0.636,0.751
Wraysbury BUASD,Other,South East,20.789,0.638
Stonehouse BUASD,Other,South West,16.955,0.598
Cullompton BUASD,Other,South West,12.346,13.973
Burton Latimer BUASD,Other,East Midlands,-24.471,26.745
West Chiltington Common BUA,Other,South East,13.390,8.170
Whitworth BUASD,Other,North West,-1.259,6.296
Irthlingborough BUA,Other,East Midlands,14.779,9.333
Longridge BUA,Other,North West,-2.216,6.366
Cross Hills BUASD,Other,Yorkshire and The Humber,17.165,4.041
Fazeley BUASD,Other,West Midlands,52.016,3.068
Rainworth BUA,Other,East Midlands,20.381,4.069
Treharris BUASD,Other,Wales,-6.655,0.000
Torpoint BUA,Other,South West,-19.904,-4.972
Crewkerne BUA,Other,South West,33.058,1.985
Dalton-in-Furness BUA,Other,North West,7.430,-3.821
Ramsey (Huntingdonshire) BUA,Other,East of England,35.571,-0.521
Crediton BUA,Other,South West,-1.576,6.839
Meltham BUA,Other,Yorkshire and The Humber,33.660,2.534
Littleport BUA,Other,East of England,54.705,18.919
Ammanford BUASD,Other,Wales,22.685,4.899
Coppull BUASD,Other,North West,29.225,3.527
Hawkinge BUA,Other,South East,82.959,18.715
Brightlingsea BUA,Other,East of England,-3.550,3.898
Euxton BUASD,Other,North West,-45.499,-3.213
Radlett BUA,Other,East of England,36.689,-0.538
Edenbridge BUA,Other,South East,61.823,9.729
Hedon BUASD,Other,Yorkshire and The Humber,129.083,3.137
Hayle BUA,Other,South West,15.235,6.973
Marske-by-the-Sea BUA,Other,North East,36.210,-4.204
Fakenham BUA,Other,East of England,5.764,3.662
Seaton (East Devon) BUA,Other,South West,18.899,2.201
Richmond BUA,Other,Yorkshire and The Humber,1.913,0.828
Watton BUASD,Other,East of England,-15.616,14.771
Sileby BUASD,Other,East Midlands,49.316,12.379
Penryn BUASD,Other,South West,67.140,36.305
Glastonbury BUA,Other,South West,-2.839,3.407
Clayton-le-Moors BUASD,Other,North West,16.818,-6.674
South Kirkby BUASD,Other,Yorkshire and The Humber,14.785,3.601
Raunds BUA,Other,East Midlands,41.404,2.260
Hunstanton BUASD,Other,East of England,0.685,-3.573
Lydney BUA,Other,South West,5.211,3.916
Burscough BUASD,Other,North West,117.401,1.957
Wideopen BUA,Other,North East,-14.255,6.431
Polegate BUASD,Other,South East,71.880,19.855
Towcester BUA,Other,East Midlands,-4.069,4.527
Shanklin BUASD,Other,South East,-2.207,0.534
