name,group,Region,empchange,popchange
Colne BUASD,Most Deprived Working,North West,7.469,-0.027
Shaw (Oldham) BUASD,Most Deprived Working,North West,25.473,-1.730
Ripley BUASD,Most Deprived Working,East Midlands,32.333,3.107
Kempston BUASD,Most Deprived Working,East of England,49.999,9.810
Horwich BUASD,Most Deprived Working,North West,6.651,2.593
Leek BUASD,Most Deprived Working,West Midlands,25.485,2.201
Redruth BUASD,Most Deprived Working,South West,11.047,7.599
Irlam BUASD,Most Deprived Working,North West,24.281,1.637
Truro BUASD,Most Deprived Working,South West,0.360,11.610
Normanton BUASD,Most Deprived Working,Yorkshire and The Humber,55.166,3.452
Sudbury BUA,Most Deprived Working,East of England,5.451,7.725
Falmouth BUASD,Most Deprived Working,South West,14.542,7.485
Alfreton BUASD,Most Deprived Working,East Midlands,-3.280,3.516
St Austell BUASD,Most Deprived Working,South West,-11.604,9.474
Daventry BUA,Most Deprived Working,East Midlands,3.884,5.236
Thornaby-on-Tees BUASD,Most Deprived Working,North East,3.510,7.298
Skegness BUA,Most Deprived Working,East Midlands,12.531,0.904
Newport (Isle of Wight) BUA,Most Deprived Working,South East,65.447,4.293
Witham BUA,Most Deprived Working,East of England,23.495,6.163
Swinton BUASD,Most Deprived Working,North West,-14.231,0.039
Newton Abbot BUASD,Most Deprived Working,South West,5.328,5.881
Newton Aycliffe BUA,Most Deprived Working,North East,42.580,0.326
Kirkby-in-Ashfield BUASD,Most Deprived Working,East Midlands,137.131,6.227
Winsford (Cheshire West and Chester) BUA,Most Deprived Working,North West,17.220,1.358
Deal BUA,Most Deprived Working,South East,-3.365,4.640
Brierley Hill BUASD,Most Deprived Working,West Midlands,-22.586,2.024
Wisbech BUASD,Most Deprived Working,East of England,13.095,10.523
Barnstaple BUA,Most Deprived Working,South West,4.055,2.244
Letchworth Garden City BUASD,Most Deprived Working,East of England,8.944,5.651
Wath upon Dearne BUASD,Most Deprived Working,Yorkshire and The Humber,18.133,9.703
Morecambe BUASD,Most Deprived Working,North West,-0.095,0.057
Skelmersdale BUASD,Most Deprived Working,North West,10.882,1.065
Romiley BUASD,Most Deprived Working,North West,15.361,1.640
Chadderton BUASD,Most Deprived Working,North West,37.929,4.863
Borehamwood BUASD,Most Deprived Working,East of England,28.432,7.856
Chorley BUASD,Most Deprived Working,North West,5.964,7.855
Great Malvern BUA,Most Deprived Working,West Midlands,16.287,4.839
Longbenton BUASD,Most Deprived Working,North East,29.711,3.243
Newark-on-Trent BUASD,Most Deprived Working,East Midlands,0.606,6.963
Bletchley BUASD,Most Deprived Working,South East,0.949,7.780
Prescot BUASD,Most Deprived Working,North West,1.774,0.120
Great Yarmouth BUASD,Most Deprived Working,East of England,-7.785,7.942
Castleford BUASD,Most Deprived Working,Yorkshire and The Humber,16.783,8.496
Aldridge BUASD,Most Deprived Working,West Midlands,23.953,0.112
Boston BUA,Most Deprived Working,East Midlands,52.410,11.391
Caerphilly BUASD,Most Deprived Working,Wales,10.252,1.645
Worksop BUASD,Most Deprived Working,East Midlands,25.816,3.319
Grantham BUASD,Most Deprived Working,East Midlands,0.883,7.857
Kirkby BUA,Most Deprived Working,North West,49.003,1.161
Merthyr Tydfil BUA,Most Deprived Working,Wales,8.937,3.965
Llanelli BUASD,Most Deprived Working,Wales,12.455,3.559
Havant BUASD,Most Deprived Working,South East,18.338,7.125
Ashton-under-Lyne BUASD,Most Deprived Working,North West,-6.973,5.896
Sutton in Ashfield BUASD,Most Deprived Working,East Midlands,7.160,5.807
Barrow-in-Furness BUA,Most Deprived Working,North West,3.419,-3.733
King's Lynn BUA,Most Deprived Working,East of England,24.244,8.438
Banbury BUASD,Most Deprived Working,South East,5.649,3.221
Wellingborough BUASD,Most Deprived Working,East Midlands,23.128,7.112
Bootle BUASD,Most Deprived Working,North West,-5.222,-0.079
Corby BUASD,Most Deprived Working,East Midlands,11.513,14.167
Kidderminster BUASD,Most Deprived Working,West Midlands,-5.790,3.818
Kettering BUASD,Most Deprived Working,East Midlands,22.655,6.997
Halesowen BUASD,Most Deprived Working,West Midlands,4.616,3.075
Ellesmere Port BUASD,Most Deprived Working,North West,16.319,0.051
Scarborough BUA,Most Deprived Working,Yorkshire and The Humber,6.197,0.393
Rochester BUASD,Most Deprived Working,South East,15.790,8.071
Paignton BUASD,Most Deprived Working,South West,16.805,3.162
Washington BUASD,Most Deprived Working,North East,40.736,-0.373
Tynemouth BUASD,Most Deprived Working,North East,50.068,2.730
Ashford (Ashford) BUASD,Most Deprived Working,South East,11.362,11.922
Walsall BUASD,Most Deprived Working,West Midlands,26.618,8.842
Crewe BUASD,Most Deprived Working,North West,-12.362,3.736
Burton upon Trent BUASD,Most Deprived Working,West Midlands,10.102,7.140
West Bromwich BUASD,Most Deprived Working,West Midlands,5.030,9.282
Newcastle-under-Lyme BUASD,Most Deprived Working,West Midlands,7.255,6.217
Carlisle BUASD,Most Deprived Working,North West,8.893,0.519
Bury BUASD,Most Deprived Working,North West,10.795,4.002
Mansfield BUASD,Most Deprived Working,East Midlands,1.612,6.415
Dudley (Dudley) BUASD,Most Deprived Working,West Midlands,6.176,6.635
Scunthorpe BUA,Most Deprived Working,Yorkshire and The Humber,2.846,4.946
Redditch BUASD,Most Deprived Working,West Midlands,4.158,2.538
Harlow BUASD,Most Deprived Working,East of England,39.594,6.772
Chester BUASD,Most Deprived Working,North West,10.385,3.102
Bedford BUASD,Most Deprived Working,East of England,13.023,7.172
Grimsby BUASD,Most Deprived Working,Yorkshire and The Humber,-9.773,0.751
Chesterfield BUASD,Most Deprived Working,East Midlands,23.467,1.527
Stevenage BUASD,Most Deprived Working,East of England,3.642,7.487
Barnsley BUASD,Most Deprived Working,Yorkshire and The Humber,9.341,7.209
Southport BUA,Most Deprived Working,North West,0.785,2.443
Darlington BUA,Most Deprived Working,North East,23.880,1.678
Preston BUASD,Most Deprived Working,North West,-5.156,3.872
Wakefield BUASD,Most Deprived Working,Yorkshire and The Humber,20.881,6.193
Lincoln BUASD,Most Deprived Working,East Midlands,0.449,8.171
Wigan BUASD,Most Deprived Working,North West,0.741,4.111
Stockport BUASD,Most Deprived Working,North West,-0.879,4.236
Eastbourne BUASD,Most Deprived Working,South East,0.006,5.336
Doncaster BUASD,Most Deprived Working,Yorkshire and The Humber,3.209,5.952
Colchester BUASD,Most Deprived Working,East of England,12.286,15.674
Newport BUASD,Most Deprived Working,Wales,10.616,5.860
Sale BUASD,Most Deprived Working,North West,14.786,4.490
Gloucester BUASD,Most Deprived Working,South West,2.709,9.745
Telford BUASD,Most Deprived Working,West Midlands,31.205,5.910
Ipswich BUASD,Most Deprived Working,East of England,6.700,6.640
Blackpool BUASD,Most Deprived Working,North West,9.326,-1.742
Slough BUASD,Most Deprived Working,South East,7.826,9.287
Peterborough BUASD,Most Deprived Working,East of England,22.438,11.580
Huddersfield BUASD,Most Deprived Working,Yorkshire and The Humber,0.002,6.733
Warrington BUA,Most Deprived Working,North West,24.474,5.252
Milton Keynes BUASD,Most Deprived Working,South East,38.078,11.604
Middlesbrough BUASD,Most Deprived Working,North East,-0.704,1.744
Southend-on-Sea BUASD,Most Deprived Working,East of England,1.062,6.950
Swansea BUASD,Most Deprived Working,Wales,15.394,4.441
Norwich BUASD,Most Deprived Working,East of England,5.513,7.025
Bournemouth BUASD,Most Deprived Working,South West,14.936,11.482
Luton BUASD,Most Deprived Working,East of England,13.719,9.589
Northampton BUASD,Most Deprived Working,East Midlands,11.847,8.894
Whitburn BUASD,Most Deprived Residential,North East,13.527,1.423
Wingate BUA,Most Deprived Residential,North East,32.269,-0.156
Ryhill BUA,Most Deprived Residential,Yorkshire and The Humber,15.427,2.791
Rhymney BUASD,Most Deprived Residential,Wales,28.821,0.760
Pelton BUASD,Most Deprived Residential,North East,22.703,5.243
Thornton (Bradford) BUASD,Most Deprived Residential,Yorkshire and The Humber,-14.893,1.094
Brotton BUA,Most Deprived Residential,North East,157.615,3.022
Treherbert BUASD,Most Deprived Residential,Wales,-13.068,0.255
Carlton in Lindrick BUA,Most Deprived Residential,East Midlands,0.179,-2.283
Hemsby BUA,Most Deprived Residential,East of England,40.339,1.861
Brynmawr BUASD,Most Deprived Residential,Wales,-15.162,1.297
Askern BUA,Most Deprived Residential,Yorkshire and The Humber,34.696,-2.368
Leiston BUASD,Most Deprived Residential,East of England,-18.670,4.301
Blaenavon BUA,Most Deprived Residential,Wales,-6.777,4.084
Great Torrington BUA,Most Deprived Residential,South West,2.228,6.615
Upton (Wakefield) BUA,Most Deprived Residential,Yorkshire and The Humber,-1.856,3.326
Saltburn-by-the-Sea BUA,Most Deprived Residential,North East,10.318,1.841
Millom BUA,Most Deprived Residential,North West,46.177,-0.869
Abercynon BUA,Most Deprived Residential,Wales,37.627,2.707
Amble BUA,Most Deprived Residential,North East,-24.493,-2.125
Weaverham BUA,Most Deprived Residential,North West,18.294,-3.019
Withernsea BUA,Most Deprived Residential,Yorkshire and The Humber,-4.024,4.212
Egremont BUA,Most Deprived Residential,North West,-6.756,-4.152
Stainforth BUASD,Most Deprived Residential,Yorkshire and The Humber,-1.822,1.961
Filey BUA,Most Deprived Residential,Yorkshire and The Humber,-2.266,1.892
Rishton BUA,Most Deprived Residential,North West,-6.688,-5.203
Fence Houses BUASD,Most Deprived Residential,North East,74.881,2.844
Cleator Moor BUA,Most Deprived Residential,North West,20.389,-3.081
East Cowes BUASD,Most Deprived Residential,South East,-19.737,7.746
Selston BUASD,Most Deprived Residential,East Midlands,13.336,-1.891
Hirwaun BUA,Most Deprived Residential,Wales,-10.590,3.612
Eckington BUASD,Most Deprived Residential,East Midlands,-19.206,-0.418
Murton (County Durham) BUA,Most Deprived Residential,North East,171.389,5.234
Seaton Delaval BUASD,Most Deprived Residential,North East,-15.800,10.453
Pembroke BUA,Most Deprived Residential,Wales,12.443,3.983
Abersychan BUASD,Most Deprived Residential,Wales,-11.526,4.626
Clowne BUA,Most Deprived Residential,East Midlands,30.361,6.989
Rothwell BUA,Most Deprived Residential,East Midlands,27.226,7.331
Treorchy BUASD,Most Deprived Residential,Wales,0.468,-1.928
Partington BUASD,Most Deprived Residential,North West,44.925,5.556
Holbeach BUA,Most Deprived Residential,East Midlands,1.203,5.509
Bircotes BUA,Most Deprived Residential,East Midlands,-2.516,2.728
Aveley BUA,Most Deprived Residential,East of England,9.807,17.951
Hornsea BUA,Most Deprived Residential,Yorkshire and The Humber,-2.540,3.055
Thurnscoe BUASD,Most Deprived Residential,Yorkshire and The Humber,-13.530,1.732
Market Warsop BUA,Most Deprived Residential,East Midlands,-27.215,3.690
Brandon (Forest Heath) BUA,Most Deprived Residential,East of England,-2.026,6.132
Hemsworth BUA,Most Deprived Residential,Yorkshire and The Humber,-15.166,1.125
Tonyrefail BUA,Most Deprived Residential,Wales,6.534,2.526
Radstock BUASD,Most Deprived Residential,South West,10.919,10.969
Kinmel Bay BUASD,Most Deprived Residential,Wales,16.734,0.527
Newbridge BUASD,Most Deprived Residential,Wales,-24.969,2.021
Woodingdean BUASD,Most Deprived Residential,South East,33.652,3.008
North Walney BUASD,Most Deprived Residential,North West,-22.929,-3.131
Shildon BUA,Most Deprived Residential,North East,34.326,-1.285
Royston BUASD,Most Deprived Residential,Yorkshire and The Humber,-1.861,5.834
Snodland BUA,Most Deprived Residential,South East,6.528,18.229
Ystradgynlais BUASD,Most Deprived Residential,Wales,12.395,3.927
Cinderford BUASD,Most Deprived Residential,South West,-0.433,8.205
Northam BUASD,Most Deprived Residential,South West,25.853,0.093
Great Harwood BUASD,Most Deprived Residential,North West,3.739,-0.312
Kearsley BUASD,Most Deprived Residential,North West,19.790,1.831
Dawlish BUA,Most Deprived Residential,South West,6.610,12.226
Southwick BUASD,Most Deprived Residential,South East,6.764,3.711
Todmorden BUA,Most Deprived Residential,Yorkshire and The Humber,18.324,5.019
Bolsover BUA,Most Deprived Residential,East Midlands,-18.432,2.073
Oswaldtwistle BUASD,Most Deprived Residential,North West,9.082,-3.767
Mablethorpe BUA,Most Deprived Residential,East Midlands,-8.549,-1.194
Cudworth BUASD,Most Deprived Residential,Yorkshire and The Humber,39.398,1.283
Whittlesey BUA,Most Deprived Residential,East of England,88.935,1.544
Bacup BUASD,Most Deprived Residential,North West,-11.836,6.240
Rhondda BUASD,Most Deprived Residential,Wales,23.591,-1.708
Rhosllanerchrugog BUASD,Most Deprived Residential,Wales,34.464,0.075
Milford Haven BUA,Most Deprived Residential,Wales,-14.648,5.240
Pyle BUA,Most Deprived Residential,Wales,11.623,6.734
Dunscroft BUASD,Most Deprived Residential,Yorkshire and The Humber,24.358,0.497
Porth BUASD,Most Deprived Residential,Wales,-1.470,-0.403
Tredegar BUA,Most Deprived Residential,Wales,28.067,0.577
Teignmouth BUASD,Most Deprived Residential,South West,6.731,3.973
Mexborough BUASD,Most Deprived Residential,Yorkshire and The Humber,-15.060,1.549
Staveley BUASD,Most Deprived Residential,East Midlands,27.105,0.851
Heysham BUASD,Most Deprived Residential,North West,8.656,7.569
Conisbrough BUA,Most Deprived Residential,Yorkshire and The Humber,-2.761,1.173
Haslingden BUASD,Most Deprived Residential,North West,51.187,3.483
Stapleford BUASD,Most Deprived Residential,East Midlands,-14.727,2.339
Maltby BUASD,Most Deprived Residential,Yorkshire and The Humber,-20.097,-2.861
Bedlington BUA,Most Deprived Residential,North East,0.096,0.515
Guisborough BUA,Most Deprived Residential,North East,-7.275,1.040
Liversedge BUASD,Most Deprived Residential,Yorkshire and The Humber,19.912,4.994
Hoyland BUASD,Most Deprived Residential,Yorkshire and The Humber,5.224,4.800
Tonypandy BUASD,Most Deprived Residential,Wales,0.398,0.871
Litherland BUASD,Most Deprived Residential,North West,-2.300,1.894
Mansfield Woodhouse BUASD,Most Deprived Residential,East Midlands,-16.865,1.533
Peacehaven BUA,Most Deprived Residential,South East,16.107,11.672
Minster (Swale) BUASD,Most Deprived Residential,South East,30.212,15.063
Failsworth BUASD,Most Deprived Residential,North West,7.762,-1.307
Earl Shilton BUASD,Most Deprived Residential,East Midlands,-21.332,7.613
South Ockendon BUA,Most Deprived Residential,East of England,37.510,14.561
Harwich BUASD,Most Deprived Residential,East of England,6.989,4.508
Hailsham BUA,Most Deprived Residential,South East,1.789,13.049
Stourport-on-Severn BUASD,Most Deprived Residential,West Midlands,7.316,1.774
Whitefield BUASD,Most Deprived Residential,North West,4.312,0.777
Stanley BUASD,Most Deprived Residential,North East,6.615,6.378
March BUA,Most Deprived Residential,East of England,-39.669,3.774
Retford BUA,Most Deprived Residential,East Midlands,-2.181,6.253
Seaham BUA,Most Deprived Residential,North East,23.592,2.241
Coseley BUASD,Most Deprived Residential,West Midlands,-15.791,0.692
Rawtenstall BUASD,Most Deprived Residential,North West,23.040,4.617
Wombwell BUASD,Most Deprived Residential,Yorkshire and The Humber,-9.083,10.445
Ryde BUASD,Most Deprived Residential,South East,-7.091,4.670
Droylsden BUASD,Most Deprived Residential,North West,-6.160,0.616
Hindley BUASD,Most Deprived Residential,North West,-13.601,0.337
Consett BUASD,Most Deprived Residential,North East,8.843,5.685
Wednesfield BUASD,Most Deprived Residential,West Midlands,-9.669,0.602
Heanor BUASD,Most Deprived Residential,East Midlands,11.750,3.458
Frome BUA,Most Deprived Residential,South West,-7.174,4.705
Stalybridge BUASD,Most Deprived Residential,North West,-1.795,3.235
Bentley BUASD,Most Deprived Residential,Yorkshire and The Humber,26.313,0.270
Peterlee BUASD,Most Deprived Residential,North East,10.945,-5.353
Pontefract BUASD,Most Deprived Residential,Yorkshire and The Humber,-8.455,3.777
Nelson (Pendle) BUASD,Most Deprived Residential,North West,9.864,4.756
Aberdare BUASD,Most Deprived Residential,Wales,9.506,3.592
Radcliffe BUASD,Most Deprived Residential,North West,15.762,5.276
Dunstable BUASD,Most Deprived Residential,East of England,-7.670,11.828
Bedworth BUASD,Most Deprived Residential,West Midlands,20.485,2.203
Sedgley BUASD,Most Deprived Residential,West Midlands,3.235,1.445
Denton BUASD,Most Deprived Residential,North West,33.792,-1.258
Long Eaton BUASD,Most Deprived Residential,East Midlands,-2.010,5.234
Canvey Island BUA,Most Deprived Residential,East of England,2.453,1.116
Herne Bay BUASD,Most Deprived Residential,South East,12.301,7.437
Cleethorpes BUASD,Most Deprived Residential,Yorkshire and The Humber,13.048,-0.333
Ramsgate BUASD,Most Deprived Residential,South East,33.422,6.304
Bexhill BUASD,Most Deprived Residential,South East,2.249,5.766
Tipton BUASD,Most Deprived Residential,West Midlands,0.352,7.425
Swadlincote BUASD,Most Deprived Residential,East Midlands,20.108,11.003
Bloxwich BUASD,Most Deprived Residential,West Midlands,-6.591,9.593
Carlton (Gedling) BUASD,Most Deprived Residential,East Midlands,-7.285,2.702
Weymouth BUASD,Most Deprived Residential,South West,-16.870,1.619
Barry BUA,Most Deprived Residential,Wales,5.100,4.512
Gravesend BUASD,Most Deprived Residential,South East,10.631,6.817
Gosport BUASD,Most Deprived Residential,South East,-0.925,4.079
South Shields BUASD,Most Deprived Residential,North East,2.364,1.027
Chatham BUASD,Most Deprived Residential,South East,10.155,4.850
Brinsley BUASD,Least Deprived Working,East Midlands,24.120,1.607
Sturry BUASD,Least Deprived Working,South East,230.394,7.123
Hungerford BUA,Least Deprived Working,South East,15.304,2.697
Cheddar BUA,Least Deprived Working,South West,17.282,5.733
Waterbeach BUASD,Least Deprived Working,East of England,23.530,-1.574
Windermere BUASD,Least Deprived Working,North West,42.849,-4.742
Cranfield BUA,Least Deprived Working,East of England,30.246,14.226
Bagshot BUA,Least Deprived Working,South East,60.629,12.812
Ruthin BUA,Least Deprived Working,Wales,8.359,8.378
Dudley (North Tyneside) BUASD,Least Deprived Working,North East,-30.644,-2.561
RAF Station St Athan BUASD,Least Deprived Working,Wales,6.119,-2.560
Taff's Well BUASD,Least Deprived Working,Wales,-4.866,5.867
Arlesey BUA,Least Deprived Working,East of England,13.155,11.129
Pen-y-groes BUASD,Least Deprived Working,Wales,18.715,13.359
Oundle BUA,Least Deprived Working,East Midlands,7.266,10.233
Pembury BUA,Least Deprived Working,South East,129.436,0.824
Thrapston BUASD,Least Deprived Working,East Midlands,26.438,4.824
Malmesbury BUA,Least Deprived Working,South West,94.964,15.620
Coleshill (North Warwickshire) BUA,Least Deprived Working,West Midlands,57.018,4.750
Castle Donington BUA,Least Deprived Working,East Midlands,140.095,12.784
Olney BUA,Least Deprived Working,South East,9.406,-3.834
Liphook BUA,Least Deprived Working,South East,11.784,8.565
Tadcaster BUA,Least Deprived Working,Yorkshire and The Humber,44.045,-0.577
Anstey BUA,Least Deprived Working,East Midlands,43.273,14.462
Southam BUA,Least Deprived Working,West Midlands,185.565,1.749
Sherburn in Elmet BUA,Least Deprived Working,Yorkshire and The Humber,396.116,9.807
Grayshott BUASD,Least Deprived Working,South East,57.323,12.143
Stansted Mountfitchet BUA,Least Deprived Working,East of England,158.171,29.869
Sandycroft BUASD,Least Deprived Working,Wales,-0.922,2.158
Southwell BUA,Least Deprived Working,East Midlands,12.018,1.020
North Baddesley BUA,Least Deprived Working,South East,11.036,3.412
How Wood BUASD,Least Deprived Working,East of England,16.905,3.337
Alcester BUA,Least Deprived Working,West Midlands,23.245,3.746
Ruddington BUASD,Least Deprived Working,East Midlands,130.474,10.161
Burley in Wharfedale BUASD,Least Deprived Working,Yorkshire and The Humber,17.768,3.583
Tenterden BUA,Least Deprived Working,South East,25.738,-0.505
Otford BUA,Least Deprived Working,South East,285.137,4.439
Blackwater BUASD,Least Deprived Working,South East,687.750,2.304
Sawston BUA,Least Deprived Working,East of England,41.889,1.515
Borrowash BUASD,Least Deprived Working,East Midlands,12.045,0.673
Bollington BUASD,Least Deprived Working,North West,27.798,3.377
King's Hill BUA,Least Deprived Working,South East,12.713,27.300
Twyford (Wokingham) BUA,Least Deprived Working,South East,13.873,2.055
Hilton (South Derbyshire) BUA,Least Deprived Working,East Midlands,88.922,16.774
Nailsworth BUASD,Least Deprived Working,South West,28.993,-0.456
Great Dunmow BUA,Least Deprived Working,East of England,28.870,13.954
Paddock Wood BUA,Least Deprived Working,South East,40.176,-1.365
Histon BUASD,Least Deprived Working,East of England,35.952,9.959
Wallingford BUASD,Least Deprived Working,South East,3.019,4.250
Hook (Hart) BUA,Least Deprived Working,South East,-9.686,1.371
Freckleton BUA,Least Deprived Working,North West,-30.595,2.656
Iver Heath BUASD,Least Deprived Working,South East,54.472,6.669
Marlborough BUASD,Least Deprived Working,South West,7.720,3.055
Hadleigh BUA,Least Deprived Working,East of England,21.245,6.808
Princes Risborough BUA,Least Deprived Working,South East,16.485,-1.873
Brecon BUA,Least Deprived Working,Wales,-3.311,2.421
Ashbourne BUA,Least Deprived Working,East Midlands,20.767,7.605
Denbigh BUA,Least Deprived Working,Wales,5.360,-1.209
Ledbury BUA,Least Deprived Working,West Midlands,21.214,2.188
Worsley BUASD,Least Deprived Working,North West,58.053,-0.907
Cockermouth BUA,Least Deprived Working,North West,10.112,2.625
Pencoed BUA,Least Deprived Working,Wales,5.272,2.547
Lutterworth BUA,Least Deprived Working,East Midlands,198.877,7.714
Mold BUA,Least Deprived Working,Wales,17.957,2.228
Monmouth BUA,Least Deprived Working,Wales,6.530,5.197
North Ascot BUASD,Least Deprived Working,South East,39.197,1.365
Epping BUA,Least Deprived Working,East of England,1.438,11.316
Catshill BUASD,Least Deprived Working,West Midlands,9.888,2.663
Llandudno Junction BUASD,Least Deprived Working,Wales,19.526,19.419
Oakham BUA,Least Deprived Working,East Midlands,-11.333,4.016
Wetherby BUASD,Least Deprived Working,Yorkshire and The Humber,64.305,-1.291
Thame BUA,Least Deprived Working,South East,-0.041,3.433
Woodbridge BUASD,Least Deprived Working,East of England,2.855,3.424
Hexham BUA,Least Deprived Working,North East,-4.662,1.004
Henley-on-Thames BUA,Least Deprived Working,South East,-0.270,4.220
Bargod BUASD,Least Deprived Working,Wales,7.980,1.808
Pontardawe BUASD,Least Deprived Working,Wales,-8.377,4.345
Chepstow BUASD,Least Deprived Working,Wales,5.813,2.032
Ashby-de-la-Zouch BUA,Least Deprived Working,East Midlands,85.502,13.924
Brough BUASD,Least Deprived Working,Yorkshire and The Humber,18.382,11.179
Sidmouth BUA,Least Deprived Working,South West,0.329,7.234
Whetstone BUASD,Least Deprived Working,East Midlands,-9.031,6.595
Syston BUASD,Least Deprived Working,East Midlands,14.102,11.737
Narborough/Enderby BUASD,Least Deprived Working,East Midlands,105.762,6.232
Brackley BUA,Least Deprived Working,East Midlands,-0.753,7.860
Uttoxeter BUA,Least Deprived Working,West Midlands,17.019,0.406
Knutsford BUA,Least Deprived Working,North West,35.253,1.490
Llantrisant BUASD,Least Deprived Working,Wales,23.502,3.307
Uppermill BUASD,Least Deprived Working,North West,33.866,4.055
Innsworth BUASD,Least Deprived Working,South West,143.093,8.187
Wymondham (South Norfolk) BUA,Least Deprived Working,East of England,31.923,17.195
Beaconsfield BUA,Least Deprived Working,South East,6.715,9.214
Ringwood BUASD,Least Deprived Working,South East,10.762,3.609
Bourne BUA,Least Deprived Working,East Midlands,17.594,20.010
Crowthorne BUASD,Least Deprived Working,South East,6.189,-0.653
Morpeth BUA,Least Deprived Working,North East,-31.233,3.653
North Hykeham BUASD,Least Deprived Working,East Midlands,29.809,20.044
Clitheroe BUA,Least Deprived Working,North West,8.643,9.336
Ilkley BUA,Least Deprived Working,Yorkshire and The Humber,2.215,3.043
Marlow BUASD,Least Deprived Working,South East,27.928,1.332
Flint BUASD,Least Deprived Working,Wales,7.605,-0.977
Matlock BUA,Least Deprived Working,East Midlands,-20.910,5.945
Petersfield BUA,Least Deprived Working,South East,12.553,4.146
Kidlington BUASD,Least Deprived Working,South East,7.931,2.530
Wimborne Minster BUASD,Least Deprived Working,South West,8.831,6.841
Penrith BUA,Least Deprived Working,North West,7.153,3.805
Cottingham BUASD,Least Deprived Working,Yorkshire and The Humber,5.974,-5.221
Saffron Walden BUA,Least Deprived Working,East of England,23.115,12.419
Lymington BUASD,Least Deprived Working,South East,28.649,5.952
Knaresborough BUASD,Least Deprived Working,Yorkshire and The Humber,78.888,2.856
Royston BUA,Least Deprived Working,East of England,6.713,7.975
Tadley BUASD,Least Deprived Working,South East,275.833,-2.337
Carmarthen BUA,Least Deprived Working,Wales,19.046,3.127
Cirencester BUASD,Least Deprived Working,South West,10.813,4.521
St Ives BUASD,Least Deprived Working,East of England,-24.240,4.442
Stone (Stafford) BUA,Least Deprived Working,West Midlands,17.819,3.776
Hale (Trafford) BUASD,Least Deprived Working,North West,-22.946,6.371
Romsey BUASD,Least Deprived Working,South East,44.873,2.898
Dorking BUASD,Least Deprived Working,South East,9.145,4.113
Cobham (Elmbridge) BUA,Least Deprived Working,South East,37.091,4.933
Bangor BUASD,Least Deprived Working,Wales,11.287,8.186
Alton (East Hampshire) BUA,Least Deprived Working,South East,8.876,8.430
Ware BUASD,Least Deprived Working,East of England,-0.733,8.558
Kesgrave BUASD,Least Deprived Working,East of England,18.320,5.664
Ely BUA,Least Deprived Working,East of England,34.588,8.869
Frimley BUASD,Least Deprived Working,South East,0.951,0.338
Hazel Grove BUASD,Least Deprived Working,North West,2.850,2.549
Yeadon BUASD,Least Deprived Working,Yorkshire and The Humber,87.925,-3.242
Newmarket BUA,Least Deprived Working,East of England,5.849,7.015
Gerrards Cross BUA,Least Deprived Working,South East,12.359,2.349
Berkhamsted BUASD,Least Deprived Working,East of England,10.203,6.230
Clevedon BUA,Least Deprived Working,South West,-2.708,-0.654
Holmfirth BUASD,Least Deprived Working,Yorkshire and The Humber,23.644,2.338
Reigate BUASD,Least Deprived Working,South East,14.838,7.067
Kenilworth BUA,Least Deprived Working,West Midlands,0.848,-4.848
Potters Bar BUA,Least Deprived Working,East of England,37.231,5.476
Godalming BUASD,Least Deprived Working,South East,3.975,6.332
Market Harborough BUA,Least Deprived Working,East Midlands,7.792,12.623
Amersham BUASD,Least Deprived Working,South East,5.986,7.740
Broomhall/Windlesham/Virginia Water BUASD,Least Deprived Working,South East,12.900,4.348
Portishead BUA,Least Deprived Working,South West,23.028,17.690
Rickmansworth BUASD,Least Deprived Working,East of England,27.159,6.126
Bishop Auckland BUASD,Least Deprived Working,North East,1.313,4.420
Farnham BUASD,Least Deprived Working,South East,13.665,7.900
Staines BUASD,Least Deprived Working,South East,0.209,6.021
Egham BUASD,Least Deprived Working,South East,48.358,9.449
Ferndown BUASD,Least Deprived Working,South West,113.237,2.636
Hertford BUASD,Least Deprived Working,East of England,50.756,9.451
Didcot BUASD,Least Deprived Working,South East,43.444,11.968
Melton Mowbray BUA,Least Deprived Working,East Midlands,8.214,3.038
Penarth BUASD,Least Deprived Working,Wales,11.459,12.456
Stratford-upon-Avon BUA,Least Deprived Working,West Midlands,15.727,9.480
Heywood BUASD,Least Deprived Working,North West,20.075,6.080
Kendal BUASD,Least Deprived Working,North West,2.296,3.033
Witney BUA,Least Deprived Working,South East,13.120,6.914
Sevenoaks BUASD,Least Deprived Working,South East,30.179,8.534
Weybridge BUASD,Least Deprived Working,South East,8.088,2.492
Harpenden BUA,Least Deprived Working,East of England,49.337,5.447
Beverley BUA,Least Deprived Working,Yorkshire and The Humber,-17.014,2.151
Burgess Hill BUA,Least Deprived Working,South East,20.809,5.293
Windsor BUASD,Least Deprived Working,South East,2.939,4.916
Warwick BUASD,Least Deprived Working,West Midlands,13.181,4.929
Epsom BUASD,Least Deprived Working,South East,16.503,15.623
Leatherhead BUASD,Least Deprived Working,South East,8.107,3.119
Bicester BUASD,Least Deprived Working,South East,34.662,1.571
Hitchin BUASD,Least Deprived Working,East of England,25.597,7.326
Redhill BUASD,Least Deprived Working,South East,14.277,13.512
Woodley BUASD,Least Deprived Working,South East,65.948,6.737
Chippenham (Wiltshire) BUA,Least Deprived Working,South West,34.363,0.879
Wilmslow BUASD,Least Deprived Working,North West,33.511,4.607
