spine,Cancer,Circulatory (eg Heart disease),Digestive (eg Reflux),Endocrine and nutritional (eg Diabetes),External (eg Car accident),Genitourinary (eg Chronic Kidney disease),Infection (eg Malaria),Mental and behavioural (eg Dementia),Musculoskeletal (eg Arthritis),Nervous (eg Parkinson disease),Respiratory (eg Influenza),Other
100,208,1182,79,74,98,142,25,790,44,225,862,1269
99,119,507,55,20,54,52,18,410,20,111,362,341
98,168,708,85,32,67,99,23,616,16,204,451,399
97,378,1332,122,57,109,132,40,1093,47,375,798,638
96,507,1731,207,90,155,200,40,1450,74,509,1055,729
95,583,1967,252,99,171,171,70,1695,62,585,1179,731
94,781,2228,282,114,178,221,83,1747,82,642,1204,697
93,949,2445,330,128,210,199,93,1842,89,698,1379,654
92,1128,2611,345,151,218,221,99,2049,93,792,1529,588
91,1270,2759,366,152,239,277,106,2172,81,862,1585,591
90,1478,2841,433,146,230,262,105,2031,95,909,1567,629
89,1595,2971,433,162,265,234,115,2050,93,948,1530,441
88,1860,3010,488,150,259,252,140,1963,110,981,1502,406
87,1975,3017,483,149,258,224,114,1852,100,964,1572,347
86,2065,2964,478,145,244,221,127,1739,109,879,1578,318
85,2093,2760,427,147,252,192,124,1447,111,871,1463,236
84,2166,2450,427,153,216,205,100,1288,96,789,1408,199
83,2116,2335,414,140,207,179,95,1038,76,692,1279,166
82,2199,2203,424,142,159,137,103,913,63,641,1174,140
81,2120,1974,362,121,148,135,89,772,69,610,1141,137
80,2253,1784,349,118,165,124,58,693,68,540,1040,107
79,2108,1731,325,112,143,102,82,561,54,497,1007,71
78,2165,1532,301,86,144,97,64,472,64,436,996,74
77,2063,1287,246,72,109,86,68,355,64,344,834,67
76,1908,1151,237,85,112,74,50,294,42,321,754,56
75,1904,1081,238,74,98,71,53,241,37,301,767,48
74,1954,991,250,76,80,55,49,187,46,241,729,39
73,2078,966,219,88,100,56,61,179,50,242,645,42
72,1857,841,210,62,78,66,44,142,30,235,621,48
71,1785,713,207,59,77,40,36,97,35,195,534,40
70,2040,823,201,63,84,51,42,101,36,224,558,54
69,1845,714,205,50,83,35,39,66,43,188,515,47
68,1630,586,171,57,66,35,36,47,27,146,402,43
67,1511,511,175,45,66,32,27,48,23,125,365,39
66,1282,445,170,50,77,20,29,30,18,120,339,27
65,1186,403,134,47,54,24,18,25,23,97,276,50
64,1143,423,167,39,70,19,24,17,9,85,242,40
63,1054,345,122,49,66,15,25,13,17,99,248,30
62,976,313,137,37,49,22,16,10,17,63,219,42
61,912,293,151,35,46,20,20,14,16,76,179,30
60,870,275,117,21,66,14,21,11,14,72,151,24
59,795,239,122,35,60,11,15,6,9,67,165,30
58,750,205,126,33,65,15,15,12,10,66,118,48
57,683,202,112,27,52,9,10,6,15,50,114,31
56,679,202,98,30,72,8,17,10,10,40,108,24
55,611,188,134,32,62,8,12,7,9,36,103,34
54,569,194,113,24,67,9,10,10,9,54,87,22
53,577,165,108,23,80,8,10,5,7,39,70,26
52,525,158,120,12,72,10,10,5,10,39,83,35
51,468,152,101,17,78,8,9,4,5,28,68,23
50,403,153,85,21,79,10,10,7,1,42,59,22
49,372,109,98,26,69,3,11,9,6,26,39,18
48,324,98,91,22,75,6,7,6,4,20,47,15
47,279,86,96,9,78,3,9,0,3,32,36,23
46,251,99,72,16,85,9,3,9,4,18,26,15
45,229,73,60,17,56,2,5,11,3,26,31,15
44,189,69,52,26,81,6,7,3,1,9,21,17
43,152,53,61,12,68,8,4,5,1,12,29,9
42,148,61,38,13,56,3,5,2,5,11,15,11
41,132,40,50,5,67,4,3,4,3,18,17,10
40,126,47,38,10,49,3,2,5,2,13,8,9
39,90,37,35,8,65,2,6,1,2,5,13,14
38,92,24,29,9,61,0,4,4,2,12,8,7
37,136,23,33,10,64,0,5,4,3,10,4,11
36,71,31,26,8,58,2,5,4,2,6,20,11
35,77,25,21,6,56,1,4,3,2,10,5,5
34,61,24,20,10,41,0,3,2,1,10,5,8
33,59,21,20,9,61,1,3,3,0,3,8,9
32,44,24,15,4,55,1,4,2,1,8,7,9
31,45,11,12,7,42,3,4,1,2,8,9,12
30,34,12,3,6,44,0,4,4,0,5,2,10
29,31,6,5,8,34,1,3,3,2,9,3,7
28,21,12,7,7,49,2,2,1,1,4,5,8
27,22,7,4,4,43,0,0,1,1,9,6,6
26,23,7,7,4,38,2,1,0,4,5,1,6
25,20,10,1,3,34,0,1,0,1,5,5,10
24,13,6,3,2,32,1,0,1,0,7,4,2
23,12,5,5,4,37,0,0,0,4,4,5,4
22,5,8,5,5,31,0,1,0,0,5,2,2
21,12,6,1,5,27,0,0,1,0,5,3,10
20,8,4,2,3,27,0,1,1,0,7,1,6
19,11,4,1,6,26,0,1,1,0,3,3,5
18,8,7,1,3,28,1,5,2,1,5,3,2
17,8,3,1,2,21,0,1,0,0,5,5,3
16,9,0,1,2,27,0,2,0,1,3,2,3
15,5,1,1,0,15,1,1,0,0,1,1,1
14,6,2,0,2,7,0,2,0,0,3,6,0
13,8,2,0,0,6,1,1,0,0,1,0,2
12,10,0,2,1,7,0,1,0,0,2,1,4
11,7,0,0,1,4,0,1,0,0,4,3,6
10,5,1,1,1,1,0,0,0,0,0,3,2
9,7,0,0,0,3,0,0,0,0,1,3,1
8,9,3,0,2,3,1,1,0,0,3,0,4
7,9,0,0,2,6,0,0,0,0,3,4,2
6,7,2,0,4,0,0,4,0,0,3,3,4
5,11,2,0,2,3,1,2,0,1,0,2,2
4,4,2,1,3,7,1,4,0,0,0,3,5
