spine,Cancer,Circulatory (eg Heart disease),Digestive (eg Reflux),Endocrine and nutritional (eg Diabetes),External (eg Car accident),Genitourinary (eg Chronic Kidney disease),Infection (eg Malaria),Mental and behavioural (eg Dementia),Musculoskeletal (eg Arthritis),Nervous (eg Parkinson disease),Respiratory (eg Influenza),Other
100,86,232,11,16,31,38,9,97,4,25,232,216
99,64,162,15,7,10,35,3,90,3,20,126,67
98,116,226,31,8,21,35,1,99,8,40,189,85
97,234,488,43,28,50,74,15,263,7,90,373,163
96,357,689,70,26,59,76,17,418,17,131,570,180
95,456,879,87,41,97,107,28,487,11,165,674,226
94,616,1020,114,37,105,119,32,554,25,219,757,214
93,761,1328,137,66,127,150,34,703,35,295,832,229
92,1032,1516,186,79,168,169,52,849,35,356,1032,265
91,1251,1835,223,96,163,173,63,994,51,437,1186,255
90,1493,2041,246,110,197,184,69,980,42,467,1269,240
89,1649,2192,251,117,209,166,70,1053,49,521,1330,158
88,1919,2342,282,127,210,187,86,1076,47,603,1368,188
87,2166,2600,323,134,218,194,72,1123,63,643,1397,170
86,2354,2609,327,151,246,210,79,1037,49,708,1458,138
85,2451,2621,322,162,204,201,77,1009,50,682,1416,144
84,2500,2517,338,151,210,187,90,905,59,693,1453,101
83,2508,2515,346,123,198,173,83,904,52,617,1328,99
82,2668,2422,323,133,198,162,83,734,52,607,1381,106
81,2738,2379,306,162,202,141,77,711,43,547,1275,88
80,2791,2286,321,140,159,142,69,614,36,554,1258,91
79,2782,2156,322,121,153,114,78,492,46,549,1211,54
78,2691,2025,299,104,185,117,57,422,37,440,1210,49
77,2523,1937,259,114,170,90,74,336,37,372,1021,58
76,2499,1701,274,86,145,78,63,273,31,370,928,48
75,2447,1626,281,94,127,70,53,244,39,359,946,44
74,2568,1707,250,106,129,78,60,241,31,306,905,66
73,2567,1714,268,91,130,64,55,189,23,317,873,54
72,2494,1568,259,62,132,53,52,146,23,257,768,60
71,2324,1376,213,77,128,51,45,124,23,231,741,45
70,2622,1598,295,77,151,55,26,110,28,269,775,50
69,2363,1331,308,75,130,38,44,86,17,215,649,74
68,2045,1212,268,53,140,40,42,49,23,174,559,50
67,1878,1099,243,44,129,34,47,51,23,152,514,55
66,1673,1012,246,54,138,34,31,47,29,115,438,57
65,1471,924,219,57,120,29,45,38,16,107,381,41
64,1438,904,244,48,115,27,35,37,10,86,353,55
63,1323,817,202,55,128,20,37,31,12,85,319,50
62,1122,776,221,43,132,25,29,27,15,75,268,44
61,1071,706,216,30,141,17,34,23,8,85,221,48
60,1027,712,213,50,132,8,22,19,12,65,207,59
59,939,685,208,39,133,15,22,16,5,70,188,47
58,825,589,219,40,162,18,28,17,5,57,174,49
57,759,608,206,39,178,9,28,14,7,63,147,44
56,722,564,178,30,170,11,28,14,10,76,133,50
55,618,492,212,40,173,10,17,18,8,57,109,35
54,579,474,191,35,178,10,21,16,11,63,96,38
