AREANM,AREACD,time1,time2,time3,time4,time5
Aberdeen City,S12000033,17.0660793,15.06775068,15.30717173,15.16004132,14.32412118
Aberdeenshire,S12000034,21.67447617,19.10184735,18.75282059,18.34287829,17.69961848
Adur,E07000223,18.84556771,17.25268029,18.32970612,17.87032276,16.96145149
Allerdale,E07000026,19.17059636,17.39858191,16.56054221,15.73957032,14.99734543
Amber Valley,E07000032,19.05854534,18.1571346,16.8292837,16.02725255,15.4205094
Angus,S12000041,19.43983969,18.00593938,16.59169252,16.09244723,15.70478132
Antrim and Newtownabbey,N09000001,24.51183685,21.16997987,20.90433147,19.19162787,17.95895835
Ards and North Down,N09000011,24.51183685,19.02150773,18.73570221,17.10119985,15.99549561
Argyll and Bute,S12000035,19.09785099,16.69336003,15.0985393,14.50304867,14.08834233
"Armagh City, Banbridge and Craigavon",N09000002,24.51183685,22.25223783,22.49801485,20.95378836,19.64321118
Arun,E07000224,17.00690209,15.73778442,16.11617561,15.31879097,14.32173828
Ashfield,E07000170,20.29322976,19.03121286,18.92631596,18.17663227,17.46411219
Ashford,E07000105,21.05537127,21.15908377,20.6975503,19.62630777,18.43736695
Aylesbury Vale,E07000004,21.50563925,20.49056891,20.73071678,20.44777289,19.19212726
Babergh,E07000200,19.31214328,18.53999542,16.96042713,16.15136348,15.28211301
Barking and Dagenham,E09000002,23.35006461,25.28645652,27.29506882,26.3149095,24.48076267
Barnet,E09000003,20.44301026,20.63783121,21.4372418,19.87769643,18.18647991
Barnsley,E08000016,20.78912346,18.92348762,18.64200099,17.72320992,16.82153644
Barrow-in-Furness,E07000027,21.01613734,18.7746979,17.52089012,17.37538591,16.66659309
Basildon,E07000066,21.71574999,20.53090365,20.84826377,20.81739486,19.75293233
Basingstoke and Deane,E07000084,21.63149568,20.16959194,20.12416846,18.98591961,18.00245612
Bassetlaw,E07000171,19.94773602,18.4182827,17.83308656,16.94502865,16.14855045
Bath and North East Somerset,E06000022,18.16078379,17.01379886,16.66944291,17.1970126,16.92646681
Bedford,E06000055,20.70346718,20.22456605,20.98902828,19.82384385,18.17957575
Belfast,N09000003,24.51183685,19.71871099,19.89692199,19.37525009,18.26210713
Bexley,E09000004,21.21552529,20.53632882,20.61813976,20.96710682,19.77578003
Birmingham,E08000025,23.67951744,22.73653006,22.76335364,22.51436117,21.78330969
Blaby,E07000129,20.38185173,18.97772683,18.98606865,18.61047061,17.95034112
Blackburn with Darwen,E06000008,25.26438725,23.5510897,23.15733641,21.66595483,20.62899183
Blackpool,E06000009,18.52692201,17.98336144,18.63752198,17.97069805,17.23796726
Blaenau Gwent,W06000019,22.01649554,18.6221713,17.48454377,17.38942737,16.28321287
Bolsover,E07000033,19.98299561,18.61893469,17.72287187,17.01743559,16.23013199
Bolton,E08000001,21.90760574,20.74588628,21.34442062,20.74012519,19.80836891
Boston,E07000136,18.55849962,17.27837108,19.05976992,18.29404466,17.0631323
"Bournemouth, Christchurch and Poole",E06000058,17.57812387,16.22076341,17.1186809,16.33298319,15.24799082
Bracknell Forest,E06000036,22.32563262,20.44771432,20.77402281,19.93712828,18.90881439
Bradford,E08000032,23.78947908,23.23963234,23.75305535,22.22658913,21.08066292
Braintree,E07000067,20.63298316,19.7582943,19.21602523,17.64813477,16.73719483
Breckland,E07000143,19.4099486,17.83725511,17.3567599,16.6644687,15.61208226
Brent,E09000005,21.08938547,20.14259147,21.28931816,19.93516067,18.20167297
Brentwood,E07000068,18.7737684,18.94747084,18.67406924,19.39099065,18.44266994
Bridgend,W06000013,20.73345148,18.82850374,18.02161849,17.62401658,17.05854719
Brighton and Hove,E06000043,16.87653961,16.4167484,15.62561339,15.0428141,14.47771823
"Bristol, City of",E06000023,19.82264932,17.72543404,18.4885791,19.10149928,18.84725087
Broadland,E07000144,18.43039158,17.18252328,16.40842242,16.21022517,15.70085353
Bromley,E09000006,19.44140667,19.65157,20.48257907,20.25934561,19.11501887
Bromsgrove,E07000234,19.04069264,18.2014458,18.05761083,18.11145104,17.54366674
Broxbourne,E07000095,20.50649366,20.20626432,20.26611338,19.90331418,18.69758574
Broxtowe,E07000172,19.21256494,16.81596615,17.15340066,17.30329283,16.94591063
Burnley,E07000117,23.3744892,20.06114877,20.95180002,19.62516153,18.52994071
Bury,E08000002,21.39118587,20.11256831,20.42260189,20.05811428,19.13494914
Caerphilly,W06000018,22.10503749,19.80381144,18.82620056,18.14120255,17.55019134
Calderdale,E08000033,21.42442332,19.94327229,19.64375815,18.74627156,17.80017975
Cambridge,E07000008,15.47791356,14.40055774,16.98579812,16.18161327,14.81147877
Camden,E09000007,17.43832615,16.3373329,17.45898576,16.38757383,14.94203542
Cannock Chase,E07000192,21.56991651,19.30645111,17.90548302,16.57547553,15.73037469
Canterbury,E07000106,18.28985966,17.15032895,15.87755921,15.04318389,13.97872939
Cardiff,W06000015,21.55112913,18.26557288,18.51073994,19.19018947,19.22003287
Carlisle,E07000028,19.51815745,17.11825188,17.73090869,17.16725062,16.54326027
Carmarthenshire,W06000010,19.32061916,18.21419375,17.71091018,16.66010892,16.24741625
Castle Point,E07000069,19.16216658,17.62440354,16.93127567,17.27026068,16.56560317
Causeway Coast and Glens,N09000004,24.51183685,20.83033582,19.66917627,18.26156958,16.58802507
Central Bedfordshire,E06000056,21.54760282,19.9670729,19.86488297,19.4549852,18.12218603
Ceredigion,W06000008,17.32259577,15.25523202,15.00164402,13.95560011,14.9095894
Charnwood,E07000130,19.42484576,17.3797108,16.96314669,17.01141646,16.41059736
Chelmsford,E07000070,20.12425559,18.8740177,19.11745605,18.45385385,17.62781798
Cheltenham,E07000078,18.16603213,17.16812279,17.65821163,17.25578308,16.2864966
Cherwell,E07000177,21.71542936,19.96270797,19.97237884,18.27619635,17.1507663
Cheshire East,E06000049,19.59660973,18.24000436,17.95898002,17.21440723,16.5060799
Cheshire West and Chester,E06000050,20.28631939,18.03384211,17.92882274,17.43782064,16.85089514
Chesterfield,E07000034,19.36248311,17.98672631,16.98398134,16.26206691,15.68240072
Chichester,E07000225,18.43533916,16.64728613,16.4505176,15.49609762,14.6523338
