country,average size of property (m2)
Romania,45
Latvia,63
Lithuania,63
Ireland,81
Greece,89
England and Wales,90
Italy,94
France,94
Germany,94
Scotland,96
Spain,99
Portugal,106
Luxembourg,131
Cyprus,141
USA,245
