date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c
Dec-08,187,25,10.7,5,307,22,9.4,4.4,120,12,5.1,2.4
Jun-09,174,23,9.9,4.6,292,20,8.6,4,118,11,4.7,2.2
Dec-09,184,20,8.6,4,303,18,7.7,3.6,119,9,3.9,1.8
Mar-10,199,20,8.6,4,318,18,7.7,3.6,119,9,3.9,1.8
Jun-10,196,19,8.1,3.8,311,17,7.3,3.4,115,8,3.4,1.6
Sep-10,218,19,8.1,3.8,326,18,7.7,3.6,108,8,3.4,1.6
Dec-10,217,19,8.1,3.8,322,17,7.3,3.4,104,8,3.4,1.6
Mar-11,215,19,8.1,3.8,317,17,7.3,3.4,102,7,3,1.4
Jun-11,222,20,8.6,4,327,18,7.7,3.6,104,9,3.9,1.8
Sep-11,228,21,9,4.2,334,19,8.1,3.8,106,10,4.3,2
Dec-11,204,20,8.6,4,314,18,7.7,3.6,110,10,4.3,2
Mar-12,185,21,9,4.2,296,18,7.7,3.6,112,10,4.3,2
Jun-12,172,19,8.1,3.8,282,17,7.3,3.4,110,9,3.9,1.8
Sep-12,160,19,8.1,3.8,269,17,7.3,3.4,108,8,3.4,1.6
Dec-12,157,19,8.1,3.8,260,17,7.3,3.4,103,8,3.4,1.6
Mar-13,145,18,7.7,3.6,246,17,7.3,3.4,102,8,3.4,1.6
Jun-13,139,18,7.7,3.6,242,16,6.9,3.2,103,8,3.4,1.6
Sep-13,138,19,8.1,3.8,242,17,7.3,3.4,104,8,3.4,1.6
Dec-13,142,19,8.1,3.8,248,17,7.3,3.4,105,9,3.9,1.8
Mar-14,156,20,8.6,4,260,18,7.7,3.6,104,8,3.4,1.6
Jun-14,164,20,8.6,4,268,18,7.7,3.6,105,9,3.9,1.8
Sep-14,188,24,10.3,4.8,289,21,9,4.2,101,11,4.7,2.2
Dec-14,194,25,10.7,5,287,22,9.4,4.4,93,10,4.3,2
Mar-15,200,23,9.9,4.6,290,21,9,4.2,90,10,4.3,2
Jun-15,202,22,9.4,4.4,288,20,8.6,4,86,10,4.3,2
Sep-15,192,20,8.6,4,275,19,8.1,3.8,84,8,3.4,1.6
Dec-15,189,20,8.6,4,279,19,8.1,3.8,90,9,3.9,1.8
Mar-16,193,21,9,4.2,288,19,8.1,3.8,95,9,3.9,1.8
Jun-16,196,21,9,4.2,291,19,8.1,3.8,95,9,3.9,1.8
Sep-16,197,,,,292,,,,95,11,4.7,2.2
Dec-16,208,,,,298,,,,90,10,4.3,2
Mar-17,212,,,,299,,,,87,10,4.3,2
Jun-17,204,,,,294,,,,90,10,4.3,2
Sep-17,222,26,11.1,5.2,314,24,10.3,4.8,91,10,4.3,2
Dec-17,234,26,11.1,5.2,321,24,10.3,4.8,87,11,4.7,2.2
Mar-18,235,27,11.6,5.4,319,24,10.3,4.8,84,11,4.7,2.2
Jun-18,248,27,11.6,5.4,326,25,10.7,5,78,11,4.7,2.2
Sep-18,261,29,12.4,5.8,340,27,11.6,5.4,79,12,5.1,2.4
