date,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West
1981,21.5,19.5,18.2,14.8,17.2,17.5,22.4,18.2,22.3
1982,21.0,20.2,19.3,15.2,17.4,17.3,20.3,19.2,17.8
1983,18.5,19.4,20.3,17.4,17.6,17.3,21.4,16.9,17.9
1984,16.1,19.1,19.7,18.0,16.9,16.8,20.2,19.5,21.1
1985,18.5,21.2,21.2,18.0,18.2,19.9,19.8,19.9,19.2
1986,22.6,20.6,21.3,15.0,17.3,20.0,20.0,19.0,19.4
1987,17.8,21.7,22.0,19.9,15.6,17.9,19.8,17.1,20.0
1988,21.7,19.8,23.5,20.6,20.2,20.6,21.6,19.2,21.2
1989,17.3,17.9,19.1,18.4,18.0,18.2,20.3,18.0,19.3
1990,16.3,19.3,18.6,19.0,18.2,20.4,19.6,19.2,22.5
1991,18.3,20.3,18.3,19.8,17.0,20.9,18.8,18.8,20.5
1992,16.9,20.4,20.1,18.0,17.4,17.7,17.7,20.3,20.6
1993,19.4,18.7,17.3,19.2,19.5,16.8,17.5,17.5,17.1
1994,17.6,18.1,18.8,18.7,16.6,16.7,19.0,17.3,16.8
1995,19.9,19.1,18.4,16.0,16.2,16.8,17.2,17.2,18.7
1996,19.6,18.1,16.8,17.4,15.1,16.2,16.1,16.0,18.4
1997,17.9,18.8,17.8,15.0,14.6,14.1,16.7,15.9,16.6
1998,20.3,21.4,20.0,16.5,16.6,16.4,18.6,17.0,17.0
1999,18.6,20.8,19.1,17.8,19.0,15.9,16.2,16.9,17.8
2000,20.0,19.7,16.1,17.6,18.8,14.5,14.8,15.9,17.6
2001,18.3,18.9,16.1,16.9,18.3,14.1,15.4,15.4,17.2
2002,17.5,16.3,16.3,15.0,16.3,15.8,14.7,15.4,15.0
2003,20.6,16.1,14.8,15.9,15.7,14.2,14.7,15.6,16.2
2004,20.3,16.6,16.9,15.9,15.0,13.7,15.0,14.7,16.5
2005,16.5,17.9,16.2,15.0,13.7,14.4,14.8,14.4,15.6
2006,16.5,16.7,14.5,14.0,13.6,13.2,14.5,13.8,16.0
2007,15.7,16.8,15.1,14.5,11.7,13.3,12.8,13.0,13.8
2008,16.3,16.0,16.1,12.9,15.7,14.9,13.3,14.0,14.9
2009,17.6,18.1,14.4,13.9,14.3,13.1,12.9,14.7,17.4
2010,15.5,16.1,12.6,12.4,14.3,14.3,13.4,13.8,16.6
2011,19.6,17.4,15.9,14.5,13.8,14.5,12.4,14.5,17.2
2012,17.7,18.2,16.9,15.6,14.8,13.0,12.7,14.4,17.2
2013,20.8,18.8,17.9,15.7,16.2,14.0,11.7,16.9,17.9
2014,21.4,17.7,15.6,16.3,18.5,15.2,12.4,15.9,16.0
2015,16.8,16.4,17.9,15.3,15.2,14.5,15.9,14.8,14.7
2016,15.9,16.2,15.8,13.6,13.9,15.2,12.0,14.5,17.1
2017,17.8,15.6,15.3,12.4,15.4,13.2,11.6,13.6,15.7
