name,value
South West, 30.63 
Wales, 22.61 
East Midlands, 31.98 
East, 29.98 
Scotland, 8.73 
North West, 19.69 
North East, 20.67 
South East, 30.96 
Northern Ireland, 6.08 
Yorkshire and The Humber, 23.85 
West Midlands, 23.35 
London, 28.66 
South West,-25.95 
Wales,-19.84 
East Midlands,-29.47 
East,-27.89 
Scotland,-6.88 
North West,-18.31 
North East,-19.49 
South East,-29.84 
Northern Ireland,-5.49 
Yorkshire and The Humber,-23.58 
West Midlands,-23.67 
London,-39.21 
South West, 4.68 
Wales, 2.77 
East Midlands, 2.51 
East, 2.09 
Scotland, 1.84 
North West, 1.38 
North East, 1.19 
South East, 1.11 
Northern Ireland, 0.59 
Yorkshire and The Humber, 0.27 
West Midlands,-0.32 
London,-10.55 
