date,Firearm offences
Mar-03,10248
Mar-04,10338
Mar-05,11069
Mar-06,11088
Mar-07,9645
Mar-08,9865
Mar-09,8199
Mar-10,8082
Mar-11,7040
Mar-12,6022
Mar-13,5158
Mar-14,4856
Mar-15,4911
Mar-16,5182
Dec-17,6641
Dec-18,6525
