AREANM,AREACD,Distance,mapvar,Health (Q),Retail (47),Education (P),Manufacturing (C),Public admin (O),"Wholesale (45,46,48)",Food and drink (56),Transport (H),Professional (M),Construction (F),Admin (N),Finance (K),"Other Services (S, T, U)",Arts (R),Information and communication (J),"Agriculture, Electricity, Water, Mining (A,B,D,E)",Real estate (L),Accommodation (55)
Barrow-in-Furness,E07000027,lessthantwokm,75.04778287,7.043195719,4.265417941,3.252420999,9.770005097,2.685397554,1.28695209,1.417558614,1.411187564,1.016182467,2.137487258,0.990698267,0.691258919,0.68488787,0.525611621,0.477828746,1.165902141,0.245285423,0.471457696
Basildon,E07000066,lessthantwokm,48.98821383,5.4249982,5.231762644,2.510861999,4.120358146,1.532682013,2.478456036,1.460668763,1.803931923,1.19902062,1.85674164,1.320242925,1.225425478,0.746537363,0.631316162,0.790945534,0.496891428,0.562903574,0.146426943
Basingstoke and Deane,E07000084,lessthantwokm,48.0594143,4.154542895,4.22493899,2.655106063,3.255819411,0.890510606,2.496714849,1.28472874,1.276515863,1.450159564,1.386803079,1.441946687,1.647268631,0.821287779,0.547916276,1.887788624,0.838886804,0.412990426,0.27571804
Bassetlaw,E07000171,lessthantwokm,47.40540229,4.953061107,3.159976195,2.107930657,4.636295571,1.207548619,1.875635931,1.41488606,1.760448463,0.57977692,1.38032982,0.741039375,0.278369713,0.554819636,0.362840523,0.245733264,1.403367313,0.309086371,0.314845745
Bath and North East Somerset UA,E06000022,lessthantwokm,48.33104912,4.943852513,3.757902648,4.93722092,1.790530085,1.871214466,1.101949688,1.714266767,0.861001813,1.575003316,1.057739069,0.906317698,0.723948893,0.799106945,0.595738096,0.950528317,0.588001239,0.490737875,0.43326407
Bedford UA,E06000055,lessthantwokm,53.77452877,5.492042741,3.99530435,4.314128303,2.934781159,2.72267652,3.290956872,1.303309633,1.94229153,1.726184918,1.472726545,1.410028948,0.658991769,0.760375118,0.629643958,0.809732802,0.924456065,0.485572883,0.249456398
Bexley,E09000004,lessthantwokm,52.52120954,5.212627324,5.854897476,5.24587112,2.74726736,2.461370708,2.539826068,1.968032765,2.210047605,1.222041967,2.025212095,1.565117949,0.860349459,0.977367624,0.734023031,0.589080078,1.085077525,0.694130475,0.132975187
Birmingham,E08000025,lessthantwokm,58.40921652,8.044875259,4.869508114,5.944687021,4.005612467,2.985293788,2.216638761,2.119562668,2.279248762,2.629008213,1.470417284,1.96211993,2.374081499,1.010325552,0.957096854,1.055804477,0.348943686,0.77354962,0.387080722
Blaby,E07000129,lessthantwokm,53.94827586,3.503831418,8.337164751,2.24137931,4.475095785,4.614942529,2.785440613,1.641762452,3.030651341,1.681992337,1.977011494,1.436781609,2.706896552,0.53256705,0.5651341,0.632183908,2.695402299,0.25862069,0.356321839
Blackburn with Darwen UA,E06000008,lessthantwokm,62.18847893,7.132385846,4.305356234,4.691140842,7.312933043,2.333225314,2.734441307,1.467524652,1.643442433,1.623381634,1.524620774,1.39036773,0.632686758,0.725275064,0.813233955,0.944400722,0.391957163,0.527753345,0.10801969
Blackpool UA,E06000009,lessthantwokm,69.5732897,9.594688149,6.032475297,4.009062874,2.833721443,6.471458242,1.606457298,2.489143433,1.721316634,1.486877714,1.397193027,1.356284222,1.040027692,0.893700044,1.674114167,0.421675373,0.324123607,0.467304424,1.667820505
Blaenau Gwent,W06000019,lessthantwokm,62.56220031,6.40097711,5.193160228,3.569166742,10.06966434,2.795621098,1.5018547,1.651135438,1.298290057,0.696643445,2.008504478,1.298290057,0.416176604,0.782592961,0.615217588,0.162851714,0.945444676,0.588075636,0.076902198
Bolsover,E07000033,lessthantwokm,51.09167345,3.705587198,5.244778953,2.461350692,6.878898834,1.091673447,3.475047464,1.481556821,2.179956604,0.793327909,2.017222674,1.29848115,0.291564958,0.928939518,0.457689178,0.342419311,0.81366965,0.176295091,0.288174668
Bolton,E08000001,lessthantwokm,63.75683617,7.16074849,6.611255081,4.432349041,5.630140667,2.613127172,2.996212482,1.950961613,1.858223767,1.899825792,2.418984391,1.859090476,1.520207317,1.031383527,0.832040493,0.710701254,1.062585046,0.735835811,0.303348096
Boston,E07000136,lessthantwokm,55.71296089,6.603562406,4.25633974,2.072207477,5.465127434,0.818649867,2.932429407,0.933772505,1.429439417,0.64276806,1.199194142,1.429439417,0.313389402,0.511656167,0.332576509,0.15349685,1.730037414,0.457292699,0.131111893
"Bournemouth, Christchurch and Poole",E06000058,lessthantwokm,65.61596394,7.87477324,6.565884228,4.244406575,4.381837172,2.212632621,2.337419603,2.145016767,1.930075312,1.90423836,1.664559398,1.606288824,4.363146611,1.074707272,1.156615909,1.147270628,0.489252928,0.847671926,0.897696663
Bracknell Forest UA,E06000036,lessthantwokm,45.48279801,3.00866819,5.298346996,3.232092461,1.928504233,1.180956861,1.794113694,1.103682301,0.855059804,2.437508399,0.655153877,1.540451552,0.680352103,0.708910093,0.846660395,3.344644537,0.1747077,0.465327241,0.288939659
Bradford,E08000032,lessthantwokm,62.81930564,7.208383055,5.257588753,5.453367393,5.768943914,2.756749702,2.839722554,1.795103669,2.058472554,1.59885889,1.816546092,1.870152148,2.118138425,0.849306384,0.742560412,0.681496122,0.569622613,0.667045794,0.247053998
Braintree,E07000067,lessthantwokm,43.44639685,2.974599507,3.024607267,2.51245883,3.176354952,1.108792744,1.795106137,1.089824283,1.046714145,1.007052819,1.481264334,0.800124157,0.481109138,0.565605008,0.555258575,0.38799124,0.555258575,0.406959701,0.189684606
Breckland,E07000143,lessthantwokm,41.05015212,2.373147512,2.620473059,1.748944941,3.234861125,0.897045834,1.456472667,0.763568554,1.089410148,0.514280106,0.971636078,0.643831583,0.206104623,0.569241338,0.367062518,0.088330553,1.232701934,0.15114339,0.172735303
Brent,E09000005,lessthantwokm,48.60070202,5.704996076,4.133642659,4.615742857,3.218600961,1.707617873,2.960733413,1.695543807,2.795146226,1.469586291,1.611025347,1.641210511,0.651999552,0.688221749,0.655449285,0.833110538,0.327724643,0.770152909,0.205259118
Brentwood,E07000068,lessthantwokm,38.23074453,3.630738698,2.752240026,3.41768088,2.139333975,0.744243061,1.240405102,1.488486122,0.916440475,1.479730321,1.561451128,1.065289087,1.891252955,0.872661471,0.703382658,0.817208067,0.315208826,0.271429822,0.277267023
Bridgend,W06000013,lessthantwokm,49.46339215,5.346326047,4.572688965,2.905254148,4.524953911,3.191664472,1.822162233,1.428759547,0.971161443,0.796681591,1.646036344,0.98597577,0.895443771,0.609033448,0.587634975,0.620555702,0.531669739,0.322623124,0.348959705
Brighton and Hove UA,E06000043,lessthantwokm,59.09605272,6.394639331,4.858476262,5.204612187,0.9526134,1.664115024,1.096836702,2.030959936,1.241799611,1.823870066,0.940779693,1.442972627,2.584925337,0.93264402,1.037668168,1.102753556,0.625707249,0.690792636,0.352792385
"Bristol, City of UA",E06000023,lessthantwokm,63.69109859,7.637787972,4.46335211,4.521115121,2.442068337,3.091375181,2.460619962,1.854740783,1.616942692,3.788747597,1.892687287,2.221135359,3.843980841,0.876142612,0.844942153,1.678500354,0.478547577,0.62105778,0.405184336
Broadland,E07000144,lessthantwokm,46.59415421,5.91298505,4.159667395,2.887199731,3.191668067,1.169578364,2.633126155,1.408953469,1.264068537,1.10028557,2.219469175,1.026793214,2.112380312,0.728624223,0.497648245,0.529144969,0.716025533,0.690828154,0.489249118
Bromley,E09000006,lessthantwokm,52.65230133,6.671061188,6.38601117,5.545113619,1.131292256,1.921415273,1.428813212,1.877766989,1.52323603,1.716535573,1.601624785,1.699610729,2.512003278,1.239076794,1.071609909,0.731331451,0.34116924,0.760727234,0.097985943
Bromsgrove,E07000234,lessthantwokm,47.41655235,5.187217396,3.261697912,3.754508967,3.373469491,1.737540009,2.174465275,2.342122644,0.983081847,1.328557639,1.628308693,1.265051059,1.254890007,1.013565006,0.787481583,0.508052634,0.571559214,0.500431845,0.614743687
Broxbourne,E07000095,lessthantwokm,45.0789265,1.926471717,5.884309361,2.939596285,2.543045002,0.803336148,3.139151124,1.064292476,1.614347481,1.179420268,2.187428045,1.598997109,0.747051449,0.588430936,0.65239082,0.450277586,0.332591399,0.608898099,0.181646072
Broxtowe,E07000172,lessthantwokm,56.96630942,4.671555305,6.425311522,3.651094816,4.838213425,1.694784883,2.179375417,1.846059176,2.763960823,1.615301779,2.046048921,1.520434849,0.743551613,0.943541356,0.80765089,1.335828932,0.507666273,0.435875083,0.328188298
Burnley,E07000117,lessthantwokm,63.97002153,7.066733994,4.95654716,3.925372738,7.685970181,2.612485715,2.354692109,1.692933266,1.878969889,1.320860021,1.650410609,1.451085657,1.304914025,0.791984479,1.007255428,0.571398198,0.366757914,0.627209185,0.098333643
Bury,E08000002,lessthantwokm,58.9752971,7.961028226,6.040895971,4.531349513,4.189872217,2.0434435,2.145073648,2.005501579,1.642343185,1.569169478,1.559683998,1.615241812,0.981069691,1.054243397,0.689729935,1.135547515,0.395680041,0.542027454,0.196484952
Caerphilly,W06000018,lessthantwokm,56.56352953,4.792310566,4.214923751,3.876982644,8.248140475,2.715416228,1.82725945,1.518187685,1.336480658,1.107224128,1.854430595,1.721971267,0.764188432,0.793057773,0.614747139,0.310769962,0.828719899,0.378697823,0.188499813
Calderdale,E08000033,lessthantwokm,62.24112193,6.0900738,4.121023528,4.1851517,7.256996278,2.229768087,2.69022939,1.96064002,1.605306869,1.499127436,2.230819369,1.488614621,4.834843674,0.869409811,0.706461176,0.675974012,0.559281764,0.515127941,0.281743445
Cambridge,E07000008,lessthantwokm,51.36142403,5.459421223,3.546353875,9.507269022,0.970258771,1.171912117,0.775995861,1.834939874,0.650358436,4.34346527,0.532111448,1.13601571,0.399083586,0.631354456,0.676752853,2.312150934,0.239661307,0.393804702,0.329402325
Camden,E09000007,lessthantwokm,45.41956727,5.115409747,2.778011003,4.695605194,0.532239164,1.420399581,0.683733851,2.205251572,1.082000606,8.539554715,0.770615141,1.780336355,1.064113282,1.36929294,1.590876734,3.974271457,0.141273359,0.660005768,0.679353282
Cannock Chase,E07000192,lessthantwokm,56.50286419,4.153715739,5.838834802,2.697218012,5.748927535,1.243289065,3.93280074,1.916309178,2.519972257,0.924760461,2.694649233,1.402553366,0.662744997,0.76292738,0.580544067,0.339078836,0.46238023,0.285134476,0.210639883
Canterbury,E07000106,lessthantwokm,48.79929729,5.091634534,4.274293201,5.481695425,1.341392607,1.31459453,1.752296446,1.63766023,0.793520821,0.997483958,1.1016987,0.88135896,0.652086528,0.802453513,0.634221144,0.400482365,0.422814095,0.260536855,0.232249996
Cardiff,W06000015,lessthantwokm,58.74270216,6.281503492,5.207580282,5.027595938,1.96636636,4.021977036,1.823276313,2.15731928,1.470786198,2.826402357,1.731040569,1.614374816,2.788012345,0.979194608,1.323707578,1.395501887,0.983681751,0.617730203,0.473643013
Carlisle,E07000028,lessthantwokm,61.14620622,5.427458412,5.232680564,2.800589598,4.190355864,2.623359304,3.056783884,1.726679301,2.823401418,1.549449007,2.219765565,1.238857303,0.79490419,0.851056363,0.670316558,0.536955148,0.791394679,0.519407595,0.510633818
Carmarthenshire,W06000010,lessthantwokm,40.79344429,4.055739596,3.21213503,2.55361382,3.194699642,1.712691622,1.376054506,1.026005553,0.952240447,0.658521211,1.249983235,0.603532678,0.313836993,0.439908263,0.4533201,0.191789273,0.508308634,0.24811899,0.265554378
Castle Point,E07000069,lessthantwokm,55.33294278,4.991212654,5.123999219,5.182581527,3.264987307,1.054481547,2.483889865,1.862917399,1.523140012,1.116969342,1.687170475,1.089630931,0.831868776,1.206795548,0.781097442,0.246045694,0.394454209,0.320249951,0.078109744
Central Bedfordshire UA,E06000056,lessthantwokm,43.93194056,2.490991538,3.236973157,3.211668489,2.994048342,1.037491396,2.124579943,1.500060731,1.69541277,1.083039799,1.489938864,1.024332969,0.361350662,0.928175229,0.769261913,0.511154298,0.4423256,0.429167173,0.343131301
Ceredigion,W06000008,lessthantwokm,41.08187135,3.5666423,2.485380117,4.279361598,1.157407407,1.291423002,1.260964912,1.038620858,0.709673489,0.962475634,1.008162768,0.405092593,0.35331384,0.517787524,0.709673489,0.237573099,0.837597467,0.271076998,0.627436647
Charnwood,E07000130,lessthantwokm,53.08822883,3.461160852,3.927142711,5.143384669,5.426197559,0.971528215,2.381196606,1.676362411,1.329074044,1.797986607,1.774540979,1.043330451,0.4586551,0.848438668,0.78396319,0.479170025,0.720953065,0.345823015,0.326773442
Chelmsford,E07000070,lessthantwokm,43.22017576,4.789936198,3.48501264,3.066088841,1.593836523,1.722643554,1.378355604,1.380763212,1.235102925,1.249548573,1.207415433,0.996749729,1.27843987,0.819790538,0.570603106,0.429758035,0.477910196,0.345491754,0.179366799
Cheltenham,E07000078,lessthantwokm,59.11040832,5.232339679,4.714115731,3.926603206,2.846317635,5.459356212,1.427855711,1.470127756,0.687312124,1.672094188,0.95503507,1.171092184,1.493612224,1.002004009,0.537011523,0.859531563,0.206663326,0.435245491,0.327216934
Cherwell,E07000177,lessthantwokm,45.56013955,2.617953262,3.372466497,2.181858456,3.199413003,1.954812272,2.112637058,0.877727323,1.240447447,1.139384206,1.107542363,0.912338022,0.588381881,0.41948167,0.4803965,0.868036327,0.41948167,0.289345442,0.184128918
Cheshire East UA,E06000049,lessthantwokm,47.49162237,4.197548383,3.812777663,2.495824828,4.785347058,0.889065962,1.941318372,1.473589993,1.377533756,1.810878369,1.041336928,1.099734754,1.150491742,0.713872485,0.650562693,0.726971063,0.654383112,0.439348127,0.514664949
Cheshire West and Chester UA,E06000050,lessthantwokm,47.43760525,4.248246915,4.879734587,2.993440068,3.540101038,1.341518586,1.822203232,1.744288335,1.244124965,1.493578304,1.109030588,1.249151733,1.639982909,0.707517531,0.635257748,0.491994873,0.622690828,0.432302008,0.52027044
Chesterfield,E07000034,lessthantwokm,62.71463457,8.854577268,6.295306401,3.711038899,5.255061819,2.142019344,3.862941527,1.630549734,2.218932067,1.859365085,1.761301363,1.461341742,0.8825735,1.119080124,0.878727864,1.17291903,0.376872343,0.43071125,0.259580441
Chichester,E07000225,lessthantwokm,43.63659886,4.353310262,3.494614962,3.057990233,2.724861736,1.544357838,1.531420809,1.644619813,0.768136098,1.195058055,1.156246968,1.007471134,0.813415699,0.705068081,0.826352728,0.601571849,0.895889258,0.509395517,0.380025227
Chiltern,E07000005,lessthantwokm,38.56293111,4.476528247,3.13049792,4.429054148,1.80401575,0.519422492,1.292971041,1.181267279,0.659052194,1.734200899,0.754000391,0.879667123,0.642296629,0.807059678,0.681392946,0.703733698,0.262503839,0.505459521,0.209444553
Chorley,E07000118,lessthantwokm,53.25970021,7.442205169,4.021133663,3.652968037,2.536517727,2.883167181,2.091850152,1.87190705,1.111668938,1.436802219,1.640010519,1.443974276,0.583327357,0.877381721,0.86064692,0.609624901,0.506825409,0.334696024,0.282100935
City of London,E09000001,lessthantwokm,38.55070842,0.67555282,1.150537785,0.593031875,0.241688462,0.514986643,0.280291481,1.485097277,0.363931354,9.00065737,0.406730352,1.905254766,14.94412353,0.445892834,0.465474076,2.200092312,0.090353441,0.444494175,0.23301677
Colchester,E07000071,lessthantwokm,52.5756298,6.224983075,4.819878137,4.806812918,2.077369853,1.919399475,1.850510137,1.636715641,1.0392788,1.427672134,1.302958678,1.359970544,1.228130605,0.791039635,0.789851888,0.812419085,0.454907177,0.629506016,0.235173946
Conwy,W06000003,lessthantwokm,50.29223125,5.338966355,5.216382462,3.20688221,1.144846004,2.449488869,1.547621654,1.97666528,1.136090012,1.499463695,1.473195718,0.860276252,0.512225554,0.844953265,0.78147232,0.361184686,0.566950507,0.527548541,1.346233829
Copeland,E07000029,lessthantwokm,43.56603394,4.838755995,2.891766936,2.331792206,5.057002556,1.579415903,0.835654596,1.407115987,0.646124688,1.160152773,1.789047469,1.111334463,0.267064871,0.519771415,0.453723114,0.335984838,2.466760474,0.31013985,0.534129742
Corby,E07000150,lessthantwokm,62.5403382,2.233122499,4.888989286,2.368658836,13.01148832,1.161740028,4.708274171,1.129469472,3.698205757,0.600232348,1.200464696,1.891054602,0.271072673,0.571188847,0.451787789,0.487285401,0.522783013,0.171033949,0.371111398
