AREANM,AREACD,Distance,mapvar,Health (Q),Retail (47),Education (P),Manufacturing (C),Public admin (O),"Wholesale (45,46,48)",Food and drink (56),Transport (H),Professional (M),Construction (F),Admin (N),Finance (K),"Other Services (S, T, U)",Arts (R),Information and communication (J),"Agriculture, Electricity, Water, Mining (A,B,D,E)",Real estate (L),Accommodation (55)
East Devon,E07000040,lessthantwokm,44.07922461,3.243005552,3.470199161,2.085051027,1.843199765,1.601348504,1.548214515,1.7405962,1.509738178,0.925264296,1.156122318,0.776855567,0.74387585,0.826325144,0.718224958,0.278495392,0.753036882,0.304146283,0.765862328
East Hampshire,E07000085,lessthantwokm,37.74088288,2.963449422,2.370349088,2.700761385,2.10355655,0.763437109,1.520717467,1.073326903,0.671085846,1.032281897,0.978923389,0.853736122,0.449442814,0.654667844,0.504853572,0.406345558,0.527428325,0.223695282,0.180598026
East Hertfordshire,E07000242,lessthantwokm,42.9097983,3.237090884,3.020374731,3.545954063,2.807071431,1.243984847,1.614279376,1.366847548,0.699634825,1.644995051,1.279819801,1.141599263,0.505102215,0.747414764,0.70646053,0.583597829,0.363468824,0.477799393,0.373707382
East Lindsey,E07000137,lessthantwokm,42.99933008,2.499760743,2.28730022,1.791559001,1.783902766,0.964685616,1.196286726,1.165661786,0.668006508,0.5569911,1.002966791,0.627811274,0.126327878,0.489999043,0.685233037,0.112929467,1.228825726,0.174179347,1.286247488
East Northamptonshire,E07000152,lessthantwokm,44.2336559,2.663600652,2.759413625,2.376161732,4.011369806,0.386445658,2.277154993,0.945354668,1.778927533,0.887866884,1.414838236,0.894254415,0.469483568,0.568490307,0.431158379,0.198013478,0.443933443,0.367283063,0.099006739
East Riding of Yorkshire UA,E06000011,lessthantwokm,47.25014125,4.874513069,2.960986054,2.608611615,3.947485801,1.691992031,1.652591513,1.324749472,1.189449582,0.821463618,1.34928187,0.859377323,0.381367272,0.572422612,0.471319397,0.486930923,1.068274406,0.206666865,0.373189806
East Staffordshire,E07000193,lessthantwokm,53.37748122,5.467502563,4.620401029,2.63878851,6.817150445,1.030304049,2.548027632,1.763114107,1.874044069,1.048792376,1.674033985,1.237037162,0.463888936,0.734490815,0.616837824,0.524396188,0.549607543,0.342874431,0.300855505
East Suffolk,E07000244,lessthantwokm,48.89771163,3.331803763,3.729824631,2.71332522,2.635516629,1.918281029,1.624004948,1.505296969,2.295353431,1.005526405,1.320750953,1.028469964,0.418969335,0.69229695,0.66436566,1.69383317,1.195060152,0.33218283,0.734193883
Eastbourne,E07000061,lessthantwokm,63.18302147,9.351313438,6.738013892,4.443740525,1.988822771,1.624544652,2.599723963,1.794239428,1.36887119,1.420910922,1.095096952,1.185600833,0.891463221,1.047582415,0.843948684,0.450256805,0.210421522,0.547548476,0.877887639
Eastleigh,E07000086,lessthantwokm,56.83322739,3.807692904,6.525480225,3.154989845,5.359606828,1.669741554,3.173594208,1.63718392,3.320878746,2.034076991,2.261980434,1.575169377,2.993752035,0.790685416,0.737973055,1.314708299,0.327126712,0.598440334,0.300770531
Eden,E07000030,lessthantwokm,35.83648231,1.556166266,1.982136723,1.624871178,1.315699072,0.9412573,1.1370663,1.391274476,0.862246651,0.645826177,1.054620405,0.642390931,0.199244246,0.33665407,0.377877018,0.075575404,1.143936791,0.171762281,1.350051529
Elmbridge,E07000207,lessthantwokm,45.01231094,3.870911009,4.913823426,4.37741822,2.553640521,0.603236018,2.384804784,1.494899754,1.303200844,2.755891664,1.24516356,1.554695744,0.865283152,1.095673585,1.282096377,1.104467112,0.360534647,0.743932466,0.263805839
Enfield,E09000010,lessthantwokm,52.68398839,7.027923277,5.277537024,5.879526699,1.805969024,1.89923503,2.569054528,1.85589931,2.194106342,1.239778423,1.78995365,1.455514941,1.069261785,0.955270001,0.766853827,0.642499152,0.405094773,0.877077288,0.196894901
Epping Forest,E07000072,lessthantwokm,41.55639113,4.075866797,4.104950454,3.604296072,1.466647278,0.986766936,2.046243015,1.747096828,1.184120323,1.233978021,2.299686312,1.481189106,0.65230488,1.032469825,1.092714544,0.446641876,0.581673141,0.457028897,0.220204832
Epsom and Ewell,E07000208,lessthantwokm,53.09010902,7.684224353,4.866675424,5.411795613,0.51556548,1.208459215,2.331538158,1.599238145,1.385787469,3.487455668,1.582818862,1.093524235,2.042558781,1.001576251,1.359516616,0.719164587,0.453172205,0.522133193,0.101799553
Erewash,E07000036,lessthantwokm,59.40878261,4.335748513,4.294080882,3.719993518,8.967800181,1.108821963,2.523206556,1.425958934,2.009305771,0.923632491,2.187550638,1.169008542,0.44908447,0.70834973,0.516215653,0.377323549,0.685201047,0.414361444,0.530104864
Exeter,E07000041,lessthantwokm,50.6732356,5.07019348,3.364982183,3.221486141,1.456484825,2.502810131,1.854686342,1.211345754,1.381149403,2.183531438,1.16351374,1.113290125,0.852605649,0.72106761,0.557242963,0.905220864,1.342883792,0.550068161,0.236768469
Fareham,E07000087,lessthantwokm,55.25131064,4.386973553,5.43937947,3.839332697,4.751417825,4.385024654,2.631014792,1.872892752,2.798620179,1.670207168,1.941104247,1.715031865,1.420747988,0.982245523,0.666523747,1.058252616,0.51840736,0.387831069,0.239714681
Fenland,E07000010,lessthantwokm,47.80390013,2.788408967,2.850894322,1.895389102,5.412793876,1.348642245,1.908406884,0.731599365,1.476216512,0.614439324,1.239292874,1.28615689,0.236923638,0.419172589,0.322841001,0.143195605,1.15337551,0.242130751,0.041656903
Flintshire,W06000005,lessthantwokm,48.9253253,3.177058872,4.097024615,2.678398762,10.4898196,1.665883913,2.073376247,1.408956543,1.389617924,1.230764981,1.652070614,1.413100533,0.660275713,0.526286709,0.534574689,0.49451612,0.828797967,0.24173274,0.464126861
Forest of Dean,E07000080,lessthantwokm,44.98244017,4.103798127,2.006373569,3.681061394,4.91024974,0.907258065,2.022632674,0.972294485,1.105619147,0.773933403,1.479578564,1.105619147,0.474765869,0.676378772,0.520291363,0.347944849,0.975546305,0.334937565,0.425988554
Fylde,E07000119,lessthantwokm,49.87732617,3.828349227,2.997407647,1.823905194,6.816498472,3.65706879,1.374872697,1.738264975,0.759188964,1.719748171,1.381816498,1.090176835,2.550689751,0.819368576,0.504582909,1.20359226,0.469863901,0.282381261,1.173502453
Gateshead,E08000037,lessthantwokm,60.32246872,6.011320018,7.181272092,3.308177737,6.155530978,2.943855312,3.156376727,2.208704704,2.751935463,1.450783944,2.793138594,2.265087936,0.921648993,0.809966821,0.958514952,1.126580357,0.490100405,0.525882072,0.375165355
Gedling,E07000173,lessthantwokm,54.90998143,5.010899109,4.809063753,3.829489491,4.46190694,3.471568126,2.14752819,1.803062515,1.579698054,0.788503458,2.117925671,1.106057752,0.492478269,0.890766706,0.707769316,0.325627708,0.890766706,0.411744127,0.12648349
Gloucester,E07000081,lessthantwokm,57.65896404,7.018118315,5.100258833,2.93136246,3.068575171,3.42096236,2.262450494,1.26453987,1.626282471,1.420463405,1.634078648,1.456325818,2.714628746,0.725044438,0.601864845,0.848224031,1.253625221,0.463092899,0.257273833
Gosport,E07000088,lessthantwokm,63.63806249,5.333383166,3.864553745,4.36911347,5.759455823,6.155628644,1.592166243,2.029451338,1.27448049,1.102556436,1.296905367,1.401554791,0.53445956,1.031544326,0.751233368,0.773658245,0.317685753,0.485872328,0.127074301
Gravesham,E07000109,lessthantwokm,48.48174367,3.47739692,4.62928465,4.514406359,2.583209141,1.661077993,1.375434675,1.524465971,1.956035768,0.950074516,1.512046696,1.102210631,0.583705912,0.875558867,0.75136612,0.204918033,0.40052161,0.44709389,0.21112767
Great Yarmouth,E07000145,lessthantwokm,57.49328959,6.779998012,5.542300427,2.694104782,2.875534347,1.257580276,1.714882195,1.881399742,1.603042052,1.712396859,1.366935083,1.232726911,0.511979322,0.825131723,1.163137489,0.233621632,1.001590615,0.280843026,1.873943732
Greenwich,E09000011,lessthantwokm,52.42978257,7.062691043,4.257454294,7.107676337,1.3345637,3.51462022,1.379548994,2.589538036,2.14314551,1.184612723,1.598708115,1.744045216,0.534056174,0.899705865,1.50643059,0.621719822,0.370263567,0.769363862,0.126881596
Guildford,E07000209,lessthantwokm,41.6285137,4.227945878,3.507941786,4.267590864,1.411873034,1.995037982,1.448960278,1.410594163,0.812082768,2.174079853,0.948921912,0.920786761,0.883699517,0.748139243,0.854285495,1.418267386,0.368314705,0.352968258,0.182878482
Gwynedd,W06000002,lessthantwokm,42.51362175,4.811014284,3.100775194,3.741899998,1.471321267,1.935406246,0.96598429,1.156774781,0.804413964,0.833634129,1.338971106,0.587840974,0.292201654,0.575809141,0.766599632,0.544870142,0.88176146,0.275013321,1.020986954
Hackney,E09000012,lessthantwokm,48.18591598,5.597470374,2.697819255,4.00876527,0.985131719,1.803031322,0.76119446,1.960652397,1.564677502,4.771881938,0.782338751,1.638682518,1.247513143,0.855382664,1.194652417,2.738185628,0.118215807,0.868838121,0.232587196
Halton UA,E06000006,lessthantwokm,57.71807421,4.484709639,5.413238918,3.073692249,5.704814468,2.494012288,3.122288174,1.445728765,2.995591655,1.63317019,1.813669339,1.751188865,0.513728349,0.603977923,0.654309417,1.798049221,0.836544136,0.480752543,0.37314728
Hambleton,E07000164,lessthantwokm,35.80520988,1.835067924,1.820811014,1.417544146,1.995967331,2.093728997,1.354406403,1.122222449,0.574349783,0.619157213,0.902258702,0.470478014,0.252550968,0.395120064,0.370679647,0.232183955,0.906332104,0.187376525,0.395120064
Hammersmith and Fulham,E09000013,lessthantwokm,46.39023649,4.492523118,3.90668084,3.040305629,0.808030755,1.398668468,1.1133401,1.731951182,1.03101847,3.785196493,0.729705321,1.737545856,0.86717445,0.83040945,1.580894988,6.392314517,0.152654672,0.866375211,0.330085758
Harborough,E07000131,lessthantwokm,33.59774038,1.772390255,2.631517006,1.970107097,1.725314817,0.581381664,2.113687184,1.040367188,1.22631517,0.722607979,0.910909733,0.915617277,0.329528069,0.41661763,0.313051665,0.388372367,0.529598682,0.169471578,0.209485701
Haringey,E09000014,lessthantwokm,46.50232524,4.605077488,4.439427218,5.580573518,1.596377781,2.179221321,1.674908279,1.9522191,2.474937728,1.548523259,1.149735573,1.423365277,0.627016945,1.142373338,1.112924402,0.595113931,0.193872167,1.008626084,0.131293176
Harlow,E07000073,lessthantwokm,52.55656957,5.393174147,5.365670709,2.832854107,4.235529441,1.197649706,3.417927241,1.205150644,1.602700338,1.422677835,1.632704088,1.592699087,0.510063758,0.580072509,0.547568446,1.232654082,0.307538443,0.330041255,0.202525316
Harrogate,E07000165,lessthantwokm,46.57671587,3.995844708,3.300074892,2.475056169,1.772038751,1.38429203,1.822771966,1.386707897,0.82743459,1.836059237,0.988089774,0.845553596,0.942188293,0.99050564,0.491629019,0.542362235,0.585847848,0.233131206,0.643828667
Harrow,E09000015,lessthantwokm,50.95940811,5.622171794,4.903790636,5.632913942,1.600580076,1.65160528,1.526727807,1.511957354,1.564325326,2.993031031,1.572381937,1.369623891,1.256831335,0.964107797,1.153438159,0.774777436,0.174559907,0.640500584,0.189330361
Hart,E07000089,lessthantwokm,40.60685754,2.763856498,3.04917382,3.183148911,1.766486379,2.111348186,1.64987843,1.729271076,0.994889098,1.421624572,1.163598472,1.5233464,0.846027887,0.88820523,0.592963827,2.396665509,0.325013646,0.38703915,0.846027887
Hartlepool UA,E06000001,lessthantwokm,64.592925,6.987586689,5.45777726,4.134856344,5.16929891,2.855644268,1.285039921,2.060143365,1.503584125,1.17722478,2.427297628,1.349146221,0.501194708,0.964508421,0.84503759,0.2564252,1.993123143,0.65271869,0.259339122
Hastings,E07000062,lessthantwokm,65.68616878,10.17255325,5.424642761,3.682933405,3.329738474,4.327311944,1.914262604,1.364249124,1.229441898,1.353464546,1.515233217,0.827716366,0.806147209,0.803451065,0.74683203,0.439471556,0.326233487,0.633593961,0.390940954
Havant,E07000090,lessthantwokm,59.33658578,4.669890709,5.903406549,4.676281983,5.884232728,1.751209016,1.725643921,1.570122925,1.1781248,1.525384009,2.064381431,2.215641577,0.647649076,0.960821492,0.769083278,1.239907113,3.142376275,0.658301199,0.558171244
Havering,E09000016,lessthantwokm,51.77762655,7.098772675,6.140145026,4.41649262,1.629784338,1.694318635,1.877361369,1.830427334,2.188299345,1.115856663,2.068617558,1.526529463,1.87970807,0.871799686,0.882359843,0.454086781,0.347311854,0.421232957,0.159575716
"Herefordshire, County of UA",E06000019,lessthantwokm,46.57441016,4.021098004,3.370009074,2.558983666,4.198049002,1.518829401,1.746823956,1.136569873,0.790607985,0.891560799,1.425816697,0.814428312,0.400408348,0.568284936,0.471869328,0.362976407,1.084392014,0.420825771,0.420825771
Hertsmere,E07000098,lessthantwokm,43.93952336,3.331340224,3.346288545,4.104381994,1.699837704,0.640642351,3.109250876,1.622960622,1.206543094,1.928333476,1.298368497,1.507644999,1.804475955,1.048517981,1.116853165,1.059195353,0.333134024,0.548816947,0.433501324
High Peak,E07000037,lessthantwokm,53.41987019,3.270094858,2.709824153,2.790259056,5.907804959,0.843179675,1.678038498,1.112220558,1.564320186,1.103899706,1.170466522,0.74332945,0.352249404,0.490930271,0.47151495,0.18860598,1.292505687,0.266267266,0.269040883
Hillingdon,E09000017,lessthantwokm,48.74988685,3.509248363,4.383693914,3.587097553,2.13511964,2.088048037,1.946229746,2.413324885,8.117437615,1.290848194,1.209378112,2.713858966,0.694607888,0.707884493,0.448990676,1.185238828,0.266739085,0.332518633,0.92031019
Hinckley and Bosworth,E07000132,lessthantwokm,49.90530967,2.864090155,3.55848589,2.92721704,6.693787847,0.530733441,2.99501999,1.349044914,1.4051577,1.57349606,1.676369503,0.904818686,0.486310818,0.717776063,0.603212457,0.367071146,1.358397044,0.21042295,0.399803605
Horsham,E07000227,lessthantwokm,40.29303383,2.949732884,3.42578063,2.8086817,2.159846254,0.518363101,1.964137736,1.272986935,0.768728953,1.313539151,1.260644957,1.013805385,0.955621771,0.803991748,0.729939877,0.673519403,0.543047059,0.544810198,0.329707142
Hounslow,E09000018,lessthantwokm,49.99343472,3.312762128,3.559153156,3.183001336,1.821285404,2.019016135,2.08775846,2.138735914,5.592844619,2.120198658,0.956985842,2.170403726,1.072843692,0.739945469,0.904463617,3.82408144,0.383875677,0.661934517,0.258749199
Huntingdonshire,E07000011,lessthantwokm,40.93140405,3.001876173,2.436454291,1.9147241,3.210054229,2.081780565,1.554910175,0.988203243,0.9586471,1.251638438,0.886684315,0.968927497,0.349533527,0.799300933,0.443342157,0.66822586,0.660515563,0.362384024,0.283995991
Hyndburn,E07000120,lessthantwokm,61.7229158,5.437593793,5.412050193,4.083783007,7.928094767,2.247836776,3.410070564,1.455985185,1.510265334,1.060059389,1.784859031,1.449599285,0.533222644,0.801430442,0.520450845,0.427855296,0.424662345,0.424662346,0.229892398
Ipswich,E07000202,lessthantwokm,62.18084219,7.015909217,5.235856928,3.259720754,2.134672081,2.907882294,2.494854536,1.653501697,2.807754353,1.447683151,1.838460255,1.65906436,3.368192691,0.830227513,0.827446181,0.820492852,0.741224898,0.527062357,0.176614563
Isle of Anglesey,W06000001,lessthantwokm,41.94084279,3.107779579,2.585089141,2.508103728,2.410858995,2.366288493,1.474878444,1.361426256,1.033225284,0.741491086,1.284440843,0.551053485,0.198541329,0.490275527,0.397082658,0.068881686,1.470826581,0.275526742,0.842787682
Isle of Wight UA,E06000046,lessthantwokm,56.95594219,5.807141855,4.093587765,3.351690753,3.227164305,2.537884103,1.39083766,1.781955942,1.027781675,1.026027782,1.425915532,0.8278378,0.406903325,0.766451523,0.96288761,0.371825453,0.880454609,0.480566858,1.1312614
Islington,E09000019,lessthantwokm,46.18124211,4.983085976,2.673487862,3.502513281,0.704552493,1.787883841,0.699787979,2.244086047,1.211377659,7.34628487,0.892155228,2.045763156,2.375110179,1.082735783,1.19887081,3.893798985,0.194153942,0.860590323,0.231674488
Kensington and Chelsea,E09000020,lessthantwokm,47.69273962,5.144544078,6.956662299,3.10101921,0.446648857,0.935835701,0.734205646,3.246499124,0.68911538,3.160572391,0.631263719,1.737251365,1.113644485,1.898895714,2.160078951,2.550577666,0.136121557,1.433530142,1.25401984
Kettering,E07000153,lessthantwokm,55.54301303,7.146888669,4.503551103,2.892620291,4.218992522,1.01124124,2.939654767,1.30755844,1.803772165,1.368703259,1.627392879,1.366351536,0.451530972,0.665537839,0.439772353,0.656130944,0.416255115,0.310427543,0.315130991
King's Lynn and West Norfolk,E07000146,lessthantwokm,45.24323141,4.156505971,3.892327893,2.415119115,4.104920903,1.186456575,1.986806728,1.211467517,0.98793222,0.800350153,1.495966986,0.905083474,0.697180016,0.598699431,0.426749203,0.179766148,1.297442632,0.342337273,0.572125305
"Kingston upon Hull, City of UA",E06000010,lessthantwokm,71.69283993,7.577298535,7.140855109,4.730406093,8.226758387,3.833494831,3.344197705,2.308745686,2.847693256,2.022054407,3.366620486,2.618660559,0.693504601,0.908122653,1.139557791,0.959374725,0.865679531,0.644654969,0.504512585
Kingston upon Thames,E09000021,lessthantwokm,55.84988962,6.438786283,7.239521204,5.872513128,1.101010517,2.702480359,1.770117779,1.770117779,1.069474723,1.984012724,1.00914538,2.40906037,1.356039104,1.021485474,1.556222835,1.394430505,0.178245786,0.549819698,0.194699245
Kirklees,E08000034,lessthantwokm,61.66576186,6.184712122,5.48612064,4.938463099,7.75311264,2.194209625,2.825984501,1.865495785,1.984214577,1.595843053,2.022395495,1.378092505,0.856087768,0.836400733,0.826855503,0.629985145,0.582855574,0.502914278,0.172410707
Knowsley,E08000011,lessthantwokm,60.78817219,9.046740039,3.688353302,4.000069657,7.655335748,2.340484815,1.922541098,1.316522708,2.157634439,1.208553915,2.977848983,2.159375871,0.919476177,0.839370298,0.823697409,0.520688214,0.853301755,0.661744218,0.25076623
Lambeth,E09000022,lessthantwokm,46.16246863,9.571229182,2.564380709,3.959386458,0.522855965,2.61355665,0.765119794,2.197007499,1.367525076,2.630912865,0.950975925,1.861454017,0.506222926,1.099226924,1.435503583,2.421915114,0.363034155,0.668937438,0.370989087
Lancaster,E07000121,lessthantwokm,63.69067711,7.164315129,4.409977722,7.081617498,2.24464997,2.221022075,1.792344562,1.837912644,1.917234861,1.264092351,1.488557348,1.422736785,0.901235401,0.995746979,0.729089313,0.659893337,2.496118274,0.327415108,0.65820563
Leeds,E08000035,lessthantwokm,54.03737277,5.872586413,4.626260122,4.036278864,3.382121647,2.302312522,2.16909879,2.009388165,1.935974757,2.737688061,1.756330691,2.04974123,2.771963857,0.788586403,1.036782062,1.243895383,0.750178064,0.534556566,0.406204648
Leicester UA,E06000016,lessthantwokm,69.7717993,9.265961537,5.909171361,5.805416028,7.114564197,3.313457067,2.812990168,2.033604521,1.715624943,1.908487797,1.958534486,2.22585705,1.741868939,0.998492495,0.953938736,0.809291595,0.756803603,0.699433008,0.286852979
Lewes,E07000063,lessthantwokm,39.22149773,3.529440822,2.472337483,2.788480537,1.921557005,1.368306659,1.259632484,1.057103339,0.812586445,1.052163604,0.987947046,0.521142067,0.291444379,0.49644339,0.654514918,0.355660937,0.53843114,0.37295001,0.125963248
Lewisham,E09000023,lessthantwokm,49.9009876,7.788554924,3.819229848,6.735365715,0.694978747,2.771085857,1.031747033,2.145478854,1.700238387,1.089767037,1.41139967,1.526178374,0.677320485,0.905616589,0.843812671,0.396049594,0.232080018,0.943455722,0.107210877
Lichfield,E07000194,lessthantwokm,44.39313545,4.713273983,3.561041671,2.646360145,3.436716027,1.241036343,2.10021535,1.862664565,1.474146926,1.185533823,1.469706725,1.067868481,0.466221166,0.670470439,1.223275537,0.457340763,0.865839309,0.259751793,0.184268366
Lincoln,E07000138,lessthantwokm,64.07745905,8.433625916,6.636503484,4.095556963,4.104605918,4.093747172,2.42692969,1.838747625,1.6432902,1.902090309,1.646909782,1.366392182,0.935661931,0.946520677,0.70943806,0.761921998,1.122070402,0.562844991,0.2606099
Liverpool,E08000012,lessthantwokm,65.83197479,10.14089385,6.310236766,5.130208553,2.732563542,4.916925,1.584211104,3.093245035,2.468176405,2.855887893,1.571963138,2.159443182,2.262495037,1.125123536,1.598993133,1.18551868,0.346744153,0.955763724,0.62844738
Luton UA,E06000032,lessthantwokm,54.73750609,4.800584303,3.647470232,4.293745297,4.408835377,1.967597716,2.163472179,1.429772918,3.511354079,1.365588066,1.430879554,2.099287327,0.620822451,0.634102076,0.723739542,0.676154221,0.247886326,0.611969368,0.380682573
Maidstone,E07000110,lessthantwokm,45.10880118,4.952686697,3.853671797,2.598024621,1.598684807,3.238793025,2.049164412,1.400629118,1.229757544,1.38638982,1.558555876,1.454997346,0.904842656,0.667952518,0.635590478,0.507436797,0.683486297,0.383166561,0.412939638
Maldon,E07000074,lessthantwokm,40.59035834,2.827189138,2.397525135,1.942081292,3.355675861,0.674572484,1.705766091,0.975337286,0.842141445,0.923777606,1.413594569,0.760505285,0.455443843,0.472630403,0.743318725,0.201942081,0.833548165,0.232018561,0.232018561
Malvern Hills,E07000235,lessthantwokm,42.98398605,3.862375139,3.20913271,3.253527826,3.887743777,0.818138576,1.522118281,1.41430157,0.589820834,1.874108134,1.116220073,0.757888061,0.431266846,0.615189472,0.50737276,0.592991914,0.872046932,0.437609006,0.399556049
Manchester,E08000003,lessthantwokm,56.39717364,7.29996852,4.505403055,5.38310731,1.836758229,2.242571773,1.426269414,2.775552695,2.804227692,3.786969707,1.005806687,2.440491589,2.689216019,0.818795837,1.034169999,1.301283829,0.23033503,0.825029532,0.679161069
Mansfield,E07000174,lessthantwokm,61.01114592,5.93720405,6.930380515,4.400087419,5.633666011,2.557004444,2.542434618,1.979068017,1.437556155,1.206867245,2.831402831,1.233578592,0.976178335,1.228721984,0.864476336,0.366673952,0.653213861,0.514800515,0.150554868
Medway UA,E06000035,lessthantwokm,56.73599968,6.022989898,5.312503154,4.58990584,3.617023424,2.781394128,1.978059685,1.689424445,1.905396268,1.212066164,1.753004935,1.564281894,1.589512247,0.818472656,0.906274284,0.572224409,0.848749079,0.549012484,0.247257461
Melton,E07000133,lessthantwokm,46.83055942,1.915571307,1.498362568,2.346238392,5.244268987,0.610111704,1.386209681,1.04077879,1.184334485,0.708806245,0.834417478,0.780584092,0.291597506,1.292001256,0.695347898,0.09869454,0.677403436,0.170472388,0.659458974
Mendip,E07000187,lessthantwokm,45.29806124,2.703790944,3.593646192,2.997725031,3.21112923,0.557669465,1.554226812,1.262305973,1.075073987,0.875762517,1.338809366,0.642225846,0.271788367,0.551629723,0.535523746,0.45499386,1.097219706,0.289907592,0.487205814
Merthyr Tydfil,W06000024,lessthantwokm,60.28604623,8.100636994,5.785024638,2.780337326,6.3939746,2.864468571,1.682624895,1.482312407,0.901406194,0.661031209,1.418212411,1.418212411,0.492768719,0.677056207,0.596931213,1.161812427,0.396618725,0.424662473,0.192299988
Merton,E09000024,lessthantwokm,52.5265062,4.618614416,5.467605002,4.687273063,2.133699513,2.150864175,2.182552781,1.763999102,2.784636307,2.330432946,2.033352258,2.234046767,1.081373701,1.721747627,1.330921478,1.171158087,0.385544714,0.782972655,0.209937019
Mid Devon,E07000042,lessthantwokm,42.10509149,2.707198539,2.32884308,2.129880296,3.405199126,0.482729378,1.820020222,0.906748426,1.154636485,0.701262272,0.985028866,0.577318243,0.192439414,0.394663883,0.410972308,0.127205714,1.252487036,0.176130989,0.208747839
Mid Suffolk,E07000203,lessthantwokm,39.52138541,3.106712974,1.96251011,2.450164137,3.653837005,1.42728008,2.240829725,1.003853656,1.841191303,0.925353252,1.986298111,0.873019649,0.280698416,0.480517627,0.416290023,0.347304819,1.43203768,0.199819211,0.202198011
Mid Sussex,E07000228,lessthantwokm,44.37606112,4.481193679,2.819315659,3.3808933,1.423534021,0.589330025,1.371294241,1.162335118,0.816246572,1.054590571,1.162335118,0.896238736,1.385986679,0.837468983,0.662792216,0.573005093,0.357515998,0.31670367,0.393430848
Middlesbrough UA,E06000002,lessthantwokm,63.95265822,11.76246609,6.024019927,5.814599165,2.446415256,3.839380622,2.129111072,2.28141708,2.110072821,1.627770462,2.217956244,2.054544589,0.845615649,1.028065556,1.147054624,0.853548254,0.585426219,0.832923482,0.291919849
Milton Keynes UA,E06000042,lessthantwokm,53.92094446,4.363832644,6.894523411,4.518843508,3.4199272,1.939711846,3.655211548,1.622769989,2.585359777,2.183300347,0.999958479,2.059430058,2.409588529,0.788894578,0.908612791,2.112715043,0.25535272,0.519701604,0.263656872
Mole Valley,E07000210,lessthantwokm,36.65676617,3.56631552,2.762879549,2.859035449,1.43379132,0.974379794,1.448748905,1.130366033,0.717964059,2.307741618,1.205153956,1.170965192,1.275668284,0.728648049,0.623944956,0.991474177,0.636765743,0.457274728,0.294878096
Monmouthshire,W06000021,lessthantwokm,38.30944142,3.428987694,2.825402607,1.821161901,2.549626662,0.900174311,1.217576814,1.1083071,0.564560189,0.663423264,0.803912896,0.593178448,0.286182584,0.465697115,0.585373468,0.296589224,0.455290476,0.304394204,0.653016625
Neath Port Talbot,W06000012,lessthantwokm,52.80168662,5.462176747,4.210750276,3.075375718,7.42538829,2.671128218,1.448714725,1.456451519,1.574437632,0.831705383,2.040579486,1.332662811,0.43132628,0.723390263,0.647956519,0.220498636,1.02319104,0.466141854,0.307537572
New Forest,E07000091,lessthantwokm,45.27041191,3.985431297,3.373598155,2.878367047,3.270097474,1.239387905,1.772612934,1.569541977,1.261660203,1.252489257,1.810606855,0.95377843,0.605282465,0.73498585,0.940677078,0.340635154,0.881720993,0.47819935,0.970810188
Newark and Sherwood,E07000175,lessthantwokm,42.50741261,3.230337079,3.240090512,1.819990637,2.965043695,1.055321473,1.675639825,1.767322097,1.096285893,0.782225343,1.109940699,0.832943196,0.247737203,0.702247192,0.735408864,0.612515605,1.187968166,0.29650437,1.359628589
Newcastle upon Tyne,E08000021,lessthantwokm,59.80977543,8.409804785,5.32863643,5.282841626,2.24218406,3.685894613,1.333920446,2.974900925,2.160575371,3.343020696,1.645677381,2.043152796,2.29326288,1.113166005,1.190077792,1.76192573,0.366945546,0.732716865,0.610597387
Newcastle-under-Lyme,E07000195,lessthantwokm,61.99075849,5.476300975,7.477955568,5.347161969,5.278556872,1.194535806,4.259569402,2.316430921,3.276902278,1.918924918,2.161060554,1.602130794,0.893884057,1.012934079,0.75263827,0.899937448,0.571036542,0.776851833,0.230028854
Newham,E09000025,lessthantwokm,46.97716807,4.888718342,4.653683807,6.007290867,1.212586339,2.635264774,1.001534919,1.635648503,2.759976976,1.073484267,1.679777437,1.74884881,0.691673062,0.585188028,0.580391404,0.485418266,0.491174213,1.02647736,0.288756715
Newport,W06000022,lessthantwokm,55.41494677,6.6926461,4.920703889,2.912502716,5.036117749,3.604985879,2.346295894,1.894145123,1.7570063,1.238322833,1.607647187,1.473223984,2.283836628,0.65446448,0.559417771,0.841842277,0.716923746,0.646317619,0.864925049
North Devon,E07000043,lessthantwokm,48.27901183,4.282748599,3.541623417,2.507784928,3.082831638,1.272576292,1.729292091,1.449034669,0.629022213,0.961179157,1.118953706,0.828316379,0.325929001,0.550134939,0.479551588,0.203446128,0.631098195,0.265725555,1.027610546
North East Derbyshire,E07000038,lessthantwokm,52.32032854,5.692623598,2.767335334,3.601326805,8.027167904,0.650766072,2.435634181,1.999684094,1.244669089,1.048807455,2.511451587,1.333122729,0.413836677,0.881377349,0.483335966,0.568630548,1.029853103,0.480176907,0.350655505
North East Lincolnshire UA,E06000012,lessthantwokm,68.46820364,7.452511933,6.126905472,4.441551533,7.732471059,2.666610675,3.493889892,2.005907138,3.169137306,1.459986842,2.180881591,1.555172945,0.65650415,0.865073699,0.816080852,0.382144207,0.576715799,0.515124792,0.403141141
North Hertfordshire,E07000099,lessthantwokm,48.1808722,3.520953552,3.467978432,3.441490871,3.553117018,0.664080976,2.442531454,1.171128559,0.906252956,1.38492101,1.85602119,0.817330432,1.362217387,0.830574213,0.643269322,0.751111532,0.425692933,0.609213887,0.221360325
