AREACD,time1,time2,time3,time4,time5,time6,time7
E06000001,133,140,140,143,135,130,140
E06000002,126,142,143,136,104,106,114
E06000003,106,136,121,98,103,119,83
E06000004,103,117,98,95,78,92,130
E06000005,53,50,48,49,61,74,106
E06000006,116,112,125,134,129,120,117
E06000007,107,98,95,44,35,32,24
E06000008,131,135,102,124,123,143,134
E06000009,146,144,142,138,138,135,129
E06000010,130,138,148,140,147,144,142
E06000011,44,41,33,50,105,91,71
E06000012,63,48,19,31,58,57,49
E06000013,109,115,106,135,99,134,115
E06000014,87,65,69,33,37,30,32
E06000015,47,72,88,110,96,100,89
E06000016,140,126,132,101,115,114,125
E06000017,77,101,108,20,4,15,9
E06000018,112,130,137,145,145,140,144
E06000019,23,18,44,35,16,20,39
E06000020,68,60,68,88,117,123,86
E06000021,100,88,73,93,87,85,70
E06000022,34,30,13,19,22,73,93
E06000023,99,123,109,104,92,121,101
E06000024,11,17,31,28,29,9,29
E06000025,27,29,27,18,36,45,92
E06000026,58,62,93,120,119,88,31
E06000027,42,27,56,48,40,51,57
E06000028,54,35,36,63,71,36,22
E06000029,31,31,59,22,30,49,48
E06000030,43,45,17,15,19,19,26
E06000031,96,86,96,107,100,70,69
E06000032,117,113,128,123,79,99,76
E06000033,21,37,52,54,56,59,72
E06000034,62,39,53,17,77,79,98
E06000035,64,95,110,119,80,55,85
E06000036,33,49,24,12,7,3,7
E06000037,3,3,11,4,31,23,15
E06000038,85,97,22,25,32,18,34
E06000039,66,99,111,114,136,146,145
E06000040,40,24,37,24,13,6,3
E06000041,10,25,5,7,3,4,8
E06000042,79,110,82,94,44,29,56
E06000043,48,20,26,45,46,68,54
E06000044,70,70,43,65,60,90,111
E06000045,73,77,79,105,113,96,79
E06000046,61,79,65,46,34,41,67
E06000047,122,120,144,142,128,128,135
E06000049,37,74,1,3,52,28,13
E06000050,78,78,51,84,20,5,36
E06000051,36,57,75,55,54,26,16
E06000052,41,15,34,39,28,25,43
E06000054,31,7,3,10,42,17,11
E06000055,2,19,29,29,84,71,104
E06000056,39,59,84,62,45,44,23
E06000057,49,56,83,90,59,47,21
E08000001,60,71,55,76,72,65,51
E08000002,108,104,105,99,133,132,126
E08000003,147,134,138,149,149,150,146
E08000004,84,58,130,69,98,86,95
E08000005,115,139,107,96,75,129,136
E08000006,144,148,147,147,116,117,132
E08000007,56,8,35,32,25,31,52
E08000008,101,91,97,113,140,112,137
E08000009,69,84,45,64,66,82,75
E08000010,127,105,86,132,137,111,108
E08000011,143,129,122,144,130,142,133
E08000012,135,141,135,133,127,124,100
E08000013,113,90,94,72,111,109,112
E08000014,71,68,74,100,112,95,65
E08000015,88,96,87,91,82,97,64
E08000016,124,124,134,141,141,118,99
E08000017,114,107,115,111,89,104,80
E08000018,142,146,139,121,106,101,107
E08000019,91,100,117,97,97,105,87
E08000021,118,121,146,130,139,141,122
E08000022,125,118,127,137,114,98,119
E08000023,128,131,104,117,144,148,139
E08000024,139,128,124,125,132,137,109
E08000025,98,116,103,116,121,125,127
E08000026,95,92,92,128,86,75,68
E08000027,50,63,77,78,110,127,128
E08000028,145,145,113,103,142,138,148
E08000029,46,80,60,86,68,50,84
E08000030,90,81,81,118,122,126,143
E08000031,134,143,136,129,146,147,141
E08000032,74,64,42,77,67,48,74
E08000033,104,133,129,92,91,72,59
E08000034,110,103,58,74,101,115,102
E08000035,111,94,89,83,93,122,88
E08000036,121,114,141,126,134,139,124
E08000037,129,109,120,102,126,110,118
E09000002,119,102,126,127,131,149,14
E09000003,24,6,6,30,39,89,90
E09000004,19,26,46,82,57,60,103
E09000005,5,108,119,60,43,67,110
E09000006,22,5,8,26,14,27,41
E09000007,123,66,118,57,50,10,91
E09000008,38,23,90,73,85,80,44
E09000009,138,137,116,71,63,87,94
E09000010,102,52,76,5,5,93,47
E09000011,120,106,67,106,102,108,77
E09000012,72,36,91,131,143,136,150
E09000013,45,54,99,68,55,76,121
E09000014,94,119,38,58,65,42,42
E09000015,89,46,39,1,9,107,53
E09000016,14,33,12,9,8,14,30
E09000017,82,76,70,34,2,40,25
E09000018,141,125,114,115,125,78,73
E09000019,150,149,149,148,95,113,131
E09000020,17,14,15,2,15,46,97
E09000021,81,75,80,51,1,1,2
E09000022,136,147,14,85,120,133,147
E09000023,97,51,4,108,124,81,138
E09000024,105,132,131,79,107,131,38
E09000025,148,122,145,146,109,16,149
E09000026,67,93,133,122,108,83,120
E09000027,9,2,30,13,10,11,19
E09000028,137,127,112,109,118,145,123
E09000029,86,55,25,52,76,66,1
