AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21
Hartlepool and Stockton-on-Tees,UKC11,9245,9332,9714,10238,10677,11026,11263,11704,12141,12591,12884,13206,13708,13842,14202,14702,14717,15097,15498,15432,15782
South Teesside,UKC12,8961,8768,9146,9771,10239,10318,10496,10874,11250,11710,11861,12120,12860,12846,13099,13956,14083,14572,14959,14835,14955
Darlington,UKC13,9612,9626,9699,10634,11483,11588,11873,12131,12343,12575,13178,13178,13840,13757,13655,14306,14691,14828,15486,15916,15953
Durham CC,UKC14,9219,9547,9831,10423,10821,10997,11170,11709,11908,12255,12489,12737,13193,13474,13610,14130,14391,14697,15276,15166,15445
Northumberland,UKC21,10279,10534,10957,11766,12219,12455,12973,13379,13631,14455,14751,15630,16573,16404,16552,17238,17623,17810,18463,18498,18855
Tyneside,UKC22,9192,9571,9620,10218,10691,10959,11258,11747,11770,12155,12485,12645,13237,13447,13576,14320,14503,14728,15370,15294,15432
Sunderland,UKC23,8498,8567,8944,9623,9989,10299,10529,10825,11225,11552,11969,12156,12593,12824,13101,13756,14077,14090,14550,14901,14976
West Cumbria,UKD11,9002,9521,9663,10393,10972,10981,11419,11974,12278,12852,13645,13863,14377,14693,14887,15809,16066,16387,17240,17308,17437
East Cumbria,UKD12,10936,11486,11705,12026,12882,13307,13912,14408,14944,15418,15754,16056,16810,17125,17148,17906,18564,18964,19720,19717,19504
Manchester,UKD33,7167,7536,8139,8603,8969,9404,9460,9689,10072,10356,10647,10878,11373,11351,11564,11912,12258,12492,13196,13220,13355
Greater Manchester South West,UKD34,11949,12254,12763,13563,13846,14207,14455,14832,15219,15595,16045,16229,16476,16351,16509,17092,17343,17605,18853,18966,19089
Greater Manchester South East,UKD35,9875,10123,10736,11418,11655,11981,12351,12511,12944,13420,13906,14137,14739,14871,15135,15748,16151,16621,17434,17652,17899
Greater Manchester North West,UKD36,9934,10163,10603,11213,11571,11799,12034,12409,12674,13102,13552,13662,13970,14014,14113,14724,15023,15158,15409,15198,15408
Greater Manchester North East,UKD37,9075,9324,9788,10365,10734,10991,11126,11533,11816,12237,12680,12844,13211,13239,13374,14045,14460,14810,15393,15260,15406
Blackburn with Darwen,UKD41,8447,8596,8998,9127,9397,9363,9701,9934,10439,10740,10917,10889,11105,11418,11390,11619,11698,12062,12470,12516,12623
Blackpool,UKD42,9584,9820,9865,10727,10875,11010,10799,10946,11116,11346,11855,12145,12641,12804,13243,13422,13651,13973,14571,14794,14796
Lancaster and Wyre,UKD44,9220,9529,9789,10496,10938,11350,11683,12064,12457,12860,13362,13731,14475,14437,14635,15036,15449,15749,16203,16162,16124
Mid Lancashire,UKD45,10793,11087,11320,12081,12626,12891,13261,13666,14112,14536,15028,15367,15999,15911,16081,16523,16745,17165,18014,18106,17924
East Lancashire,UKD46,8301,8538,8806,9353,9735,9941,10254,10681,11219,11571,12166,12648,13120,13122,13352,13673,14045,14133,14777,14965,14940
Chorley and West Lancashire,UKD47,10391,10576,10936,11741,12199,12549,12922,13347,13839,14252,14786,15189,15808,15722,16131,16624,16809,17223,18380,18092,17747
Warrington,UKD61,10409,10786,11163,12172,12742,13000,13326,14046,14289,14785,15491,15555,15797,15851,16177,17117,17232,17749,19035,18614,18449
Cheshire East,UKD62,12160,12524,13028,13608,13849,14766,15497,15938,16455,16975,17479,17805,18373,18244,18448,19204,20242,20875,22374,22238,22735
Cheshire West and Chester,UKD63,11077,11362,11892,12425,12695,13475,14260,14890,15357,15752,16306,16797,17395,17284,17319,18215,18671,19034,19842,19832,20147
East Merseyside,UKD71,8211,8474,8873,9620,10112,10397,10720,11139,11584,11941,12577,12889,13404,13457,13618,14114,14396,14593,15294,15483,15421
Liverpool,UKD72,8427,8600,9056,9561,10058,10294,10604,10928,11096,11621,11988,12012,12590,12688,12847,13326,13692,14036,14595,14518,14557
Sefton,UKD73,11409,11798,11995,12046,11858,12368,12734,13096,13643,13908,14314,14649,15536,15612,15705,16436,16963,16939,17746,17765,18003
Wirral,UKD74,10231,10641,11060,11805,12213,12773,13188,13359,13494,13736,14442,14819,15445,15485,15542,16195,16634,16926,17442,17407,17489
"Kingston upon Hull, City of",UKE11,7390,7766,8199,8995,9511,9802,9808,9934,10138,10208,10556,10869,11399,11418,11757,12135,12239,12586,13019,13109,12960
East Riding of Yorkshire,UKE12,10776,11035,11814,12167,12150,12659,13131,13722,14254,14866,15219,15404,15832,15898,16254,16662,16852,17139,18197,18170,18294
North and North East Lincolnshire,UKE13,9268,9681,9858,10254,10663,10952,11362,11698,11905,12306,12998,13033,13170,13162,13685,14109,14192,14395,14939,15050,15059
York,UKE21,10501,11310,11996,12442,12981,13565,13494,13129,13395,14079,14847,14939,15506,15461,15623,16413,16703,17256,17955,18049,17917
North Yorkshire CC,UKE22,11700,12487,12551,12766,13188,13790,14180,14657,15468,16383,16836,17188,17876,17588,17980,18732,19093,19212,20360,20271,20578
"Barnsley, Doncaster and Rotherham",UKE31,8729,9083,9516,10167,10540,10786,11151,11389,11721,12079,12561,12659,12962,13106,13484,14047,14434,14855,15365,15385,15215
Sheffield,UKE32,9311,9605,9981,10503,11102,11416,11628,12173,12173,12354,12613,12944,13407,13189,13239,13669,13876,14331,14792,14807,14934
Bradford,UKE41,9303,9548,9930,10610,10571,10796,10925,11327,11383,11629,12035,12208,12450,12307,12430,12868,13301,13642,14255,14199,13969
Leeds,UKE42,10156,10487,10828,11685,12038,12325,12590,12726,12950,13348,13981,14249,14501,14525,14862,15241,15651,15890,16579,16614,16603
Calderdale and Kirklees,UKE44,9502,9883,10200,10851,11135,11371,11780,12189,12469,12807,13338,13425,13678,13665,13882,14459,14866,15156,15887,15752,15534
Wakefield,UKE45,9291,9694,9989,10652,10985,11377,11815,12247,12610,12975,13606,13650,13899,14027,13979,14473,14837,15087,15833,15879,15845
Derby,UKF11,9273,9507,9842,9922,10440,10872,11086,11486,11404,12113,12398,12332,13035,12543,12541,13363,13756,14304,14873,14721,14556
East Derbyshire,UKF12,8592,9024,9531,9974,10772,11087,11281,11606,11949,12504,13145,13131,13324,13221,13512,14102,14363,14632,15569,15300,15033
South and West Derbyshire,UKF13,9671,10047,10469,11036,11497,11916,12760,13333,13799,14269,14935,15228,15391,15319,15911,16517,17221,17427,18607,18728,18781
Nottingham,UKF14,8286,8653,9004,9413,9620,9829,9892,9734,9894,10087,10511,10752,10783,10691,10729,11089,11651,11886,12374,12477,12445
North Nottinghamshire,UKF15,9028,9561,9863,10529,10956,11366,11697,12300,12532,12776,13603,13937,14296,14081,14180,14646,14894,15326,16233,16077,16097
South Nottinghamshire,UKF16,11022,11469,11853,12256,12930,13303,13801,14263,14566,15106,16042,16478,16771,16496,16548,17454,17912,18355,18893,18761,18962
Leicester,UKF21,8339,8256,8623,9189,9538,9812,9967,10163,10083,10272,10730,10622,10927,11095,11150,11628,11839,12024,12470,12750,12560
Leicestershire CC and Rutland,UKF22,11130,11459,11723,12295,12677,13058,13652,14127,14548,14909,15607,15723,16060,16052,16381,16938,17225,17596,18382,18077,18380
West Northamptonshire,UKF24,10962,11220,11515,12440,12858,12991,13364,13788,14329,14954,16027,16070,16011,15969,16958,17798,18202,18684,19716,19617,20104
North Northamptonshire,UKF25,10258,10560,10803,11480,11851,12038,12543,13008,13610,14195,15109,15387,15455,15263,15604,16329,16850,17238,18218,18010,18346
Lincolnshire,UKF30,10085,10427,10659,11138,11508,11790,12277,12701,13205,13461,14178,14516,14823,14929,15322,15858,16109,16465,16978,16853,17094
"Herefordshire, County of",UKG11,10235,10776,10908,11553,12146,12598,13012,13682,14029,14860,15053,15645,16038,16327,16865,17288,17852,17956,18913,18875,18804
Worcestershire,UKG12,11147,11869,12053,12567,13073,13531,13750,14433,15044,15803,15889,16250,16547,16345,16659,17229,17844,18387,19433,19627,20243
Warwickshire,UKG13,11610,12127,12509,13433,13931,14317,14751,15178,15404,15918,16414,16985,17302,17250,17619,18343,18930,19607,20990,21747,22138
Telford and Wrekin,UKG21,10080,10393,10532,10475,10407,10866,11413,11906,11838,12353,12840,13038,13385,13554,14048,14635,14881,15167,15932,16045,15937
Shropshire CC,UKG22,10765,11438,11487,11985,12226,12646,13121,13693,13953,14726,15081,15908,16331,16191,16538,16913,17248,17575,18649,18937,19133
Stoke-on-Trent,UKG23,8238,8455,8966,9387,9469,9618,9908,10190,10710,10822,11372,11542,11817,11904,12238,12680,13093,13268,13802,13933,14217
Staffordshire CC,UKG24,10255,10794,11086,11688,12295,12639,12971,13125,13522,14110,14544,15054,15291,15303,15441,15991,16488,16895,17831,17713,17729
Birmingham,UKG31,8785,9155,9410,10071,10447,10640,10785,11041,11038,11380,11614,11871,12134,12309,12408,12791,13038,13463,13978,13984,14128
Solihull,UKG32,12132,12651,13028,14048,15230,15714,15929,16230,16522,16755,17178,17396,17686,17679,18080,18811,19811,20387,21737,21766,21782
Coventry,UKG33,8977,9169,9473,10333,10773,11098,11098,11576,11448,11614,12217,12475,12891,13025,13173,13463,13705,13892,14202,14351,14455
Dudley,UKG36,9635,10034,10303,10840,11074,11210,11402,11843,11945,12267,12491,12651,13239,13464,13611,14238,14595,14927,15541,15609,15698
Sandwell,UKG37,8163,8495,8762,9291,9529,9722,9887,10189,10275,10454,10647,10833,11213,11340,11540,11964,12123,12589,13165,13259,13359
Walsall,UKG38,8864,9319,9528,9955,10155,10455,10544,10799,10818,10992,11245,11538,11941,11994,12191,12604,13025,13516,14017,14092,14300
Wolverhampton,UKG39,8917,9331,9643,10097,10412,10610,10715,10969,11037,11216,11547,11879,12227,12266,12377,12710,13004,13355,13841,14116,14231
Peterborough,UKH11,9891,10313,10977,11704,12047,12280,12250,12323,12604,13269,13821,14004,14058,14163,14274,14828,15229,15819,16514,16669,16708
Cambridgeshire CC,UKH12,11500,12009,12568,13255,13477,14076,14074,14692,15601,16217,16710,17087,17461,17368,17440,18273,19031,19766,20688,20877,20787
Suffolk,UKH14,10205,10410,10651,11651,12247,12626,12896,13356,13810,14154,14619,15461,15975,15922,15987,16744,17145,17453,18434,18403,18353
Norwich and East Norfolk,UKH15,10023,10308,10467,11090,11653,11888,12101,12356,12715,12760,13406,14008,14395,14636,15044,15717,16012,16190,17132,16668,16632
North and West Norfolk,UKH16,9556,9778,10022,10677,11346,11646,11905,12179,12698,12779,13402,14102,14651,15024,15450,16142,16496,16701,17437,17312,17356
Breckland and South Norfolk,UKH17,10368,10659,10748,11428,12033,12196,12440,12783,13251,13412,14075,14648,14871,15091,15456,16152,16202,16513,17389,17629,17357
Luton,UKH21,9243,8974,9381,10015,10660,11033,11305,11525,11689,11788,12103,12307,12572,12690,12850,13339,13564,13959,14388,14965,15488
Hertfordshire,UKH23,13257,13952,14068,15291,16090,16413,16720,17083,17595,18402,19293,19718,20304,20027,20101,21123,22127,22799,24170,24123,24696
Bedford,UKH24,11394,11541,11914,12529,12617,13196,13373,13764,14379,14888,15386,15979,16498,16699,16955,17458,17850,18249,19497,19778,19827
Central Bedfordshire,UKH25,12116,12338,12776,13572,13830,14461,14612,14934,15512,15932,16340,16887,17328,17638,17677,18411,19161,19343,20306,20399,19870
Southend-on-Sea,UKH31,10656,11048,11561,12309,13066,13596,13920,13930,14213,14580,15017,15322,15867,15940,16066,16614,17155,17567,18619,18628,18518
Thurrock,UKH32,10113,10346,10512,10773,11272,11978,12403,12671,13004,13360,13898,14447,14847,14947,15015,15520,15854,16430,17128,17373,17594
Essex Haven Gateway,UKH34,10121,10439,11037,11646,12243,12748,12953,13438,13897,14231,14708,15321,15932,15710,16052,16697,17219,17418,18252,18342,18349
West Essex,UKH35,13437,13762,14262,15106,15651,16017,16231,16865,17629,18003,18560,19320,19490,19091,19496,20391,20790,21096,23154,23040,22676
Heart of Essex,UKH36,13649,13899,14533,15295,15900,16267,16510,16857,17337,17812,18337,19033,19530,19209,19442,20210,20639,21255,22505,22870,22889
Essex Thames Gateway,UKH37,11417,11687,12228,12807,13495,13945,14221,14613,15047,15394,15886,16521,17101,16911,17125,17771,17988,18134,19139,19303,19380
Camden and City of London,UKI31,18636,20694,21650,24066,24004,24045,24561,26615,29523,32397,35641,38849,38154,36140,34890,37863,41689,42121,44687,46075,46288
Westminster,UKI32,21114,22065,23828,26051,26439,26142,26628,28416,30724,33687,37496,40115,40948,39439,38599,42057,46304,48614,52143,51914,53101
Kensington & Chelsea and Hammersmith & Fulham,UKI33,27670,28241,28996,31401,31072,30558,31232,33233,35679,39206,43356,46088,45724,43815,42730,46881,52280,55615,58222,57532,60343
Wandsworth,UKI34,14022,15625,17196,19452,20076,20035,20385,21857,24231,26371,29178,30279,30437,28950,27676,29776,32486,34313,36055,37069,37129
Hackney and Newham,UKI41,6446,7057,7778,8859,9470,9796,10364,11171,12310,13365,14265,14678,14866,14879,15010,15949,16895,17390,18704,19420,20002
Tower Hamlets,UKI42,13105,13601,14119,15242,15684,15770,16219,16892,17805,18758,19706,19935,20124,20092,19959,20929,21434,21686,23164,24066,24748
Haringey and Islington,UKI43,15251,15748,16713,17933,18326,18673,18968,19836,20837,22129,23481,23800,23640,23943,24036,25608,26040,26895,28473,28110,28577
Lewisham and Southwark,UKI44,10055,10559,11231,12241,12625,12929,13543,14255,15202,16166,17156,17500,17625,18324,18252,19428,20211,21197,22547,23077,23737
Lambeth,UKI45,11131,11624,12437,13609,13890,14182,14593,15304,16243,17270,18445,18850,18923,19287,19429,20688,21573,22485,25368,26381,27393
Bexley and Greenwich,UKI51,12793,13098,13451,14179,14921,15158,15571,15951,16325,16714,17538,17980,18024,18104,18052,18961,19473,19938,20948,21579,22211
Barking & Dagenham and Havering,UKI52,10286,10771,11063,11872,12639,12998,13540,14011,14430,14804,15666,16196,16077,16158,16242,17303,17704,17893,18868,19349,19331
Redbridge and Waltham Forest,UKI53,11094,11428,11809,12655,13525,13908,14364,14859,15386,15730,16486,16881,16703,16819,16835,18135,18647,19216,20712,21242,21926
Enfield,UKI54,10957,11441,11683,12654,13420,13622,14104,14690,15257,15733,16759,17297,17203,17179,17172,18448,18864,19539,20972,22040,23084
Bromley,UKI61,13902,14718,15256,16429,16982,17356,18230,19203,20015,20631,21617,21882,21567,21815,22197,23673,24308,25264,26914,27674,28338
Croydon,UKI62,10307,10755,11404,12422,13071,13526,14240,14965,15706,16224,17113,17500,17286,17426,17629,18806,19393,19654,21024,21534,22608
"Merton, Kingston upon Thames and Sutton",UKI63,14253,14794,15324,16472,16881,17224,17940,18845,19624,20118,21154,21523,21119,21413,21654,23058,23952,24374,25828,26401,26359
Barnet,UKI71,12787,13491,14026,15304,15811,16361,17109,17696,18760,19542,20617,21240,20838,20957,21104,22813,23730,24917,27511,28157,28950
Brent,UKI72,10842,11377,12076,12959,13557,14122,14771,15270,16245,16598,17468,17998,18080,18010,18163,19650,20834,21679,23208,23393,23568
Ealing,UKI73,12908,13485,13976,14860,15487,15944,16595,17015,17664,18120,19017,19594,19533,19747,19895,21493,22754,24028,25802,26162,26705
Harrow and Hillingdon,UKI74,11479,12196,12829,13793,14538,15070,15754,16232,16976,17354,18323,18883,18570,18750,18788,20112,21115,21567,23045,23535,23944
Hounslow and Richmond upon Thames,UKI75,17495,18118,18635,19909,20394,20723,21391,21814,22525,23220,24218,24781,24576,24460,24645,26178,27305,28136,30267,30367,30353
Berkshire,UKJ11,13769,14236,14444,15550,15725,16169,16423,16731,17303,18015,19152,19507,19615,19381,19741,20651,21441,21787,23012,23234,23055
Milton Keynes,UKJ12,11164,11510,11725,12434,12846,13598,13830,14514,14958,15427,16139,16592,16631,16909,16921,17435,17679,18108,19316,19695,19985
Buckinghamshire CC,UKJ13,15154,15645,16044,17107,17831,18196,18308,18995,19546,20996,21775,22332,22779,22483,22672,23452,24200,24863,26479,26808,27304
Oxfordshire,UKJ14,13278,13681,13963,15077,15372,15830,15932,16528,16877,18006,18500,18936,19308,18979,19269,20301,20945,21569,23188,23016,22939
Brighton and Hove,UKJ21,12022,12245,12615,13500,14105,14547,14719,15270,16044,16280,16775,17358,17798,17564,17741,18290,18862,19237,20387,20345,20652
East Sussex CC,UKJ22,11836,12142,12504,13252,13804,14148,14377,14664,15271,15885,16971,17473,17728,18154,18086,18708,19558,19699,20696,21069,21367
West Surrey,UKJ25,16306,17180,17627,18462,18773,19341,19364,19989,21065,22427,23087,23380,23554,23432,23795,25088,26244,26814,28459,28317,28773
East Surrey,UKJ26,15858,16806,17162,18044,18319,18940,19028,19589,20801,22249,22973,23199,23037,22936,23247,24610,25484,25898,27653,27569,27717
West Sussex (South West),UKJ27,11498,12103,12210,13173,13889,14219,14447,14917,15670,16303,16861,17167,17425,17606,17994,18830,19596,19822,21097,21126,21259
West Sussex (North East),UKJ28,14831,15171,15233,16239,16776,17114,17291,17801,18410,18950,19460,19694,19794,19760,20102,20906,21645,21877,22775,23000,23531
Portsmouth,UKJ31,9343,9500,9929,10818,10839,11305,11374,11358,11313,11519,12101,12505,13115,12961,13093,13266,13824,14037,15023,15164,15290
