"id","name","trade_val1","trade_val2","trade_val3","trade_val4","trade_val5","eu_row_split","rank1","rank2","rank3","rank4","rank5"
"c0","Total",67384,43024,42051,"41407","28830",0.543,"Germany","China","Netherlands","United States","France"
"c1","Food & live animals",4775,4524,3821,"2986","2762",0.706,"Netherlands","Ireland","Germany","France","Spain"
"c1_1","Live animals",368,53,39,"38","12",0.892,"Ireland","France","United States","Netherlands","Germany"
"c1_10","Miscellaneous foods",457,436,372,"298","284",0.811,"Netherlands","Ireland","Germany","Italy","Denmark"
"c1_2","Meat & meat preparations",1655,1059,702,"628","513",0.818,"Ireland","Netherlands","Germany","Poland","Denmark"
"c1_3","Dairy products & eggs",835,562,418,"414","255",0.987,"Ireland","France","Netherlands","Germany","Italy"
"c1_4","Fish & shellfish",315,221,209,"206","200",0.338,"Iceland","Vietnam","China","Denmark","Sweden"
"c1_5","Cereals",605,531,347,"321","297",0.802,"France","Germany","Ireland","Belgium","Italy"
"c1_6","Animal feeding stuffs",391,344,329,"174","159",0.556,"Argentina","Netherlands","Ireland","France","Germany"
"c1_7","Vegetables & fruit",1922,1573,767,"713","587",0.626,"Spain","Netherlands","Belgium","Germany","South Africa"
"c1_8","Sugar",193,142,130,"103","53",0.685,"France","Belgium","Netherlands","Germany","China"
"c1_9","Coffee, tea, cocoa etc",630,413,344,"271","221",0.68,"Germany","France","Netherlands","Poland","Belgium"
"c10","Unspecified goods",1649,1412,355,"324","285",0.127,"United States","Canada","South Africa","Germany","China"
"c2","Beverages & tobacco",2822,917,861,"467","398",0.801,"France","Italy","Belgium","Germany","Netherlands"
"c2_1","Beverages",2245,916,377,"353","348",0.759,"France","Italy","United States","Germany","Spain"
"c2_2","Tobacco",583,577,212,"114","96",0.97,"Belgium","France","Poland","Germany","Netherlands"
"c3","Crude materials",1410,1224,993,"900","726",0.532,"United States","Netherlands","Sweden","Germany","Canada"
"c3_1","Wood & cork",800,604,407,"255","193",0.579,"United States","Sweden","Latvia","Canada","Finland"
"c3_2","Pulp & waste paper",181,128,65,"42","30",0.595,"Sweden","Brazil","Austria","Finland","Philippines"
"c3_3","Textile fibres",52,51,43,"37","29",0.265,"China","Ireland","Japan","South Korea","United States"
"c3_4","Metal ores & scrap",497,340,316,"269","207",0.403,"Germany","Japan","Canada","United States","Sweden"
"c3_5","Hides, skins & furskins",16,1,0,"0","0",0.944,"Ireland","Canada","Netherlands","Russia","Germany"
"c3_6","Oil-seeds & oleaginous fruits",143,113,42,"39","35",0.287,"Canada","United States","France","Netherlands","China"
"c3_7","Crude rubber",54,47,28,"25","16",0.522,"United States","Germany","Netherlands","Belgium","France"
"c3_8","Crude minerals & fertilisers",116,91,68,"64","57",0.538,"India","Spain","Netherlands","Germany","Norway"
"c3_9","Other crude animal & vegetable materials",983,111,73,"67","63",0.787,"Netherlands","Germany","Belgium","United States","Kenya"
"c4","Animal & vegetable oils & fats",341,154,123,"70","69",0.659,"Netherlands","Spain","France","Ukraine","Malaysia"
"c4_1","Animal oils & fats",21,13,9,"9","8",0.651,"Ireland","Netherlands","Norway","Denmark","Belgium"
"c4_2","Vegetable oils & fats",254,150,117,"70","65",0.701,"Netherlands","Spain","France","Ukraine","Papua New Guinea"
