group,Non-discretionary & no payment holiday available,Non-discretionary & payment holiday available,Discretionary,Prevented during lockdown,,
less than 30,31.2,26.6,23,19.2,,
30 to 49,33.1,25,22.6,19.3,,
50 to 64,33.4,17.2,26.1,23.3,,
65 to 74,28.9,14.4,28.1,28.5,,
75 or over,31.6,16.6,28.6,23.2,,
