name,time1value,time2value,time3value,time4value,time1rank,time2rank,time3rank,time4rank
Amelia,1,2,2,4,1,2,2,4
Olivia,2,1,1,1,2,1,1,1
Ava,3,4,5,6,3,4,5,6
Isla,4,3,4,5,4,3,4,5
Harper,5,14,34,73,5,14,19,20
Isabella,6,12,16,11,6,13,14,12
Mia,7,5,10,14,7,5,10,13
Ella,8,6,12,16,8,6,12,14
Ivy,9,8,20,29,9,8,17,18
Scarlett,9,34,50,49,10,20,20,19
Lily,12,9,19,17,12,9,16,15
Poppy,14,7,13,20,13,7,13,16
Sophia,16,11,9,8,14,12,9,8
Elsie,19,10,29,28,15,10,18,17
Grace,20,15,7,8,16,15,7,9
Emily,31,16,3,3,17,16,3,3
Charlotte,45,31,8,2,18,18,8,2
Jessica,54,33,18,10,19,19,15,10
Sophie,68,30,6,7,20,17,6,7
