date,"Dollar, Euro and Swiss Franc",Yen
Jun-14,1.5491,
Sep-14,1.5439,
Dec-14,1.4421,
Mar-15,1.4711,
Jun-15,1.4797,
Sep-15,1.4726,
Dec-15,1.3764,
Mar-16,1.3085,
Jun-16,1.2587,
Sep-16,1.2522,
Dec-16,1.2517,
Mar-17,1.2442,
Jun-17,1.2981,
Sep-17,1.3179,
Dec-17,1.3438,
Mar-18,1.3108,
Jun-18,1.2738,
Sep-18,1.2561,
Dec-18,1.2979,
Mar-19,1.2411,
