date,"Dollar, Euro and Swiss Franc",Yen
Jun-14,1.2833,
Sep-14,1.2841,
Dec-14,1.3821,
Mar-15,1.4118,
Jun-15,1.3565,
Sep-15,1.3605,
Dec-15,1.2616,
Mar-16,1.2081,
Jun-16,1.1558,
Sep-16,1.1651,
Dec-16,1.1694,
Mar-17,1.1391,
Jun-17,1.1349,
Sep-17,1.1270,
Dec-17,1.1410,
Mar-18,1.1308,
Jun-18,1.1228,
Sep-18,1.1149,
Dec-18,1.1605,
Mar-19,1.1176,
