AREACD,AREANM,population change 18_19,birth rate,death rate,natchange rate,internal_in rate,internal_out rate,internal_net rate,international_in rate,international_out_rate,international_net_rate,other_change rate,,,,,"""birth rate"", ","""death rate"", ","""natchange rate"", ","""internal_in rate"", ","""internal_out rate"", ","""internal_net rate"", ","""international_in rate"", ","""international_out_rate"", ","""international_net_rate"", ","""other_change rate"", "
E06000001,Hartlepool,0.45,1.09,1.07,0.02,3.28,3.17,0.11,0.42,0.08,0.34,-0.01,,,,,,,,,,,,,,
E06000002,Middlesbrough,0.31,1.27,1.00,0.27,5.01,5.81,-0.80,1.12,0.29,0.83,0.01,,,,,,,,,,,,,,
E06000003,Redcar and Cleveland,0.32,0.96,1.13,-0.16,3.72,3.39,0.33,0.20,0.05,0.15,0.00,,,,,,,,,,,,,,
E06000004,Stockton-on-Tees,0.07,1.07,0.95,0.11,3.77,4.34,-0.57,0.70,0.19,0.51,0.01,,,,,,,,,,,,,,
E06000005,Darlington,0.22,1.03,1.10,-0.08,4.28,4.05,0.23,0.31,0.24,0.07,0.00,,,,,,,,,,,,,,
E06000006,Halton,0.76,1.08,0.92,0.17,3.54,3.06,0.47,0.27,0.15,0.12,0.00,,,,,,,,,,,,,,
E06000007,Warrington,0.22,1.01,0.93,0.07,4.02,4.06,-0.04,0.44,0.27,0.17,0.02,,,,,,,,,,,,,,
E06000008,Blackburn with Darwen,0.51,1.36,0.85,0.51,3.85,4.26,-0.41,0.58,0.18,0.40,0.00,,,,,,,,,,,,,,
E06000009,Blackpool,0.10,1.16,1.29,-0.13,5.71,5.57,0.13,0.30,0.21,0.09,0.01,,,,,,,,,,,,,,
E06000010,"Kingston upon Hull, City of",-0.33,1.25,0.97,0.28,4.15,4.78,-0.64,0.94,0.91,0.02,0.00,,,,,,,,,,,,,,
E06000011,East Riding of Yorkshire,0.46,0.79,1.09,-0.30,4.81,4.09,0.72,0.23,0.17,0.06,-0.01,,,,,,,,,,,,,,
E06000012,North East Lincolnshire,-0.16,1.02,1.08,-0.06,2.93,3.14,-0.21,0.37,0.27,0.10,0.01,,,,,,,,,,,,,,
E06000013,North Lincolnshire,0.17,0.92,1.08,-0.16,3.39,3.30,0.09,0.44,0.22,0.22,0.01,,,,,,,,,,,,,,
