Liability,Asset,Y2014
"Yes, the business has been able to  get what we needed","Yes, the business has been able to  get what we needed",475
"Yes, the business has been able to  get what we needed","Yes, but the business had to change suppliers or find alternative solutions",67
"Yes, the business has been able to  get what we needed",Not applicable,15
"Yes, the business has been able to  get what we needed","No, the business has not been able to get the materials, goods or services needed",11
"Yes, but the business had to change suppliers or find alternative solutions","Yes, the business has been able to  get what we needed",135
"Yes, but the business had to change suppliers or find alternative solutions","Yes, but the business had to change suppliers or find alternative solutions",154
"Yes, but the business had to change suppliers or find alternative solutions",Not applicable,3
"Yes, but the business had to change suppliers or find alternative solutions","No, the business has not been able to get the materials, goods or services needed",19
Not applicable,"Yes, the business has been able to  get what we needed",124
Not applicable,"Yes, but the business had to change suppliers or find alternative solutions",15
Not applicable,Not applicable,110
Not applicable,"No, the business has not been able to get the materials, goods or services needed",7
"No, the business has not been able to get the materials, goods or services needed","Yes, the business has been able to  get what we needed",65
"No, the business has not been able to get the materials, goods or services needed","Yes, but the business had to change suppliers or find alternative solutions",65
"No, the business has not been able to get the materials, goods or services needed",Not applicable,10
"No, the business has not been able to get the materials, goods or services needed","No, the business has not been able to get the materials, goods or services needed",56
