year,debt
Jan-08,686
Feb-08,691
Mar-08,702
Apr-08,693
May-08,678
Jun-08,656
Jul-08,642
Aug-08,625
Sep-08,616
Oct-08,598
Nov-08,564
Dec-08,525
Jan-09,492
Feb-09,468
Mar-09,459
Apr-09,453
May-09,444
Jun-09,432
Jul-09,433
Aug-09,442
Sep-09,441
Oct-09,441
Nov-09,443
Dec-09,453
Jan-10,457
Feb-10,459
Mar-10,460
Apr-10,466
May-10,479
Jun-10,484
Jul-10,482
Aug-10,463
Sep-10,459
Oct-10,462
Nov-10,477
Dec-10,482
Jan-11,489
Feb-11,484
Mar-11,479
Apr-11,471
May-11,461
Jun-11,461
Jul-11,460
Aug-11,464
Sep-11,467
Oct-11,472
Nov-11,466
Dec-11,465
Jan-12,469
Feb-12,467
Mar-12,464
Apr-12,464
May-12,470
Jun-12,475
Jul-12,481
Aug-12,484
Sep-12,490
Oct-12,494
Nov-12,497
Dec-12,501
Jan-13,497
Feb-13,500
Mar-13,504
Apr-13,514
May-13,522
Jun-13,534
Jul-13,539
Aug-13,536
Sep-13,549
Oct-13,554
Nov-13,570
Dec-13,573
Jan-14,582
Feb-14,595
Mar-14,617
Apr-14,639
May-14,652
Jun-14,660
Jul-14,666
Aug-14,679
Sep-14,684
Oct-14,698
Nov-14,702
Dec-14,708
Jan-15,718
Feb-15,726
Mar-15,735
Apr-15,727
May-15,726
Jun-15,728
Jul-15,738
Aug-15,740
Sep-15,739
Oct-15,737
Nov-15,740
Dec-15,746
Jan-16,759
Feb-16,750
Mar-16,751
Apr-16,742
May-16,744
Jun-16,744
Jul-16,743
Aug-16,749
Sep-16,750
Oct-16,759
Nov-16,753
Dec-16,752
Jan-17,753
Feb-17,762
Mar-17,771
Apr-17,789
May-17,785
Jun-17,785
Jul-17,778
Aug-17,789
Sep-17,797
Oct-17,801
Nov-17,809
Dec-17,815
Jan-18,822
Feb-18,816
Mar-18,817
Apr-18,809
May-18,819
Jun-18,829
Jul-18,832
Aug-18,839
Sep-18,843
Oct-18,849
Nov-18,848
