date,unrounded,rounded_down,rounded_up
1,1.211538462,1,2
2,2.423076923,2,4
3,3.634615385,3,6
4,4.846153846,4,8
5,6.057692308,5,10
6,7.269230769,6,12
7,8.480769231,7,14
8,9.692307692,8,16
9,10.90384615,9,18
10,12.11538462,10,20
11,13.32692308,11,22
12,14.53846154,12,24
13,15.75,13,26
14,16.96153846,14,28
15,18.17307692,15,30
16,19.38461538,16,32
17,20.59615385,17,34
18,21.80769231,18,36
19,23.01923077,19,38
20,24.23076923,20,40
21,25.44230769,21,42
22,26.65384615,22,44
23,27.86538462,23,46
24,29.07692308,24,48
25,30.28846154,25,50
26,31.5,26,52
27,32.71153846,27,54
28,33.92307692,28,56
29,35.13461538,29,58
30,36.34615385,30,60
31,37.55769231,31,62
32,38.76923077,32,64
33,39.98076923,33,66
34,41.19230769,34,68
35,42.40384615,35,70
36,43.61538462,36,72
37,44.82692308,37,74
38,46.03846154,38,76
39,47.25,39,78
40,48.46153846,40,80
41,49.67307692,41,82
42,50.88461538,42,84
43,52.09615385,43,86
44,53.30769231,44,88
45,54.51923077,45,90
46,55.73076923,46,92
47,56.94230769,47,94
48,58.15384615,48,96
49,59.36538462,49,98
50,60.57692308,50,100
51,61.78846154,51,102
52,63,52,104
