date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c,adjusted1,adjusted2,adjusted3
Jun-09,563,,,,397,,,,205,,,,,,619
Dec-09,567,,,,368,,,,229,,,,,,602
Mar-10,587,,,,365,,,,,,,,,,622
Jun-10,582,,,,347,,,,244,,,,,,617
Sep-10,600,,,,345,,,,,,,,,,635
Dec-10,591,,,,339,,,,256,,,,,,626
Mar-11,578,,,,336,,,,,,,,,,625
Jun-11,589,,,,342,,,,263,,,,,,636
Sep-11,581,,,,339,,,,,,,,,,628
Dec-11,566,,,,351,,,,205,,,,,,610
Mar-12,536,,,,352,,,,184,,,,224,,576
Jun-12,517,,,,349,,,,167,,,,207,,557
Sep-12,497,,,,343,,,,154,,,,194,,537
Dec-12,498,,,,321,,,,177,,,,176,352,528
Mar-13,493,,,,318,,,,175,,,,171,349,521
Jun-13,502,,,,320,,,,182,,,,178,351,530
Sep-13,530,,,,320,,,,210,,,,206,351,558
Dec-13,526,,,,317,,,,209,,,,213,341,554
Mar-14,552,,,,316,,,,236,,,,242,340,582
Jun-14,574,,,,320,,,,254,,,,260,344,604
Sep-14,615,,,,323,,,,292,,,,298,347,645
Dec-14,632,,,,319,,,,313,,,,315,347,662
Mar-15,644,,,,308,,,,336,,,,343,336,679
Jun-15,639,,,,303,,,,336,,,,343,331,674
Sep-15,619,,,,297,,,,322,,,,329,325,654
Dec-15,631,,,,299,,,,332,,,,342,324,666
Mar-16,638,,,,311,,,,327,,,,331,336,667
Jun-16,652,,,,316,,,,336,,,,311,341,
Sep-16,631,,,,325,,,,306,,,,281,350,
Dec-16,622,,,,340,,,,281,,,,261,360,
Mar-17,617,,,,341,,,,276,,,,256,361,
Jun-17,599,,,,340,,,,259,,,,239,360,
Sep-17,640,,,,363,,,,277,,,,257,383,
Dec-17,644,,,,360,,,,285,,,,259,386,
Mar-18,623,,,,355,,,,267,,,,241,381,
Jun-18,628,,,,352,,,,275,,,,249,378,
Sep-18,630,,,,345,,,,285,,,,259,371,
Dec-18,603,,,,344,,,,259,,,,240,363,
Mar-19,612,,,,366,,,,245,,,,226,385,
