date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c,adjustment1
Jun-09,27,,,,22,,,,11,,,,78
Dec-09,29,,,,16,,,,11,,,,51
Mar-10,23,,,,21,,,,11,,,,55
Jun-10,33,,,,26,,,,11,,,,61
Sep-10,22,,,,50,,,,7,,,,85
Dec-10,18,,,,49,,,,7,,,,84
Mar-11,24,,,,44,,,,7,,,,91
Jun-11,26,,,,46,,,,4,,,,94
Sep-11,32,,,,36,,,,7,,,,83
Dec-11,34,,,,40,,,,8,,,,84
Mar-12,33,,,,35,,,,8,,,,75
Jun-12,32,,,,31,,,,9,,,,71
Sep-12,30,,,,28,,,,8,,,,68
Dec-12,44,,,,30,,,,8,,,,61
Mar-13,50,,,,34,,,,10,,,,62
Jun-13,53,,,,36,,,,17,,,,64
Sep-13,60,,,,48,,,,22,,,,76
Dec-13,58,,,,44,,,,21,,,,72
Mar-14,62,,,,40,,,,26,,,,70
Jun-14,64,,,,44,,,,29,,,,74
Sep-14,77,,,,42,,,,35,,,,73
Dec-14,79,,,,48,,,,44,,,,79
Mar-15,79,,,,51,,,,51,,,,86
Jun-15,84,,,,44,,,,49,,,,79
Sep-15,80,,,,41,,,,48,,,,76
Dec-15,80,,,,46,,,,58,,,,80
Mar-16,76,,,,39,,,,61,,,,68
Jun-16,84,,,,42,,,,62,,,,
Sep-16,81,,,,19,,,,64,,,,
Dec-16,73,,,,5,,,,54,,,,
Mar-17,73,,,,5,,,,43,,,,
Jun-17,54,,,,7,,,,40,,,,
Sep-17,47,,,,8,,,,43,,,,
Dec-17,45,,,,6,,,,40,,,,
Mar-18,45,,,,-3,,,,38,,,,
Jun-18,48,,,,-15,,,,35,,,,
Sep-18,35,,,,-15,,,,38,,,,
Dec-18,47,,,,-10,,,,34,,,,
Mar-19,32,,,,-7,,,,32,,,,
