area code,area name,_2018,_2019,_2020,_2021,_2022,_2023,_2024,_2025,_2026,_2027,_2028,_2029,_2030,_2031,_2032,_2033,_2034,_2035,_2036,_2037,_2038,_2039,_2040,_2041,_2042,_2043
E06000001,Hartlepool,19.26063362,19.45681182,19.71391299,19.96037129,20.2841688,20.61073074,21.04838735,21.40807029,21.87345201,22.37330397,22.85140025,23.28810349,23.78585065,24.21826356,24.63921994,24.92409631,25.17780395,25.43678818,25.72135487,25.87631663,25.99317496,25.95847292,25.91045112,25.84655434,25.73908025,25.63339677
E06000002,Middlesbrough,16.19908215,16.42145495,16.66018264,16.93832991,17.25067335,17.58721864,17.90589285,18.21164736,18.54219717,18.96162715,19.29315015,19.60177222,19.9671108,20.26380528,20.48022818,20.66579279,20.79504956,20.95911207,21.13355407,21.23226378,21.27008553,21.25147585,21.21179188,21.15677625,21.03831466,20.94334753
E06000003,Redcar and Cleveland,22.26115069,22.59038788,22.78104557,23.06855041,23.35134066,23.75655516,24.15874031,24.56224768,24.95727138,25.45771359,25.98850073,26.46245262,26.93235603,27.42013119,27.83210488,28.16134323,28.48193537,28.7303396,28.97725449,29.17213811,29.26347791,29.25807476,29.19349419,29.13162039,28.98368878,28.87826517
E06000004,Stockton-on-Tees,18.08805708,18.41317958,18.64755475,18.91398864,19.28054616,19.65258038,20.00101641,20.38194497,20.78469499,21.27064025,21.73639227,22.15541714,22.57959587,22.99585949,23.38329761,23.72216986,24.00842205,24.30737421,24.56960737,24.79651501,24.87889184,24.92010681,24.91149646,24.89332236,24.8192926,24.7583791
E06000005,Darlington,20.25786836,20.5951174,20.85818081,21.21789212,21.56286995,22.01401796,22.44480362,22.82735114,23.31999518,23.83542447,24.36536012,24.82263973,25.34247013,25.88002879,26.31090257,26.66883646,26.99501142,27.34729343,27.67593066,27.91893085,28.05474215,28.1569176,28.20152743,28.19904143,28.13536114,28.10514213
E06000006,Halton,18.10763673,18.43761851,18.70722273,19.06886827,19.33325005,19.67520955,20.03802716,20.33557645,20.70253759,21.16138216,21.51527651,21.83102117,22.20318185,22.49198182,22.81284041,23.03555555,23.25701005,23.46634498,23.76565728,23.9815449,24.12784855,24.12002575,24.11384539,24.08998417,24.01351754,23.92009617
E06000007,Warrington,18.55574167,18.8521345,19.10762019,19.36688779,19.64324073,19.93879531,20.30888814,20.6283425,21.03665362,21.48767501,21.99873594,22.48698036,22.9549594,23.40825222,23.82204348,24.16624522,24.51457273,24.84510818,25.16085468,25.42680397,25.6106082,25.68845519,25.74267324,25.76508428,25.72779017,25.69415265
E06000008,Blackburn with Darwen,14.46401955,14.56510584,14.73300032,14.87310982,15.04205299,15.19002626,15.38567801,15.63336619,15.89632288,16.17388199,16.44627725,16.6963892,16.94018056,17.18291872,17.43970527,17.73731359,18.00321482,18.22281418,18.42379364,18.60834352,18.70488101,18.79314599,18.82282833,18.80811721,18.78141016,18.76274093
E06000009,Blackpool,20.38835648,20.45052685,20.51587097,20.72040375,20.87705065,21.10779035,21.38005327,21.62789849,21.90210414,22.29240905,22.67019133,23.08871395,23.46236599,23.84047043,24.18549303,24.50673573,24.82630457,25.0502132,25.30029563,25.48259293,25.58992921,25.60639161,25.54437852,25.48178572,25.36324675,25.27084713
E06000010,"Kingston upon Hull, City of",14.96172956,15.08293754,15.15395421,15.29067714,15.48689507,15.70956831,15.90405878,16.15515321,16.43924309,16.75760486,17.06074614,17.35258038,17.61610133,17.85260162,18.09622003,18.28268007,18.45403165,18.55882294,18.70711175,18.81957744,18.89829837,18.90319,18.8693662,18.81637761,18.7020053,18.59495997
