area code,area name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
E06000001,Hartlepool,315.8477437,308.0468655,300.0888546,302.8787134,307.2390141,312.9759398,318.847185,327.0116932,329.0190379,322.0766345,319.7190664,328.7893683,337.4547232,345.5811852,354.6486558,362.7971007,371.0015123,376.574737,381.5155155,386.6332574,392.5026825,395.6867842,398.1560806,397.2243025,396.0394543,394.5763852
E06000002,Middlesbrough,260.4073115,254.4561906,248.5125923,251.3244716,256.4070297,262.2605031,268.6162712,274.7528557,276.6763462,270.669817,268.0572461,275.188471,280.8138286,285.9853321,292.5755755,297.7283285,301.7077473,305.277799,307.6920264,310.9381478,314.4961426,316.5936938,317.4341543,317.086776,316.3438279,315.3971344
E06000003,Redcar and Cleveland,377.4806073,369.8061402,361.4429003,362.9557865,368.3596036,373.9109628,382.2989034,390.7480173,393.8030307,384.5392706,379.9132413,389.2762605,399.9421991,409.5254954,419.3358708,429.3330414,438.1399126,445.3465169,452.4691088,458.0085116,463.6842068,468.2898995,470.4555868,470.3127473,468.7511059,467.2573649
E06000004,Stockton-on-Tees,294.9217528,289.124676,282.9898573,285.2368479,289.9786033,296.7187536,303.3233441,309.453728,312.0272683,305.5582622,303.0033134,311.5514944,319.9574143,327.2590065,334.8706836,342.3093179,349.5834446,356.0549054,361.4361013,367.2687279,372.4973414,377.1065304,378.6015678,379.2786911,378.9615555,378.5046009
E06000005,Darlington,336.3701803,330.375693,323.6721585,326.3557736,332.8942654,339.1497426,347.7816511,355.8580408,358.4778357,352.5487592,350.6654698,360.0728253,370.1766642,378.9824286,389.2022463,400.2012377,409.0209418,416.639996,423.5152953,431.2177369,438.7525058,444.4219331,447.6390792,450.0739038,451.2008479,451.2614941
E06000006,Halton,296.1144634,289.8327223,283.2981724,285.996877,292.1680031,296.7925352,302.5839364,309.0801925,310.0011314,302.8669599,299.6994412,307.4673939,313.4318538,318.6870101,325.0870663,329.7168666,335.3722343,339.4709849,343.6108655,347.4986297,353.3612259,357.6700449,360.6526608,360.3698013,360.2205195,359.8253158
E06000007,Warrington,299.9588252,294.2126702,288.1076751,290.6854318,295.2602075,300.0168786,305.1047306,311.5605823,313.3279741,307.0307549,304.4741193,312.1787804,321.3045522,330.0945313,338.3218197,346.8246703,354.7042967,361.445674,368.3186005,374.9610012,381.5679747,387.2085401,391.1660369,392.8354501,394.04803,394.6082607
E06000008,Blackburn with Darwen,234.2859036,226.7429295,219.8095492,220.5910412,222.782492,225.513601,227.5794221,230.4283831,231.2896492,225.5140706,222.2781441,226.4726275,230.5897108,234.379611,238.0495015,241.7127466,245.9826846,251.3532172,256.1357656,260.1200811,263.8949919,267.4789127,269.5364447,271.5221152,272.3594724,272.3332379
E06000009,Blackpool,337.5576879,327.0260768,316.3403833,315.4888973,320.1077315,323.5374301,328.2146803,333.4619003,334.0636427,325.3905918,320.4083133,327.417084,334.4304249,342.185774,349.4192956,356.7872984,363.7721648,370.6211881,377.5323562,382.4864849,388.1224363,392.383736,395.0369467,395.6871494,394.6133273,393.52009
E06000010,"Kingston upon Hull, City of",231.9924036,225.1572484,218.2319969,218.3344684,220.6882079,224.0986847,227.7076813,230.7232409,231.7276416,226.1063442,223.2395996,228.1604721,232.9373745,237.5804285,241.6912084,245.4573106,249.6736723,252.9856252,255.9931806,257.826282,260.6337477,262.9332814,264.5758188,264.8115998,264.3629193,263.5933658
