"Figure 5 : EU8 immigration, emigration and net migration, UK, year ending September 2013 to year ending September 2018",,,,,,,,,,,,,,,,,,,,,,,,
"UK, 2008 to 2018",,,,,,,,,,,,,,,,,,,,,,,,
Units:,Thousands,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Year ending,EU8 immigration,EU8 immigration 95% CI,EU8 immigration 60% CI,EU8 immigration 30% CI,EU8 emigration,EU8 emigration 95% CI,EU8 emigration 60% CI,EU8 emigration 30% CI,EU8 net migration,EU8 net migration 95% CI,EU8 net migration 60% CI,EU8 net migration 30% CI,,,,,,,,,,,,
Dec-08,89,19,8,4,69,21,9,4,+   20,28,12,6,,,,,,,,,,,,
,84,20,9,4,62,17,7,3,+   22,26,11,5,,,,,,,,,,,,
,68,13,6,3,52,12,5,2,+   16,18,8,4,,,,,,,,,,,,
,73,13,6,3,52,12,5,2,+   21,17,7,3,,,,,,,,,,,,
,72,13,6,3,46,10,4,2,+   26,17,7,3,,,,,,,,,,,,
Sep-10,86,16,7,3,36,7,3,1,+   50,17,7,3,,,,,,,,,,,,
,86,16,7,3,37,8,3,2,+   49,18,8,4,,,,,,,,,,,,
,82,15,6,3,37,8,3,2,+   44,17,7,3,,,,,,,,,,,,
,86,15,6,3,40,9,4,2,+   46,17,7,3,,,,,,,,,,,,
Sep-11,75,13,6,3,39,9,4,2,+   36,16,7,3,,,,,,,,,,,,
,77,12,5,2,37,9,4,2,+   40,15,6,3,,,,,,,,,,,,
,71,13,6,3,36,9,4,2,+   35,16,7,3,,,,,,,,,,,,
,63,11,5,2,32,8,3,2,+   31,14,6,3,,,,,,,,,,,,
Sep-12,59,11,5,2,31,7,3,1,+   28,14,6,3,,,,,,,,,,,,
,60,13,6,3,30,8,3,2,+   30,15,6,3,,,,,,,,,,,,
,63,13,6,3,29,8,3,2,+   34,15,6,3,,,,,,,,,,,,
,66,14,6,3,30,8,3,2,+   36,16,7,3,,,,,,,,,,,,
Sep-13,73,13,6,3,26,7,3,1,+   48,15,6,3,,,,,,,,,,,,
,70,12,5,2,26,7,3,1,+   44,14,6,3,,,,,,,,,,,,
,68,12,5,2,27,7,3,1,+   40,14,6,3,,,,,,,,,,,,
,73,13,6,3,29,8,3,2,+   44,15,6,3,,,,,,,,,,,,
Sep-14,76,14,6,3,34,9,4,2,+   42,17,7,3,,,,,,,,,,,,
,80,15,6,3,32,9,4,2,+   48,18,8,4,,,,,,,,,,,,
,81,15,6,3,30,8,3,2,+   51,17,7,3,,,,,,,,,,,,
,73,13,6,3,29,7,3,1,+   44,15,6,3,,,,,,,,,,,,
Sep-15,68,12,5,2,27,7,3,1,+   41,14,6,3,,,,,,,,,,,,
,73,12,5,2,27,7,3,1,+   46,14,6,3,,,,,,,,,,,,
,68,12,5,2,28,7,3,1,+   39,14,6,3,,,,,,,,,,,,
,73,13,6,3,31,8,3,2,+   42,15,6,3,,,,,,,,,,,,
Sep-16,57,13,6,3,38,9,4,2,+   19,16,7,3,,,,,,,,,,,,
,48,10,4,2,43,10,4,2,+    5,14,6,3,,,,,,,,,,,,
,50,10,4,2,45,10,4,2,+    5,14,6,3,,,,,,,,,,,,
,47,11,5,2,40,9,4,2,+    7,14,6,3,,,,,,,,,,,,
Sep-17,52,11,5,2,44,10,4,2,+    8,15,6,3,,,,,,,,,,,,
,52,12,5,2,47,11,5,2,+    6,16,7,3,,,,,,,,,,,,
,45,12,5,2,47,11,5,2,-    2,17,7,3,,,,,,,,,,,,
,41,12,5,2,55,13,6,3,-   14,18,8,4,,,,,,,,,,,,
Sep-18,38,10,4,2,53,14,6,3,-   15,18,8,4,,,,,,,,,,,,
