date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c
Dec-08,89,19,8,4,69,21,9,4,20,28,12,6
Jun-09,84,20,9,4,62,17,7,3,22,26,11,5
Dec-09,68,13,6,3,52,12,5,2,16,18,8,4
Mar-10,73,13,6,3,52,12,5,2,21,17,7,3
Jun-10,72,13,6,3,46,10,4,2,26,17,7,3
Sep-10,86,16,7,3,36,7,3,1,50,17,7,3
Dec-10,86,16,7,3,37,8,3,2,49,18,8,4
Mar-11,82,15,6,3,37,8,3,2,44,17,7,3
Jun-11,86,15,6,3,40,9,4,2,46,17,7,3
Sep-11,75,13,6,3,39,9,4,2,36,16,7,3
Dec-11,77,12,5,2,37,9,4,2,40,15,6,3
Mar-12,71,13,6,3,36,9,4,2,35,16,7,3
Jun-12,63,11,5,2,32,8,3,2,31,14,6,3
Sep-12,59,11,5,2,31,7,3,1,28,14,6,3
Dec-12,60,13,6,3,30,8,3,2,30,15,6,3
Mar-13,63,13,6,3,29,8,3,2,34,15,6,3
Jun-13,66,14,6,3,30,8,3,2,36,16,7,3
Sep-13,73,13,6,3,26,7,3,1,48,15,6,3
Dec-13,70,12,5,2,26,7,3,1,44,14,6,3
Mar-14,68,12,5,2,27,7,3,1,40,14,6,3
Jun-14,73,13,6,3,29,8,3,2,44,15,6,3
Sep-14,76,14,6,3,34,9,4,2,42,17,7,3
Dec-14,80,15,6,3,32,9,4,2,48,18,8,4
Mar-15,81,15,6,3,30,8,3,2,51,17,7,3
Jun-15,73,13,6,3,29,7,3,1,44,15,6,3
Sep-15,68,12,5,2,27,7,3,1,41,14,6,3
Dec-15,73,12,5,2,27,7,3,1,46,14,6,3
Mar-16,68,12,5,2,28,7,3,1,39,14,6,3
Jun-16,73,13,6,3,31,8,3,2,42,15,6,3
Sep-16,57,13,6,3,38,9,4,2,19,16,7,3
Dec-16,48,10,4,2,43,10,4,2,5,14,6,3
Mar-17,50,10,4,2,45,10,4,2,5,14,6,3
Jun-17,47,11,5,2,40,9,4,2,7,14,6,3
Sep-17,52,11,5,2,44,10,4,2,8,15,6,3
Dec-17,52,12,5,2,47,11,5,2,6,16,7,3
Mar-18,45,12,5,2,47,11,5,2,-2,17,7,3
Jun-18,41,12,5,2,55,13,6,3,-14,18,8,4
Sep-18,38,10,4,2,53,14,6,3,-15,18,8,4
