AREACD,AREANM,male,female
E06000001,Hartlepool                                        ,322.9106239,187.2519306
E06000002,Middlesbrough                                     ,344.506529,211.8368928
E06000003,Redcar and Cleveland                              ,274.100862,182.4285342
E06000004,Stockton-on-Tees                                  ,252.2268266,167.766135
E06000005,Darlington                                        ,256.5460013,148.7469704
E06000006,Halton                                            ,283.5162312,185.5330575
E06000007,Warrington                                        ,236.8331044,138.3242373
E06000008,Blackburn with Darwen                             ,336.5734379,204.0657987
E06000009,Blackpool                                         ,415.2275278,232.3669674
E06000010,"Kingston upon Hull, City of                       ",343.0755818,218.2622747
E06000011,East Riding of Yorkshire                          ,198.2389248,121.5238028
E06000012,North East Lincolnshire                           ,306.8844233,161.0347073
E06000013,North Lincolnshire                                ,234.7347019,147.0072985
E06000014,York                                              ,212.8587402,129.0021209
E06000015,Derby                                             ,256.4356369,155.9152821
E06000016,Leicester                                         ,300.0101564,151.5286323
E06000017,Rutland                                           ,165.9856959,112.3992802
E06000018,Nottingham                                        ,331.1243195,196.3888084
E06000019,"Herefordshire, County of                          ",217.3468835,122.4784764
E06000020,Telford and Wrekin                                ,246.5040494,155.9252421
E06000021,Stoke-on-Trent                                    ,317.0167814,192.0862971
E06000022,Bath and North East Somerset                      ,203.0049352,106.9362783
E06000023,"Bristol, City of                                  ",265.3315356,148.0512343
E06000024,North Somerset                                    ,201.9488686,125.6854289
E06000025,South Gloucestershire                             ,196.441628,105.7770588
E06000026,Plymouth                                          ,256.5042734,160.8040092
E06000027,Torbay                                            ,249.8199302,148.377348
E06000028,Bournemouth                                       ,248.835777,148.8392073
E06000029,Poole                                             ,190.0576688,125.1623794
E06000030,Swindon                                           ,217.3377412,125.4369375
E06000031,Peterborough                                      ,274.2818544,138.1121249
E06000032,Luton                                             ,250.1872695,144.820924
E06000033,Southend-on-Sea                                   ,230.2343126,145.8233175
E06000034,Thurrock                                          ,236.8655384,158.7684289
E06000035,Medway                                            ,238.7368569,147.3134602
E06000036,Bracknell Forest                                  ,184.1651618,117.8178745
E06000037,West Berkshire                                    ,188.0299437,113.4664294
E06000038,Reading                                           ,262.9502362,151.3403391
E06000039,Slough                                            ,272.1512436,166.8979356
E06000040,Windsor and Maidenhead                            ,182.9456582,101.0191753
E06000041,Wokingham                                         ,162.1792991,96.55074722
E06000042,Milton Keynes                                     ,234.4334444,141.9511686
E06000043,Brighton and Hove                                 ,262.1894315,149.8119114
E06000044,Portsmouth                                        ,276.4097847,158.165425
E06000045,Southampton                                       ,296.734139,160.714334
E06000046,Isle of Wight                                     ,235.8155935,126.4810118
E06000047,County Durham                                     ,261.145689,171.3597727
E06000049,Cheshire East                                     ,204.5211903,126.1342533
E06000050,Cheshire West and Chester                         ,228.2429638,144.2914867
E06000051,Shropshire                                        ,203.2109139,121.9576744
E06000052,Cornwall and Isles of Scilly                                      ,228.1,129
E06000054,Wiltshire                                         ,185.5012738,111.5387738
E06000055,Bedford                                           ,224.9441739,129.7865666
E06000056,Central Bedfordshire                              ,181.5122645,116.4302983
E06000057,Northumberland                                    ,240.7293334,149.0181133
E07000004,Aylesbury Vale                                    ,187.7304073,107.198429
E07000005,Chiltern                                          ,155.808338,93.96920646
E07000006,South Bucks                                       ,163.6497046,123.3928028
E07000007,Wycombe                                           ,172.0714734,105.8421016
E07000008,Cambridge                                         ,182.9986317,123.6351837
E07000009,East Cambridgeshire                               ,192.070161,112.1884551
E07000010,Fenland                                           ,259.6060139,155.9094119
E07000011,Huntingdonshire                                   ,175.8769238,99.25106563
E07000012,South Cambridgeshire                              ,141.2096755,98.5905591
E07000026,Allerdale                                         ,261.8135749,152.0613227
E07000027,Barrow-in-Furness                                 ,288.147967,177.5047054
E07000028,Carlisle                                          ,260.5477522,153.1476447
E07000029,Copeland                                          ,277.0822474,180.0373742
E07000030,Eden                                              ,182.4076204,124.3221037
E07000031,South Lakeland                                    ,161.1584404,100.0042262
E07000032,Amber Valley                                      ,210.2982285,136.6235791
E07000033,Bolsover                                          ,240.9886587,180.5721787
E07000034,Chesterfield                                      ,290.3342657,172.7205441
E07000035,Derbyshire Dales                                  ,175.4855517,117.1505109
E07000036,Erewash                                           ,234.3176778,136.7695471
E07000037,High Peak                                         ,219.7469172,139.4394424
E07000038,North East Derbyshire                             ,204.9182622,127.3302119
E07000039,South Derbyshire                                  ,204.1953405,148.3893845
E07000040,East Devon                                        ,184.3351376,106.6382356
E07000041,Exeter                                            ,274.03071,132.9883098
E07000042,Mid Devon                                         ,187.7745728,118.8712116
E07000043,North Devon                                       ,225.3614186,147.627262
E07000044,South Hams                                        ,172.6006993,103.7221176
E07000045,Teignbridge                                       ,203.8618746,117.6343066
E07000046,Torridge                                          ,230.4071568,123.0589942
E07000047,West Devon                                        ,181.4283889,126.1643785
E07000048,Christchurch                                      ,192.6166172,95.68289219
E07000049,East Dorset                                       ,147.2653008,88.54546748
E07000050,North Dorset                                      ,176.2640899,102.6526501
E07000051,Purbeck                                           ,190.3343719,111.8081612
E07000052,West Dorset                                       ,200.6998107,106.4576013
E07000053,Weymouth and Portland                             ,253.8108711,136.3819345
E07000061,Eastbourne                                        ,236.4502872,147.7508654
E07000062,Hastings                                          ,331.9380627,153.662031
E07000063,Lewes                                             ,181.3622284,104.3236483
E07000064,Rother                                            ,193.7792517,122.2444336
E07000065,Wealden                                           ,172.5075741,105.7080247
E07000066,Basildon                                          ,224.1560983,136.156159
E07000067,Braintree                                         ,198.9334103,128.6184262
E07000068,Brentwood                                         ,164.0137194,108.133586
E07000069,Castle Point                                      ,202.1079111,137.3339311
E07000070,Chelmsford                                        ,174.9302748,111.3399246
E07000071,Colchester                                        ,207.032001,115.5222731
E07000072,Epping Forest                                     ,158.5709983,121.5716563
E07000073,Harlow                                            ,272.8868681,132.8301865
E07000074,Maldon                                            ,194.2600687,147.5664894
E07000075,Rochford                                          ,149.7748974,98.19960991
E07000076,Tendring                                          ,275.1938681,166.0389122
E07000077,Uttlesford                                        ,155.6372966,108.7631086
E07000078,Cheltenham                                        ,229.0995968,149.0078839
E07000079,Cotswold                                          ,168.3898851,110.5600146
E07000080,Forest of Dean                                    ,186.3527087,126.0305688
E07000081,Gloucester                                        ,297.4964325,158.1999763
E07000082,Stroud                                            ,198.4248285,111.1815371
E07000083,Tewkesbury                                        ,179.278931,118.0779215
E07000084,Basingstoke and Deane                             ,205.3779729,121.1554669
E07000085,East Hampshire                                    ,164.3208228,100.8143019
E07000086,Eastleigh                                         ,183.426232,107.9505975
E07000087,Fareham                                           ,152.9821734,109.559003
E07000088,Gosport                                           ,234.3504215,142.4862281
E07000089,Hart                                              ,144.7376089,95.72289235
E07000090,Havant                                            ,203.993117,148.0948326
E07000091,New Forest                                        ,179.7256928,102.7383331
E07000092,Rushmoor                                          ,205.3195701,140.5293153
E07000093,Test Valley                                       ,175.8855281,116.4886158
E07000094,Winchester                                        ,164.7741032,103.6475233
E07000095,Broxbourne                                        ,185.4693049,100.6070319
E07000096,Dacorum                                           ,182.7828484,128.8382022
E07000098,Hertsmere                                         ,186.2018793,116.6815345
E07000099,North Hertfordshire                               ,173.4033259,115.3494599
E07000102,Three Rivers                                      ,174.3959913,111.4646607
E07000103,Watford                                           ,218.9140046,125.3602533
E07000105,Ashford                                           ,191.091644,110.171723
E07000106,Canterbury                                        ,213.5678993,130.7830351
E07000107,Dartford                                          ,231.4478913,151.8756117
E07000108,Dover                                             ,229.2787055,145.1879853
E07000109,Gravesham                                         ,222.2807375,118.3464025
E07000110,Maidstone                                         ,194.798586,118.223727
E07000111,Sevenoaks                                         ,158.2020407,101.018185
E07000112,Folkestone and Hythe                              ,258.6024118,160.1514841
E07000113,Swale                                             ,240.5985133,140.8543206
E07000114,Thanet                                            ,293.3349706,165.760731
E07000115,Tonbridge and Malling                             ,179.0032061,114.1304525
E07000116,Tunbridge Wells                                   ,175.6696385,128.6997243
E07000117,Burnley                                           ,344.7392374,197.6058017
E07000118,Chorley                                           ,217.3623633,137.096442
E07000119,Fylde                                             ,199.4718413,144.4321813
E07000120,Hyndburn                                          ,299.487172,174.9486583
E07000121,Lancaster                                         ,237.3866334,146.9656034
E07000122,Pendle                                            ,280.1413696,176.3453137
E07000123,Preston                                           ,282.6405502,177.0207607
E07000124,Ribble Valley                                     ,195.5700972,133.4648165
E07000125,Rossendale                                        ,256.0690598,169.4626565
E07000126,South Ribble                                      ,201.977415,135.6716038
E07000127,West Lancashire                                   ,222.7062094,151.2826369
E07000128,Wyre                                              ,236.7880393,140.3999857
E07000129,Blaby                                             ,186.9023807,122.0586091
E07000130,Charnwood                                         ,185.8852643,115.3808693
E07000131,Harborough                                        ,179.7462834,93.42701863
E07000132,Hinckley and Bosworth                             ,181.7792215,125.8441232
E07000133,Melton                                            ,194.4510507,123.1752509
E07000134,North West Leicestershire                         ,191.0523158,133.1943024
E07000135,Oadby and Wigston                                 ,230.8592938,109.0452009
E07000136,Boston                                            ,248.0483653,159.9948094
E07000137,East Lindsey                                      ,263.2639225,157.0560087
E07000138,Lincoln                                           ,303.4900006,163.5508337
