date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c
Dec-08,307,22,9.428571429,4.37755102,120,12,5.142857143,2.387755102,187,25,10.71428571,4.974489796
Jun-09,292,20,8.571428571,3.979591837,118,11,4.714285714,2.18877551,174,23,9.857142857,4.576530612
Dec-09,303,18,7.714285714,3.581632653,119,9,3.857142857,1.790816327,184,20,8.571428571,3.979591837
Mar-10,318,18,7.714285714,3.581632653,119,9,3.857142857,1.790816327,199,20,8.571428571,3.979591837
Jun-10,311,17,7.285714286,3.382653061,115,8,3.428571429,1.591836735,196,19,8.142857143,3.780612245
Sep-10,326,18,7.714285714,3.581632653,108,8,3.428571429,1.591836735,218,19,8.142857143,3.780612245
Dec-10,322,17,7.285714286,3.382653061,104,8,3.428571429,1.591836735,217,19,8.142857143,3.780612245
Mar-11,317,17,7.285714286,3.382653061,102,7,3,1.392857143,215,19,8.142857143,3.780612245
Jun-11,327,18,7.714285714,3.581632653,104,9,3.857142857,1.790816327,222,20,8.571428571,3.979591837
Sep-11,334,19,8.142857143,3.780612245,106,10,4.285714286,1.989795918,228,21,9,4.178571429
Dec-11,314,18,7.714285714,3.581632653,110,10,4.285714286,1.989795918,204,20,8.571428571,3.979591837
Mar-12,296,18,7.714285714,3.581632653,112,10,4.285714286,1.989795918,185,21,9,4.178571429
Jun-12,282,17,7.285714286,3.382653061,110,9,3.857142857,1.790816327,172,19,8.142857143,3.780612245
Sep-12,269,17,7.285714286,3.382653061,108,8,3.428571429,1.591836735,160,19,8.142857143,3.780612245
Dec-12,260,17,7.285714286,3.382653061,103,8,3.428571429,1.591836735,157,19,8.142857143,3.780612245
Mar-13,246,17,7.285714286,3.382653061,102,8,3.428571429,1.591836735,145,18,7.714285714,3.581632653
Jun-13,242,16,6.857142857,3.183673469,103,8,3.428571429,1.591836735,139,18,7.714285714,3.581632653
Sep-13,242,17,7.285714286,3.382653061,104,8,3.428571429,1.591836735,138,19,8.142857143,3.780612245
Dec-13,248,17,7.285714286,3.382653061,105,9,3.857142857,1.790816327,142,19,8.142857143,3.780612245
Mar-14,260,18,7.714285714,3.581632653,104,8,3.428571429,1.591836735,156,20,8.571428571,3.979591837
Jun-14,268,18,7.714285714,3.581632653,105,9,3.857142857,1.790816327,164,20,8.571428571,3.979591837
Sep-14,289,21,9,4.178571429,101,11,4.714285714,2.18877551,188,24,10.28571429,4.775510204
Dec-14,287,22,9.428571429,4.37755102,93,10,4.285714286,1.989795918,194,25,10.71428571,4.974489796
Mar-15,290,21,9,4.178571429,90,10,4.285714286,1.989795918,200,23,9.857142857,4.576530612
Jun-15,288,20,8.571428571,3.979591837,86,10,4.285714286,1.989795918,202,22,9.428571429,4.37755102
Sep-15,275,19,8.142857143,3.780612245,84,8,3.428571429,1.591836735,192,20,8.571428571,3.979591837
Dec-15,279,19,8.142857143,3.780612245,90,9,3.857142857,1.790816327,189,20,8.571428571,3.979591837
Mar-16,288,19,8.142857143,3.780612245,95,9,3.857142857,1.790816327,193,21,9,4.178571429
Jun-16,291,19,8.142857143,3.780612245,95,9,3.857142857,1.790816327,196,21,9,4.178571429
Sep-16,292,,,,95,11,4.714285714,2.18877551,197,,,
Dec-16,298,,,,90,10,4.285714286,1.989795918,208,,,
Mar-17,299,,,,87,10,4.285714286,1.989795918,212,,,
Jun-17,294,,,,90,10,4.285714286,1.989795918,204,,,
Sep-17,314,24,10.28571429,4.775510204,91,10,4.285714286,1.989795918,222,26,11.14285714,5.173469388
Dec-17,321,24,10.28571429,4.775510204,87,11,4.714285714,2.18877551,234,26,11.14285714,5.173469388
Mar-18,319,24,10.28571429,4.775510204,84,11,4.714285714,2.18877551,235,27,11.57142857,5.37244898
Jun-18,326,25,10.71428571,4.974489796,78,11,4.714285714,2.18877551,248,27,11.57142857,5.37244898
Sep-18,340,27,11.57142857,5.37244898,79,12,5.142857143,2.387755102,261,29,12.42857143,5.770408163
Dec-18,324,25,10.71428571,4.974489796,92,13,5.571428571,2.586734694,232,28,12,5.571428571
