date,series1,series1a,series1b,series1c,Visas,NINos
Jun-08,74,10,4.285714286,1.989795918,110.913,300.332
Sep-08,74,10,4.285714286,1.989795918,111.092,297.183
Dec-08,66,10,4.285714286,1.989795918,112.839,286.549
Mar-09,66,10,4.285714286,1.989795918,109.652,308.071
Jun-09,59,8,3.428571429,1.591836735,103.133,290.815
Sep-09,59,8,3.428571429,1.591836735,93.256,291.561
Dec-09,54,8,3.428571429,1.591836735,84.604,303.655
Mar-10,51,7,3,1.392857143,80.335,297.94
Jun-10,48,7,3,1.392857143,79.766,318.943
Sep-10,49,6,2.571428571,1.193877551,82.662,327.401
Dec-10,52,7,3,1.392857143,81.387,339.732
Mar-11,51,7,3,1.392857143,81.476,344.165
Jun-11,50,7,3,1.392857143,77.214,331.91
Sep-11,51,7,3,1.392857143,72.104,326.339
Dec-11,47,7,3,1.392857143,70.106,298.364
Mar-12,48,7,3,1.392857143,67.708,250.068
Jun-12,48,7,3,1.392857143,65.422,225.926
Sep-12,45,7,3,1.392857143,61.591,193.272
Dec-12,44,7,3,1.392857143,58.584,175.986
Mar-13,44,7,3,1.392857143,53.615,176.259
Jun-13,42,7,3,1.392857143,54.768,174.446
Sep-13,42,7,3,1.392857143,57.781,175.718
Dec-13,44,7,3,1.392857143,59.362,176.718
Mar-14,48,6,2.571428571,1.193877551,59.564,162.622
Jun-14,55,7,3,1.392857143,61.789,144.247
Sep-14,66,11,4.714285714,2.18877551,63.536,161.463
Dec-14,67,12,5.142857143,2.387755102,67.04,175.754
Mar-15,65,9,3.857142857,1.790816327,72.122,193.006
Jun-15,67,10,4.285714286,1.989795918,74.368,218.459
Sep-15,68,10,4.285714286,1.989795918,79.379,206.091
Dec-15,73,11,4.714285714,2.18877551,81.678,196.947
Mar-16,72,10,4.285714286,1.989795918,81.916,195.398
Jun-16,74,10,4.285714286,1.989795918,79.77,192.988
Sep-16,68,9,3.857142857,1.790816327,75.681,195.139
Dec-16,66,9,3.857142857,1.790816327,73.304,198.213
Mar-17,71,11,4.714285714,2.18877551,71.69,191.388
Jun-17,64,10,4.285714286,1.989795918,72.9,194.126
Sep-17,81,13,5.571428571,2.586734694,75.548,192.013
Dec-17,88,14,6,2.785714286,76.759,184.708
Mar-18,86,14,6,2.785714286,77.783,192.281
Jun-18,91,14,6,3,79,194
