date,male,female
1900,56.4,49.8
1901,57.0,50.4
1902,58.6,51.9
1903,58.7,52.1
1904,58.3,51.8
1905,59.6,53.0
1906,59.8,53.2
1907,61.1,54.4
1908,61.2,54.6
1909,62.2,55.7
1910,62.3,55.9
1911,61.3,54.8
1912,63.6,57.1
1913,62.8,56.3
1914,63.2,56.6
1915,64.1,57.5
1916,64.9,58.4
1917,65.2,58.8
1918,66.2,59.3
1919,66.8,59.9
1920,67.4,60.7
1921,67.9,61.2
1922,68.8,62.1
1923,69.1,62.7
1924,69.1,62.6
1925,69.8,63.5
1926,70.4,64.1
1927,70.9,64.9
1928,71.2,65.1
1929,71.5,65.5
1930,73.0,67.0
1931,73.0,67.0
1932,73.7,67.8
1933,74.3,68.4
1934,75.1,69.4
1935,75.7,70.0
1936,76.1,70.3
1937,76.6,70.9
1938,77.3,71.8
1939,77.6,72.1
1940,77.6,71.9
1941,77.9,72.3
1942,79.0,73.6
1943,79.3,74.1
1944,79.8,74.9
1945,79.9,74.8
1946,80.7,75.9
1947,80.9,76.2
1948,81.7,77.1
1949,82.1,77.4
1950,82.5,77.9
1951,82.7,78.1
1952,83.0,78.5
1953,83.2,78.7
1954,83.4,79.0
1955,83.7,79.2
1956,83.9,79.6
1957,84.0,79.8
1958,84.3,80.1
1959,84.4,80.3
1960,84.7,80.5
1961,84.9,80.7
1962,85.0,80.8
1963,85.2,81.0
1964,85.4,81.3
1965,85.6,81.4
1966,85.7,81.7
1967,85.9,81.9
1968,86.1,81.9
1969,86.2,82.2
1970,86.4,82.3
1971,86.6,82.5
1972,86.7,82.7
1973,86.9,82.9
1974,87.1,83.1
1975,87.2,83.4
1976,87.5,83.7
1977,87.7,83.9
1978,87.8,84.2
1979,88.0,84.3
1980,88.2,84.6
1981,88.5,84.8
1982,88.6,85.0
1983,88.8,85.2
1984,89.0,85.5
1985,89.1,85.7
1986,89.3,85.7
1987,89.4,85.9
1988,89.6,86.1
1989,89.7,86.4
1990,89.9,86.6
1991,90.1,86.8
1992,90.3,87.0
1993,90.4,87.2
1994,90.6,87.4
1995,90.7,87.6
1996,90.9,87.7
1997,91.0,87.9
1998,91.1,88.0
1999,91.3,88.2
2000,91.4,88.4
2001,91.6,88.5
2002,91.7,88.7
2003,91.8,88.8
2004,92.0,89.0
2005,92.1,89.1
2006,92.2,89.3
2007,92.4,89.4
2008,92.5,89.6
2009,92.7,89.7
2010,92.8,89.9
2011,93.0,90.0
2012,93.1,90.2
2013,93.2,90.4
2014,93.4,90.5
2015,93.5,90.6
2016,93.6,90.8
