name,International_net_migration,Short-Term_International_Migration_Inflow_Estimates,Non-British_Estimate_%,Non-UK_born_%,Live_births_to_non-UK_born_mothers_%,"New_Migrant_GP_Registrations_per_1,000_pop","Migrant_NINo_Registrations_per_1,000_pop",name2
Aberdeen City,10.8,-1000000,19,21.2,39.2,-10000000,25.7553429,AberdeenCity
Aberdeenshire,1.2,-1000000,6.1,8.8,16.2,-10000000,8.758788992,Aberdeenshire
Adur,1.5,0.461351255,-10000000,-10000000,15.6,4.456271848,7.307671717,Adur
Allerdale,0.6,0.544658718,-10000000,3.2,5.3,2.12467511,5.959865645,Allerdale
Amber Valley,0.3,0.250284375,1.6,1.6,6.2,1.596534157,2.866897756,AmberValley
Angus,0.6,-1000000,3.5,5.2,13.6,-1000000,16.75922253,Angus
Antrim and Newtownabbey,-0.5,-1000000,-10000000,-10000000,11.9,4.218900675,-1000000,AntrimandNewtownabbey
Ards and North Down,0.3,-1000000,-10000000,-10000000,10.2,2.713151579,-1000000,ArdsandNorthDown
Argyll and Bute,0.4,-1000000,3.5,5.9,12.4,-1000000,10.73830633,ArgyllandBute
"Armagh City, Banbridge and Craigavon",4.5,-1000000,-10000000,-10000000,15.9,9.493008656,-1000000,ArmaghCityBanbridgeandCraigavon
Arun,2.5,1.385224505,6.5,7.8,21.5,7.267654796,22.30781576,Arun
Ashfield,1.5,0.501068599,0.8,1.6,10.1,3.647113639,6.454682216,Ashfield
Ashford,4.2,1.175736569,5.6,8.8,19,9.242891455,12.62881523,Ashford
Aylesbury Vale,6.4,1.175465529,6.4,9.1,24.7,8.155846577,14.35025464,AylesburyVale
Babergh,0.5,0.51099438,6.8,9.1,11.5,3.597845762,5.329533031,Babergh
Barking and Dagenham,16,5.806767614,21.8,37.4,67,27.83590042,59.52874994,BarkingandDagenham
Barnet,13.5,6.663811254,20.8,39,58.7,25.00239586,48.65413267,Barnet
Barnsley,3.6,1.540898233,3.3,4.6,10.6,6.508635342,12.56737251,Barnsley
Barrow-in-Furness,0.2,0.470418135,3,1.5,4.7,1.782504716,3.743224521,BarrowinFurness
Basildon,1.5,0.701060958,7.1,11.5,18.1,5.731330912,10.39806743,Basildon
Basingstoke and Deane,1.7,1.903185863,6.9,10.3,23.3,8.895227622,12.65834271,BasingstokeandDeane
Bassetlaw,1.5,0.979758724,5.4,5.4,12.2,7.078983343,12.92232374,Bassetlaw
Bath and North East Somerset,7.1,2.99395184,6.6,11.5,17.3,17.54983995,16.0738291,BathandNorthEastSomerset
Bedford,4.2,2.771962144,10.2,14.5,34.4,15.48435269,27.62341567,Bedford
Belfast,-1.7,-1000000,-10000000,-10000000,15.8,12.53905571,15.29364432,Belfast
Bexley,3.3,1.446472403,11.1,19.7,35.4,6.275535218,14.76038712,Bexley
Birmingham,8,3.328243939,12.9,22.8,41.3,19.85293921,26.98174911,Birmingham
Blaby,1.3,0.491856736,4.2,7.3,13.7,2.81465257,5.609255271,Blaby
Blackburn with Darwen,2.1,1.31667003,6.9,16.6,27,9.588640521,14.30379471,BlackburnwithDarwen
Blackpool,0.4,1.032610894,4.4,5.9,12.3,5.158231258,10.54456838,Blackpool
Blaenau Gwent / Blaenau Gwent,1,0.344282699,1.4,2.9,6.7,1.938875165,3.55912482,BlaenauGwentBlaenauGwent
Bolsover,3,1.289342923,-10000000,2.6,9.3,6.224225814,11.38434448,Bolsover
Bolton,3.5,1.054921921,8.5,13.2,29,10.51869382,13.76070958,Bolton
Boston,20.2,11.5646027,26.9,29.9,47.6,28.75791842,92.01960354,Boston
Bournemouth,11.8,5.697371949,16,19.1,36.5,22.56940053,37.65539561,Bournemouth
Bracknell Forest,3.9,2.522816358,7.6,14.4,24.9,8.304938592,15.55036211,BracknellForest
Bradford,4.3,1.674670372,9.6,15.3,33.9,10.31670719,14.647705,Bradford
Braintree,0.9,0.912094335,2.7,6.7,13.1,4.112610017,7.399314157,Braintree
Breckland,3.3,1.505163174,15,15.8,20.8,8.027322085,17.09230596,Breckland
Brent,26.4,10.0872095,34,54.7,76,45.76029538,92.8874375,Brent
Brentwood,1.2,0.885807724,7.9,11.8,16.4,6.179142775,9.806230596,Brentwood
Bridgend / Pen-y-bont ar Ogwr,1.4,0.272126997,2.1,3.6,7.1,1.690215607,3.934662125,BridgendPenybontarOgwr
Brighton and Hove,13.2,8.51435087,12,17.6,27.8,20.83815938,29.48664176,BrightonandHove
"Bristol, City of",1.5,2.700833771,11.4,14.9,29.5,19.6603796,29.94191675,BristolCityof
Broadland,1.1,0.983726954,1.6,4.8,8.6,1.93793888,3.650369734,Broadland
Bromley,2.4,1.444037883,11,16,33.9,6.834124122,14.43805916,Bromley
Bromsgrove,1.3,0.203961785,1.1,4.3,6.8,2.438797549,1.962539595,Bromsgrove
Broxbourne,2.2,1.336156089,5.2,9.3,31.1,7.036650513,15.91286997,Broxbourne
Broxtowe,3.9,3.322382404,4.5,7.1,16.6,9.177161825,9.272559198,Broxtowe
Buckinghamshire,4,1.42045996,6.5,13.9,26.7,8.204293836,15.44538148,Buckinghamshire
Burnley,1.1,0.346062349,2.3,3.5,18.2,5.849957725,12.49813461,Burnley
Bury,2.9,1.035344067,6.4,10.7,21.4,6.662461772,9.609939423,Bury
Caerphilly / Caerffili,0.5,0.156978518,2.2,3.4,4.9,1.252341213,1.870074358,CaerphillyCaerffili
Calderdale,2.7,0.592418751,4.8,7.7,16.9,4.390522954,5.096154581,Calderdale
Cambridge,13.8,17.91812714,20.9,26.4,53.1,60.5239797,53.08219178,Cambridge
Cambridgeshire,4.9,5.175721168,10.7,13.5,30.4,20.16596619,25.11166926,Cambridgeshire
Camden,27,13.36873206,25.6,44.7,61.4,40.82362164,54.52486867,Camden
Cannock Chase,1.3,0.20928603,-10000000,2,4.4,2.476302596,3.199334538,CannockChase
Canterbury,9,6.501838179,7.6,14,17.4,20.65683184,22.24440051,Canterbury
