date,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers;undifferentiated goods-and services-producing activities of households for own use
1996,43971,309,57102,0,698,21576,147688,19804,75555,29802,13514,13662,65108,45181,8343,54509,149075,57983,94777,61223
1997,41893,1139,64214,611,943,18416,140235,16228,71326,30828,13733,12297,67245,49277,2748,49613,161171,58128,100520,55612
1998,39668,547,61603,748,889,17131,139092,20802,67080,36363,10468,12654,75141,54420,7869,56560,155627,57192,90709,55078
1999,31536,784,60160,607,295,18857,136200,19685,54802,39854,11785,11681,71065,53296,5597,60363,160948,57206,84924,50119
2000,30382,1429,58878,402,500,13697,130128,19570,51286,39234,10161,13384,90064,52097,7899,54646,148850,60157,106385,49066
2001,25815,1145,50192,704,1035,17655,128450,17719,47591,37455,12327,15134,88226,53397,7004,52506,146948,50462,104124,37622
2002,26234,1617,43230,670,0,22953,127935,18260,47391,36761,12000,17459,76272,57173,7796,44507,155155,55461,104618,38465
2003,25681,379,45736,548,332,23261,120175,22384,57672,42678,14017,15732,98533,62465,7627,57099,157152,60305,108010,51825
2004,22609,386,45762,0,0,22224,129028,16115,59353,31204,18694,16337,90020,66907,9077,64268,155635,68614,120251,47605
2005,26693,342,49913,0,459,30387,128135,16938,55908,31838,15905,15687,94232,71952,10998,50558,158350,56856,113168,45184
2006,30116,1166,44810,564,1509,28420,132973,20517,47945,40292,16562,18304,107536,72137,11353,65138,172779,68525,125070,41061
2007,35756,0,46065,0,442,28565,115581,25993,56554,35408,14556,17444,118532,72518,10889,65842,179308,80239,122666,38058
2008,41129,854,45109,634,860,21019,115729,15804,59132,35923,14935,21144,109638,82531,12756,66784,177686,82516,118898,49142
2009,32567,0,42280,2218,392,31199,113135,17898,60095,31917,16723,14082,133310,85900,10962,106700,184920,66490,137041,18327
2010,42989,457,40529,0,393,29661,123505,21783,67666,31198,8902,16217,157536,105272,12945,115975,217120,69818,143619,16191
2011,37974,522,37735,0,994,25593,125518,20647,58197,41847,16965,28337,145714,102714,9412,135819,229106,75214,151219,20075
2012,48081,0,52729,371,803,32206,143534,26499,59608,42699,14643,23722,168802,124295,11763,144357,209614,90133,155601,17271
2013,32443,518,63861,0,1052,32004,120332,19659,65108,52811,12024,23955,168550,124491,16086,138964,245977,79199,168716,25437
2014,43603,0,63040,0,0,40447,141824,20341,70560,53762,14733,33154,190235,137568,19599,150151,239191,102203,197781,27299
2015,30503,734,58137,551,714,35930,118776,20624,69785,54118,17521,33606,191239,143548,14591,156053,246281,105595,204509,20252
2016,38346,528,53705,1862,1442,40303,136107,18216,73921,45266,23751,24026,195379,145572,24620,161897,223042,91826,187315,17635
2017,44381,0,58481,1027,1931,46046,130492,17894,76398,56458,17799,35042,212140,157760,22839,156149,226606,107342,205701,18186
2018,49076,1353,62126,517,2117,28341,137518,20513,63948,53797,21909,33180,216797,159454,22990,197918,253945,94642,218432,19476
2019,38985,703,53109,0,1524,35633,120374,24892,70541,43045,19094,31494,220459,168869,22123,177026,279476,115436,216853,22832
