date,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers;undifferentiated goods-and services-producing activities of households for own use
1996,163353,4076,180764,830,5031,714595,327453,164079,86282,81231,29432,36449,236945,103006,11313,48496,81537,92933,78840,35703
1997,159009,5324,170253,1821,6272,702109,316735,172068,95337,85337,28385,37029,235879,108285,8323,50428,78604,89053,64696,34296
1998,150165,2675,188899,4426,4807,592172,327221,166655,83442,97706,34329,33514,256125,101590,8717,42835,75765,99142,80929,26560
1999,124018,2398,176049,1387,5446,596339,310270,171059,63822,107870,25343,26352,254113,111127,13146,56081,80946,101100,69783,29597
2000,113885,4417,166719,3385,5621,559810,301781,168589,62356,96091,34612,29606,253411,116674,10812,52634,70622,105711,76382,34041
2001,105398,4177,145038,2754,3987,592617,302829,178524,67146,108369,35793,30007,252995,118957,14274,44041,83786,96583,68845,30677
2002,100775,5715,157605,3101,3402,636119,277434,181411,56425,107787,34880,38556,249906,120329,10530,44328,74171,101523,61789,32561
2003,101923,3318,155632,3731,3917,694638,283028,188420,64304,125872,31427,39092,247962,112627,14684,55901,68807,96305,69004,42017
2004,106961,2069,153910,2900,6656,728908,296673,183793,71114,130304,30014,40129,265091,134864,13059,63171,73661,103566,77366,47243
2005,119311,4333,145521,2392,7869,779675,270825,183790,67118,123111,42349,34127,254314,133012,16805,47081,87005,100067,63949,37945
2006,110588,2985,159183,822,5540,772538,265795,209658,59201,127467,28088,39232,267486,128424,14145,69957,80570,114465,67581,37296
2007,102781,6549,156635,2413,7945,820639,257416,189106,74337,152688,35256,35947,251648,119853,13387,74592,92002,109116,76099,46878
2008,118546,7602,155915,5100,7080,807149,283464,198089,75404,119143,38271,30326,272441,133137,20332,78733,78242,112134,63210,41647
2009,128791,7760,118505,2818,12113,788055,259597,232365,68662,110209,48156,29423,290038,143124,15331,101000,85343,100913,80310,14300
2010,146680,6902,126415,7817,8765,735713,242058,219713,66438,118174,52485,32413,310722,139882,18218,103483,79315,102872,86405,10025
2011,162158,5568,130688,8036,7253,766324,264163,223051,70835,132665,44501,31178,275513,147191,16760,103200,85887,113055,94782,9271
2012,144870,11072,117289,5266,8809,805377,267608,237420,89198,115257,55719,40881,322797,179064,19000,100177,86478,120956,75726,14852
2013,139879,6616,140734,6765,8372,763686,262856,221595,80449,137239,54455,42416,319278,170028,22299,95964,90009,138665,89038,9721
2014,170396,7524,117832,7821,10284,808031,255303,244499,74179,143459,62186,49088,362161,190868,20447,121042,106658,137512,97848,16051
2015,135551,10710,158337,10624,3974,778073,246001,209562,70765,136538,55464,41392,321707,183246,21281,115128,104548,139904,103389,8951
2016,135260,8106,150851,13797,2100,831501,230939,263701,63858,113057,55440,46203,321563,182162,27054,139687,97414,139627,92476,10362
2017,158202,4697,119189,6374,7975,851535,238429,267095,81651,129287,42244,58122,296065,175143,21593,106000,97073,143503,92115,14635
2018,138965,10190,152179,5370,9655,819649,227616,249458,74586,140359,51557,38306,268274,175389,23125,95267,90960,164481,94607,9506
2019,132469,8204,142695,8051,7884,846101,227358,273975,77511,134142,51503,39304,343331,201689,20192,129469,82517,163037,97394,9610
