date,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers;undifferentiated goods-and services-producing activities of households for own use
1996,360428,70760,3013621,87004,98844,1561076,2351073,1093338,488933,547700,492707,138394,925597,779414,931237,598819,466293,319238,259631,35704
1997,364029,74388,3016395,81833,121663,1564257,2418586,1110358,531593,605329,486955,141890,905390,843305,907764,594930,477722,323650,247660,34297
1998,354476,69151,3085507,77646,122993,1623934,2429362,1063151,660061,609367,532909,136592,941119,960055,892837,566358,535107,329837,294370,26561
1999,321641,67708,3024530,71852,122578,1632726,2430458,1049320,718529,648175,547439,137916,983005,1031161,907262,652855,552067,347830,314456,29598
2000,294955,65031,2952799,68669,118718,1650650,2452095,1054789,716789,682947,561892,150596,1000225,1069913,916201,638399,572335,380231,354097,34042
2001,271122,64921,2833118,69294,121805,1667351,2458882,1093932,748433,749041,543020,153797,1053824,1133364,921438,670543,607203,388817,352575,30678
2002,277669,62375,2702723,70128,116255,1745833,2458419,1092424,779837,761351,579545,164798,1063027,1147411,922940,672860,602831,401068,355000,43605
2003,261816,54713,2611096,61042,117034,1773807,2508519,1081547,817676,807770,582210,172585,1058197,1177511,954523,698385,637408,393000,348589,59066
2004,275169,49638,2480788,56445,119725,1832909,2534090,1067872,858204,807315,544023,175513,1131617,1218950,939463,740485,686901,408639,347085,65970
2005,300983,49211,2378805,52631,127891,1927683,2541138,1132975,851822,803094,563190,186747,1148619,1281021,933721,708295,738230,416359,343664,53751
2006,279634,49056,2308331,48692,127203,1959965,2534272,1190240,869478,809945,571381,215607,1212839,1312339,929411,728625,757391,430534,342699,55306
2007,276028,58183,2249647,60418,132852,2028346,2585886,1181963,887433,822001,559632,219669,1243626,1361804,917633,742273,761855,422224,362205,62614
2008,274795,57948,2203983,62737,138366,2009798,2676563,1203623,917959,824448,582932,227055,1276170,1428934,903858,780416,764524,439526,335030,60283
2009,298156,57858,2055647,74630,134438,2051473,2550642,1204839,909625,829666,600790,220773,1339137,1355020,864703,867165,825181,415021,336828,25145
2010,289969,52737,1960387,96508,129859,1828621,2468416,1157345,953501,794064,565357,227838,1351263,1359131,869892,868784,856038,408775,346215,17884
2011,313007,53434,1967160,96254,145738,1803254,2513470,1192139,901093,842302,584053,221136,1340963,1395374,833919,868836,861076,438356,351398,21714
2012,307063,63364,1964025,87739,146899,1823449,2560738,1194492,982334,824645,595449,239922,1364909,1437978,778404,861916,887702,452982,335027,21351
2013,275565,59742,1943719,92117,147426,1780878,2575327,1177628,972789,865572,584772,244726,1476423,1439333,763376,859048,884730,474190,321086,17725
2014,326319,56803,1968121,88905,150869,1839101,2526025,1196219,1016902,932067,583456,261156,1578049,1536331,746531,889045,904850,478453,328092,23787
2015,300817,63635,2018640,96540,145704,1851964,2625858,1208998,1051605,946423,590022,256538,1594400,1635614,728639,910716,916436,483960,368744,16061
2016,291991,53969,2002383,106832,146781,1920744,2583627,1327332,1068338,939408,586448,261516,1646573,1648009,719630,931579,916107,504618,351495,22960
2017,318310,48398,2004498,104429,159968,1996921,2610623,1354664,1117731,984277,579731,275595,1667299,1661759,711466,907395,952609,525104,322260,21356
2018,292599,52282,2054319,106430,166225,2008466,2614990,1280748,1124087,1037166,583020,267597,1588113,1655146,719919,877123,933989,535694,339753,17989
2019,264566,50609,2068103,100588,184563,2044854,2648474,1343068,1109359,1106305,589450,269178,1683841,1649572,730887,904133,948968,548580,350260,16257
