Data source,Contribution,£billion
ONS,Gross Contribution,20
ONS,Abatement,4.5
ONS,Contribution after abatement,15.5
ONS,EU funded public sector credits,4.5
ONS,Net Contribution,11
European Commission,EU funded public and private sector credits,5.6
European Commission,Net contribution,7.8
European Commission,Abatement,4.6
