CountryName,CountryId,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
Austria,AT,9794,11432,17279,18088,19051,28025,29079,34193,40803,52150,45557,49861,50869,50700,38595,39462,31631,32593,33775
Belgium,BE,46257,41884,54518,62910,70991,97461,101315,104065,132735,190821,157158,142131,157528,154716,135295,144373,125843,144738,130753
Bulgaria,BG,1046,977,513,504,518,691,1125,1567,1695,483,1509,1742,1671,1909,2574,3178,1661,2191,2745
Croatia,HR,1276,1204,834,1361,1482,1593,1637,1755,2275,602,602,1206,358,654,893,1007,1133,1782,1200
Cyprus,CY,2557,2987,3402,3238,3165,3924,6546,8414,11238,16391,26520,21659,19967,19203,10894,15851,13516,11284,12577
Czech Republic,CZ,1966,2858,3425,2202,2127,2906,4423,5022,5594,6916,5558,4379,5498,4281,3382,2970,2874,3967,4260
Denmark,DK,16248,19935,22821,21973,30995,45225,47720,50294,75896,91239,56129,57463,73133,76744,79265,69354,62206,69858,66306
Estonia,EE,755,505,140,316,244,375,406,431,481,340,382,324,188,188,260,367,332,421,386
Finland,FI,5516,5595,6351,7470,12646,20530,22698,25342,30356,51329,47952,67003,104836,79637,49136,68013,47039,46703,27726
France,FR,162134,220937,172448,202122,217676,332596,449159,449739,603865,923035,712947,803610,833887,900287,817203,892708,790428,843951,791916
Germany,DE,261264,272786,262304,308333,366008,549630,595364,650209,813142,1218386,960379,1011197,1043909,1053897,872912,887819,725086,842859,725310
Greece,GR,16972,24670,13869,17651,19105,25120,33660,37506,50094,73691,84068,61980,48977,50269,50365,46996,37500,38343,37260
Hungary,HU,1642,1539,768,1266,996,2617,3222,2881,3907,4805,3260,6002,5662,4084,4837,2365,2894,2831,3142
Ireland,IE,49286,60506,107549,133491,170283,226065,289509,334024,435417,545222,530229,528475,596907,594975,494179,551081,581426,652853,668632
Italy,IT,61517,68032,71106,77648,82222,96511,98499,102442,112928,141609,149875,160129,184592,212500,183521,182917,156082,151874,157718
Latvia,LV,831,645,204,331,267,470,386,424,641,514,403,558,400,575,836,992,785,828,584
Lithuania,LT,901,612,118,190,147,311,228,373,524,149,140,416,117,154,195,372,358,440,263
Luxembourg,LU,76370,77665,79872,85820,122271,138406,159185,193625,235461,309336,306249,337396,327354,385873,459198,428482,440180,498802,495227
Malta,MT,1201,1048,1164,1372,1569,1138,1851,2515,6860,12233,7805,6624,5648,6097,6488,7094,5941,7912,7315
Netherlands,NL,133241,162239,217858,212300,237961,343437,476079,577735,722650,803296,610104,571816,613437,605371,537800,659094,553595,641928,687058
Poland,PL,3657,4060,4487,3153,3209,5257,6627,7030,9869,8826,4312,5023,6563,6927,9479,11626,8456,12867,12177
Portugal,PT,6129,5783,6754,9745,11402,13894,16665,18694,21427,21180,28523,30642,30124,37206,25701,25789,18347,16392,13843
Romania,RO,946,973,551,441,665,874,1133,1539,1233,794,822,566,439,792,839,1343,1239,1339,815
Slovak Republic,SK,848,501,418,169,581,1602,1250,1304,1385,701,2633,2660,2550,2332,2520,2692,3037,2573,2679
Slovenia,SI,928,996,991,956,770,267,469,382,641,175,763,1034,930,1095,1348,1039,2751,4730,2160
Spain,ES,24919,23997,35458,47098,56997,75322,93932,137470,155798,164726,174585,202741,217450,231355,174932,149763,109605,121824,137718
Sweden,SE,39957,43966,30310,28518,34874,49115,52309,58922,73342,68059,67245,77428,84763,90232,83512,87694,84336,81381,89765
Iceland,IS,198,181,513,348,994,2180,4653,6239,7394,7161,3707,3732,2489,3864,5295,4781,5414,5043,1333
Liechtenstein,LI,1704,3161,2052,2249,2285,2563,2999,2658,3627,3636,2334,2920,4232,2750,4067,4373,4280,5085,5199
Norway,NO,10075,14055,16530,21183,28513,32765,56219,69097,82531,118884,86075,100518,101136,107425,101311,106040,102533,101840,119778
Switzerland,CH,221954,271620,231676,241340,272848,283098,316204,258471,445611,420678,325693,420557,395194,361811,376641,381516,342161,362989,341634
Russia,RU,4058,9117,9590,13881,17651,25458,56893,69019,77007,32463,18865,25550,27246,29589,31947,23342,24924,27314,21684
Turkey,TR,2796,2638,3240,2679,2798,4371,6804,7372,8575,10157,7518,6585,7629,8128,7418,9805,10215,14316,10202
Brazil,BR,4054,4745,3317,2763,4432,7837,9004,8010,7981,6566,6589,11488,6353,4544,12096,15145,22672,9055,6221
Canada,CA,33158,31751,42628,39477,48731,68534,82820,98985,112382,165737,127894,146223,153595,147376,150036,184940,170638,188019,201115
Chile,CL,258,412,995,804,1122,1614,1670,2812,4499,4698,8604,10320,4058,5117,7694,8521,8514,7006,6103
Mexico,MX,4359,5265,5748,2619,2873,4931,5857,5024,5747,12614,3841,6420,5968,3453,4655,9647,11609,14117,11182
United States,US,618167,756744,944170,793155,875339,1222097,1487003,1679627,1913860,3335005,2557654,3183857,3653653,3423693,2937198,3115394,3084478,3189149,3263418
China,CN,4043,8772,7686,8727,7014,10892,13376,15659,27335,17003,11163,28798,40129,47926,67373,71447,82048,86030,88370
Hong Kong,HK,86016,116635,80774,71116,81611,92902,107428,111537,161188,184877,140896,137614,126060,116291,141634,145224,161078,224508,218616
India,IN,7701,8686,8036,7879,11384,19108,23260,29861,15195,20881,12743,14497,13135,11434,15885,16357,21043,24381,32028
Israel,IL,4665,5108,6959,6491,6216,6779,9828,11879,11313,9454,7893,9232,10322,11763,11289,14107,12361,16319,18290
Japan,JP,205461,252917,228798,214437,188577,243603,238524,253886,325866,467633,358669,419829,506521,486574,413721,396005,364666,443004,389762
Malaysia,MY,7166,9656,5670,3665,3919,7865,4213,8482,10807,5337,5855,7233,7087,6676,6969,8841,7891,7624,8321
Saudi Arabia,SA,16891,23716,16304,15830,14176,17620,28870,35458,65164,82017,61469,53728,73582,72949,86553,81968,91280,87764,93701
Singapore,SG,53327,71371,65080,66665,67354,84352,85877,97626,135086,159784,113238,105549,130718,129652,119629,119181,117506,152316,133580
Taiwan,TW,3497,3723,4503,3292,7376,11469,11288,8260,15225,11112,7163,9181,7380,9262,7533,12187,10201,12316,20275
Thailand,TH,2771,4018,4229,1436,3640,3530,5361,5795,7998,5841,3288,3258,2665,2858,3295,3423,4713,3885,4411
Australia,AU,23101,25629,29464,30251,38343,71568,72507,73277,98753,134146,102432,128565,146956,158061,135461,191192,155977,190347,154239
New Zealand,NZ,4283,2628,2470,2443,2254,4120,5491,5027,6069,8757,5282,7531,8912,8992,7977,6455,10109,9990,8913
South Africa,ZA,24266,25308,18800,22076,30878,34820,39472,38599,40307,47376,54138,79222,68280,74285,63433,61340,61850,65486,79044
Worlddata,W1,2632838,3136684,3341979,3295812,3721707,5011357,6038387,6683103,8367201,11364044,9129571,10312885,11244694,10923615,9957458,10620857,10001501,11013937,10895229
