CountryName,CountryId,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
Austria,AT,12583,18172,17322,16217,18997,30140,29916,31209,34477,51412,35489,33777,40588,37514,35685,36012,31177,34399,37253
Belgium,BE,51175,61196,77521,91963,108142,145959,211684,172785,199636,244779,178424,206714,181900,165528,113480,119270,111288,131729,134428
Bulgaria,BG,467,946,1147,395,462,590,926,1114,939,2037,1693,1411,1352,1557,1062,1252,631,672,575
Croatia,HR,411,611,637,1036,1150,1168,1542,1104,1046,1840,2127,2180,1710,1719,1784,1946,2397,2273,1373
Cyprus,CY,1558,1960,1971,1507,1536,1892,3751,5173,7417,8182,8141,6924,6449,10989,6801,11588,8221,10551,10683
Czech Republic,CZ,1998,1866,2655,2305,2358,3169,4246,4272,5178,7020,5419,5995,7049,7727,8824,8286,7408,9130,15476
Denmark,DK,22903,26337,23499,25824,30045,47784,63112,57938,65349,87360,57058,81014,84881,78352,74145,70340,55355,68952,66450
Estonia,EE,85,206,269,202,239,403,124,94,66,93,74,138,234,194,242,202,269,345,409
Finland,FI,11011,16705,18906,16543,15773,22985,28599,28249,37171,57606,47657,63973,102857,83290,63654,74315,50229,49810,34930
France,FR,142496,203256,229053,222043,240218,351245,414455,517518,739040,990360,719649,865857,958481,947597,959996,998249,863225,969074,974352
Germany,DE,213971,315018,329951,314571,347245,506631,545287,559300,673082,1111664,815407,919202,940050,995203,737860,820842,694594,900219,796916
Greece,GR,13730,21665,17058,18855,21341,25446,22370,30387,37497,42422,31458,33965,24726,21115,28102,33184,16257,18140,18623
Hungary,HU,2792,4206,4378,5100,4939,7377,7117,8269,8923,10950,7934,9790,10775,14415,14663,8117,5116,6245,5775
Ireland,IE,85281,102658,106666,107851,134768,171956,278331,314050,404763,589246,449951,425769,496276,434794,350621,335890,334691,402559,431388
Italy,IT,113954,135312,134175,133735,149728,171583,180048,181871,207846,250743,243863,256641,235372,246626,225868,245512,176981,181245,159480
Latvia,LV,34,91,96,135,73,126,173,360,1000,1048,548,400,446,601,458,491,269,495,618
Lithuania,LT,253,196,147,171,118,168,992,69,140,6,292,463,319,386,372,370,294,227,303
Luxembourg,LU,62393,121220,136972,130411,171826,204410,244062,183754,254035,402718,300199,335423,368938,375238,310859,290240,283945,347906,326957
Malta,MT,470,551,515,648,854,2863,566,2840,5888,7415,3675,2727,4903,8363,3979,6897,5876,7327,6135
Netherlands,NL,180273,338535,337548,355872,370305,431715,400086,449902,614065,741612,620221,650611,703888,699483,589310,643085,575509,649544,632036
Poland,PL,2824,4602,5645,6987,8022,9132,9677,9664,11192,18607,15583,14816,14351,16313,19075,20937,16856,20368,20193
Portugal,PT,10492,14247,21150,21544,25839,23475,27671,27222,29958,35080,39050,38306,41523,41433,26045,26654,18650,19287,14739
Romania,RO,362,314,561,712,1064,1594,2173,1814,3136,6260,4693,4376,3604,4022,3454,4330,3837,3908,2757
Slovak Republic,SK,859,535,402,655,873,520,759,708,1242,2493,1522,1911,1682,1586,1507,1241,856,898,2065
Slovenia,SI,601,564,498,317,444,702,957,881,999,1465,517,1458,1580,3941,1475,1132,1409,2978,669
Spain,ES,50156,51512,64341,60657,86931,126564,202707,222050,251543,353520,310683,291443,277840,248871,206561,189170,159070,187581,209993
Sweden,SE,40390,59312,53633,42179,49523,64146,82492,87135,90511,108714,90244,101060,105032,99267,96885,95095,90286,97846,109657
Iceland,IS,648,978,1031,860,1586,2939,4625,6853,18740,11191,13871,5793,2920,3220,3161,3194,4157,4121,715
Liechtenstein,LI,799,982,731,728,858,512,610,810,1010,835,838,596,877,606,511,673,672,692,702
Norway,NO,14290,19142,17800,19469,22776,31891,42578,55037,64246,106161,42576,45187,44785,52016,48220,43635,46720,51502,54843
Switzerland,CH,126414,174893,146610,145066,166031,164688,179426,169192,304671,358091,261069,330961,368744,311362,294638,280620,287857,358380,317191
Russia,RU,3525,4236,7450,8270,11618,16667,38278,36496,54960,56934,38670,43758,41296,44262,65240,49525,35036,37437,34541
Turkey,TR,5691,7280,7461,8760,6769,21340,15470,19485,25477,29883,30041,40046,36762,46243,43034,44642,43690,46786,41795
Brazil,BR,7383,9805,12132,9723,9294,12105,15257,19576,29052,26178,35428,71341,89192,95691,70762,64662,67584,44540,38829
Canada,CA,26458,44570,47228,51044,43246,56460,80833,108331,141730,222885,155721,177086,156832,151091,134686,161792,132450,164095,172790
Chile,CL,2373,2988,3717,3942,3702,4741,6150,3100,3458,4018,3607,5946,6056,8683,28571,7051,7766,5789,5636
Mexico,MX,9567,9128,10230,8164,8230,11273,17259,14756,14778,16903,13043,18095,25035,25458,29194,28395,30772,33002,31984
United States,US,688828,636275,724120,669235,798927,1149543,1475987,1755206,2094109,3445247,2545550,2910588,3392950,2875018,2652468,3008318,3034898,3231795,3293631
China,CN,4538,5338,6305,7368,7488,9916,13153,16626,34344,26359,31073,40191,43475,43763,64378,65746,66954,83184,103136
