id,parentId,name,size
c0,NULL,Total,501657
c1,c0,Food & live animals,40358
c1_1,c1,Live animals,524
c1_2,c1,Meat & meat preparations,6557
c1_3,c1,Dairy products & eggs,3300
c1_4,c1,Fish & shellfish,3467
c1_5,c1,Cereals,4232
c1_6,c1,Animal feeding stuffs,2424
c1_7,c1,Vegetables & fruit,11460
c1_8,c1,Sugar,1197
c1_9,c1,"Coffee, tea, cocoa etc",3783
c1_10,c1,Miscellaneous foods,3414
c2,c0,Beverages & tobacco,8499
c2_1,c2,Beverages,6804
c2_2,c2,Tobacco,1695
c3,c0,Crude materials,10782
c3_1,c3,Wood & cork,3247
c3_2,c3,Pulp & waste paper,506
c3_3,c3,Textile fibres,462
c3_4,c3,Metal ores & scrap,3270
c3_5,c3,"Hides, skins & furskins",11
c3_6,c3,Oil-seeds & oleaginous fruits,522
c3_7,c3,Crude rubber,235
c3_8,c3,Crude minerals & fertilisers,751
c3_9,c3,Other crude animal & vegetable materials,1778
c4,c0,Animal & vegetable oils & fats,1385
c4_1,c4,Animal oils & fats,97
c4_2,c4,Vegetable oils & fats,993
c4_3,c4,Processed oils & fats,295
c5,c0,Fuels,49601
c5_1,c5,Crude oil,19382
c5_2,c5,Refined oil,21659
c5_3,c5,"Coal, coke & briquettes",900
c5_4,c5,Gas,6644
c5_5,c5,Electricity,1016
c6,c0,Chemicals,57882
c6_1,c6,Organic chemicals,8079
c6_2,c6,Inorganic chemicals,2190
c6_3,c6,"Dyeing, tanning & colouring materials",1698
c6_4,c6,Medicinal & pharmaceutical products,23668
c6_5,c6,Toilet & cleansing preparations,6601
c6_6,c6,Plastics in primary forms,5572
c6_7,c6,Plastics in non-primary forms,3518
c6_8,c6,Processed fertilisers,821
c6_9,c6,Other chemicals,5735
c7,c0,Material manufactures,55742
c7_1,c7,Leather manufactures,275
c7_2,c7,Rubber manufactures,3599
c7_3,c7,Wood & cork manufactures,2591
c7_4,c7,Paper & paperboard,6363
c7_5,c7,Textile fabrics,5637
c7_6,c7,Mineral manufactures,6497
c7_7,c7,Iron & steel,6293
c7_8,c7,Non-ferrous metals,12045
c7_9,c7,Miscellaneous metal manufactures,12442
c8,c0,Machinery & transport equipment,182988
c8_1,c8,Mechanical power generators (consumer),23
c8_2,c8,Specialised machinery (consumer),228
c8_3,c8,General industrial machinery (consumer),252
c8_4,c8,Mechanical power generators (intermediate),20883
c8_5,c8,Specialised machinery (intermediate),2784
c8_6,c8,Metal working machinery (intermediate),533
c8_7,c8,General industrial machinery (intermediate),8106
c8_8,c8,Mechanical power generators (capital),1393
c8_9,c8,Specialised machinery (capital),5011
c8_10,c8,Metal working machinery (capital),826
c8_11,c8,General industrial machinery (capital),8909
c8_12,c8,Office machinery (consumer),16
c8_13,c8,Telecoms & sound equipment (consumer),2172
c8_14,c8,Miscellaneous electrical goods (consumer),4429
c8_15,c8,Electric motors (intermediate),309
c8_16,c8,Office machinery (intermediate),2058
c8_17,c8,Telecoms & sound equipment (intermediate),1578
c8_18,c8,Miscellaneous electrical goods (intermediate),15864
c8_19,c8,Electric motors (capital),1491
c8_20,c8,Office machinery (capital),13435
c8_21,c8,Telecoms & sound equipment (capital),19521
c8_22,c8,Miscellaneous electrical goods (capital),5106
c8_23,c8,Cars,33889
c8_24,c8,Road vehicles other than cars (consumer),1112
c8_25,c8,Road vehicles other than cars (intermediate),13608
c8_26,c8,Road vehicles other than cars (capital),8296
c8_27,c8,Railway equipment (intermediate),578
c8_28,c8,Railway equipment (capital),931
c8_29,c8,Aircraft,8305
c8_30,c8,Ships,1342
c9,c0,Miscellaneous manufactures,77400
c9_1,c9,Clothing,20672
c9_2,c9,Footwear,5392
c9_3,c9,Scientific instruments (consumer),21
c9_4,c9,Photographic & optical goods & clocks (consumer),2307
c9_5,c9,Scientific instruments (intermediate),1357
c9_6,c9,Photographic & optical goods & clocks (intermediate),1249
c9_7,c9,Scientific instruments (capital),8918
c9_8,c9,Photographic & optical goods & clocks (capital),54
c9_9,c9,Works of art,2428
c9_10,c9,Jewellery,3922
c9_11,c9,"Plumbing, heating & lighting fixtures (consumer)",170
c9_12,c9,Furniture (consumer),4899
c9_13,c9,"Travel goods, handbags etc",2524
c9_14,c9,Other manufactures (consumer),13555
c9_15,c9,"Plumbing, heating & lighting fixtures (intermediate)",2076
c9_16,c9,Furniture (intermediate),1333
c9_17,c9,Other manufactures (intermediate),4152
c9_18,c9,"Plumbing, heating & lighting fixtures (capital)",608
c9_19,c9,Furniture (capital),1175
c9_20,c9,Other manufactures (capital),588
c10,c0,Unspecified goods,17020
