"id","name","trade_val1","trade_val2","trade_val3","trade_val4","trade_val5","eu_row_split","rank1","rank2","rank3","rank4","rank5"
"c0","Total",64909,46946,46455,42357,"30664",0.529,"Germany","China","United States","Netherlands","France"
"c1","Food & live animals",4803,4456,4126,2984,"2956",0.704,"Netherlands","Ireland","Germany","France","Spain"
"c1_1","Live animals",358,62,26,21,"18",0.906,"Ireland","France","United States","Netherlands","Germany"
"c1_10","Miscellaneous foods",499,413,409,350,"258",0.803,"Netherlands","Ireland","Germany","Italy","France"
"c1_2","Meat & meat preparations",1543,1034,718,662,"516",0.824,"Ireland","Netherlands","Germany","Poland","Thailand"
"c1_3","Dairy products & eggs",818,546,415,372,"252",0.987,"Ireland","France","Germany","Netherlands","Italy"
"c1_4","Fish & shellfish",322,286,243,241,"231",0.345,"Iceland","China","Faroe Islands","Germany","Sweden"
"c1_5","Cereals",578,568,408,347,"322",0.774,"Germany","France","Ireland","Italy","Netherlands"
"c1_6","Animal feeding stuffs",383,352,327,189,"179",0.559,"Argentina","Netherlands","Ireland","France","Germany"
"c1_7","Vegetables & fruit",2034,1611,844,799,"603",0.635,"Spain","Netherlands","Belgium","Germany","Italy"
"c1_8","Sugar",187,134,117,117,"55",0.671,"France","Belgium","Netherlands","Germany","China"
"c1_9","Coffee, tea, cocoa etc",651,430,358,259,"255",0.692,"Germany","France","Netherlands","Belgium","Poland"
"c10","Unspecified goods",4224,4038,2451,1931,"1090",0.036,"United States","Canada","Switzerland","Australia","South Africa"
"c2","Beverages & tobacco",2855,919,871,458,"381",0.804,"France","Italy","Belgium","Germany","Netherlands"
"c2_1","Beverages",2278,917,351,345,"343",0.763,"France","Italy","Germany","Ireland","United States"
"c2_2","Tobacco",594,576,204,107,"97",0.969,"Belgium","France","Poland","Germany","Netherlands"
"c3","Crude materials",1550,1237,938,893,"687",0.509,"United States","Netherlands","Germany","Sweden","Canada"
"c3_1","Wood & cork",925,544,383,270,"189",0.541,"United States","Sweden","Latvia","Canada","Finland"
"c3_2","Pulp & waste paper",138,127,38,35,"26",0.51,"Sweden","Brazil","Philippines","Finland","Chile"
"c3_3","Textile fibres",59,51,36,29,"26",0.228,"China","Japan","Ireland","South Korea","United States"
"c3_4","Metal ores & scrap",572,396,334,319,"208",0.403,"Germany","Canada","United States","Japan","Sweden"
"c3_5","Hides, skins & furskins",10,0,0,0,"0",1,"Ireland","Netherlands","France","Germany","Italy"
"c3_6","Oil-seeds & oleaginous fruits",109,91,52,40,"39",0.322,"Brazil","United States","Netherlands","France","China"
"c3_7","Crude rubber",40,35,25,25,"19",0.549,"Germany","United States","Belgium","Netherlands","France"
"c3_8","Crude minerals & fertilisers",149,78,62,61,"57",0.492,"India","Spain","Germany","Netherlands","Norway"
"c3_9","Other crude animal & vegetable materials",945,114,82,76,"58",0.774,"Netherlands","Germany","Belgium","United States","Kenya"
"c4","Animal & vegetable oils & fats",346,173,98,86,"72",0.635,"Netherlands","Spain","France","Malaysia","Ukraine"
"c4_1","Animal oils & fats",19,18,10,9,"5",0.51,"Ireland","Norway","Netherlands","China","Germany"
"c4_2","Vegetable oils & fats",270,142,92,72,"61",0.693,"Netherlands","Spain","France","Ukraine","Papua New Guinea"
"c4_3","Processed oils & fats",67,47,32,30,"15",0.48,"Netherlands","Malaysia","United States","Spain","Belgium"
"c5","Fuels",13542,6454,5974,3767,"2612",0.194,"Norway","Russia","United States","Netherlands","Saudi Arabia"
"c5_1","Crude oil",8834,4375,1800,1554,"1227",0.003,"Norway","United States","Algeria","Russia","Nigeria"
"c5_2","Refined oil",4469,3174,2358,1461,"1387",0.367,"Russia","Netherlands","Saudi Arabia","Belgium","India"
"c5_3","Coal, coke & briquettes",173,165,162,116,"110",0.158,"Russia","Australia","United States","Japan","Colombia"
"c5_4","Gas",4070,1137,375,310,"257",0.071,"Norway","Qatar","United States","Netherlands","Russia"
"c5_5","Electricity",507,249,197,62,"NaN",1,"France","Netherlands","Belgium","Ireland",NA
"c6","Chemicals",10126,8832,5856,4902,"4866",0.756,"Netherlands","Germany","Belgium","United States","France"
"c6_1","Organic chemicals",1985,998,703,699,"620",0.672,"Netherlands","Germany","United States","China","Belgium"
"c6_2","Inorganic chemicals",333,200,196,193,"147",0.552,"Germany","Spain","France","Netherlands","Canada"
"c6_3","Dyeing, tanning & colouring materials",488,224,136,117,"108",0.765,"Germany","Netherlands","Belgium","France","United States"
"c6_4","Medicinal & pharmaceutical products",4992,3025,2722,2206,"1879",0.809,"Netherlands","Germany","Belgium","Ireland","Spain"
"c6_5","Toilet & cleansing preparations",1312,982,741,499,"427",0.724,"France","Germany","United States","Ireland","China"
"c6_6","Plastics in primary forms",1151,1049,954,477,"376",0.79,"Germany","Belgium","Netherlands","France","United States"
"c6_7","Plastics in non-primary forms",813,371,275,232,"225",0.7,"Germany","United States","Italy","Belgium","France"
"c6_8","Processed fertilisers",166,90,87,84,"67",0.695,"Netherlands","Belgium","Germany","Russia","Spain"
"c6_9","Other chemicals",1088,956,719,658,"583",0.772,"Netherlands","Germany","France","United States","Belgium"
"c7","Material manufactures",7582,6684,3366,3090,"2723",0.549,"Germany","China","United States","Belgium","Italy"
"c7_1","Leather manufactures",70,61,24,17,"14",0.5,"Italy","China","Germany","India","United States"
"c7_2","Rubber manufactures",636,615,206,194,"157",0.566,"Germany","China","France","United States","Italy"
"c7_3","Wood & cork manufactures",587,279,244,153,"115",0.561,"China","Poland","Germany","Ireland","Indonesia"
"c7_4","Paper & paperboard",1010,642,563,555,"407",0.731,"Germany","Sweden","China","Finland","France"
"c7_5","Textile fabrics",1170,480,453,443,"443",0.42,"China","Turkey","Pakistan","Germany","Belgium"
"c7_6","Mineral manufactures",852,723,528,457,"439",0.524,"China","Germany","United States","Belgium","Spain"
"c7_7","Iron & steel",742,583,488,483,"443",0.676,"Germany","Belgium","Spain","Netherlands","Italy"
"c7_8","Non-ferrous metals",2132,1684,902,871,"830",0.439,"Germany","South Africa","Russia","Switzerland","United States"
"c7_9","Miscellaneous metal manufactures",2359,1677,1627,1066,"664",0.563,"China","Denmark","Germany","United States","Italy"
"c8","Machinery & transport equipment",35417,21297,18852,14353,"10212",0.576,"Germany","China","United States","Netherlands","France"
"c8_1","Mechanical power generators (consumer)",8,7,3,2,"1",0.522,"Belgium","Japan","France","China","Canada"
"c8_10","Metal working machinery (capital)",213,81,76,56,"53",0.564,"Germany","Japan","China","United States","Italy"
"c8_11","General industrial machinery (capital)",1856,1317,787,755,"663",0.624,"Germany","United States","China","Italy","France"
"c8_12","Office machinery (consumer)",11,3,1,1,"0",0,"China","Thailand","Hong Kong","Taiwan","Philippines"
"c8_13","Telecoms & sound equipment (consumer)",413,393,375,347,"224",0.569,"Poland","China","Slovakia","Turkey","Hungary"
"c8_14","Miscellaneous electrical goods (consumer)",1601,549,543,421,"247",0.403,"China","Germany","Turkey","Poland","Italy"
"c8_15","Electric motors (intermediate)",74,42,37,22,"18",0.602,"Germany","China","United States","Romania","Sweden"
"c8_16","Office machinery (intermediate)",693,494,188,136,"77",0.743,"Netherlands","Germany","China","United States","Ireland"
"c8_17","Telecoms & sound equipment (intermediate)",218,202,192,163,"121",0.493,"China","United States","Netherlands","Portugal","Germany"
"c8_18","Miscellaneous electrical goods (intermediate)",2494,1986,1625,1315,"795",0.514,"Germany","United States","China","Netherlands","France"
"c8_19","Electric motors (capital)",250,204,199,126,"84",0.534,"United States","Denmark","Germany","China","France"
"c8_2","Specialised machinery (consumer)",61,31,19,15,"14",0.395,"China","United States","Netherlands","France","Slovakia"
"c8_20","Office machinery (capital)",4642,2444,1040,850,"790",0.449,"China","Netherlands","Germany","United States","Czech Republic"
"c8_21","Telecoms & sound equipment (capital)",6776,3356,1695,1325,"1125",0.336,"China","Netherlands","Vietnam","Hong Kong","United States"
"c8_22","Miscellaneous electrical goods (capital)",1020,754,644,458,"259",0.483,"China","Germany","United States","Netherlands","Hong Kong"
"c8_23","Cars",13651,5723,2893,1487,"1291",0.87,"Germany","Belgium","Spain","Japan","France"
"c8_24","Road vehicles other than cars (consumer)",161,132,108,102,"70",0.42,"Thailand","China","Taiwan","Netherlands","France"
"c8_25","Road vehicles other than cars (intermediate)",4110,1503,792,777,"624",0.794,"Germany","France","Italy","Poland","Spain"
"c8_26","Road vehicles other than cars (capital)",1602,1369,1112,859,"715",0.818,"Netherlands","Germany","Spain","France","Turkey"
"c8_27","Railway equipment (intermediate)",187,81,64,46,"44",0.727,"Germany","Japan","Spain","China","Sweden"
"c8_28","Railway equipment (capital)",511,275,87,30,"11",0.7,"Spain","Japan","Germany","Cyprus","Romania"
"c8_29","Aircraft",2273,2156,1181,248,"247",0.519,"France","United States","Germany","South Korea","India"
"c8_3","General industrial machinery (consumer)",129,38,23,16,"7",0.395,"China","Germany","Italy","Poland","Spain"
"c8_30","Ships",427,274,207,187,"119",0.448,"Germany","Singapore","Norway","United States","Denmark"
"c8_4","Mechanical power generators (intermediate)",6677,2027,1116,1056,"977",0.268,"United States","Germany","Japan","United Arab Emirates","Singapore"
"c8_5","Specialised machinery (intermediate)",470,301,280,264,"189",0.591,"Germany","China","United States","Italy","France"
"c8_6","Metal working machinery (intermediate)",174,66,61,44,"30",0.57,"Germany","United States","Japan","China","Belgium"
"c8_7","General industrial machinery (intermediate)",1628,1279,902,750,"410",0.551,"Germany","United States","China","Italy","France"
"c8_8","Mechanical power generators (capital)",334,304,162,144,"84",0.578,"Denmark","United States","Italy","Germany","China"
"c8_9","Specialised machinery (capital)",1314,444,414,385,"344",0.67,"Germany","Japan","United States","Italy","Netherlands"
"c9","Miscellaneous manufactures",15306,6922,6268,5755,"4961",0.436,"China","Germany","United States","France","Netherlands"
"c9_1","Clothing",3701,2839,1497,1349,"1150",0.338,"China","Bangladesh","Italy","Turkey","Netherlands"
"c9_10","Jewellery",2135,289,219,207,"192",0.725,"France","Germany","India","United States","Italy"
"c9_11","Plumbing, heating & lighting fixtures (consumer)",129,8,5,4,"3",0.135,"China","Germany","Hong Kong","India","Poland"
"c9_12","Furniture (consumer)",1667,584,465,305,"301",0.41,"China","Italy","Poland","Vietnam","Germany"
"c9_13","Travel goods, handbags etc",742,500,340,172,"133",0.517,"China","France","Italy","Netherlands","India"
