"id","name","trade_val1","trade_val2","trade_val3","trade_val4","trade_val5","eu_row_split","rank1","rank2","rank3","rank4","rank5"
"c9_14","Other manufactures (consumer)",4161,1387,1164,1087,"650",0.412,"China","United States","Germany","Netherlands","Hong Kong"
"c9_15","Plumbing, heating & lighting fixtures (intermediate)",824,218,142,75,"68",0.466,"China","Germany","Italy","Netherlands","Slovakia"
"c9_16","Furniture (intermediate)",200,199,184,126,"69",0.639,"United States","Germany","Poland","China","France"
"c9_17","Other manufactures (intermediate)",878,799,305,260,"233",0.572,"Germany","China","Netherlands","France","United States"
"c9_18","Plumbing, heating & lighting fixtures (capital)",169,101,66,61,"44",0.598,"Turkey","Germany","China","Italy","Ireland"
"c9_19","Furniture (capital)",641,106,50,42,"38",0.317,"China","Germany","Italy","France","United States"
"c9_2","Footwear",1174,624,592,496,"461",0.543,"China","Netherlands","Italy","Belgium","Germany"
"c9_20","Other manufactures (capital)",158,79,57,38,"24",0.414,"China","United States","France","Germany","Hong Kong"
"c9_3","Scientific instruments (consumer)",6,5,3,2,"1",0.571,"China","Germany","Netherlands","Lithuania","United States"
"c9_4","Photographic & optical goods & clocks (consumer)",732,383,176,174,"151",0.468,"Switzerland","France","Italy","Germany","Ireland"
"c9_5","Scientific instruments (intermediate)",243,218,87,83,"69",0.408,"United States","Germany","Netherlands","China","Japan"
"c9_6","Photographic & optical goods & clocks (intermediate)",232,149,142,117,"107",0.434,"Japan","Netherlands","Germany","Hong Kong","United States"
"c9_7","Scientific instruments (capital)",1681,1467,1058,670,"481",0.501,"United States","Germany","Netherlands","China","Belgium"
"c9_8","Photographic & optical goods & clocks (capital)",14,11,6,4,"3",0.547,"France","China","United States","Netherlands","Germany"
"c9_9","Works of art",1342,492,105,80,"61",0.079,"United States","Switzerland","Hong Kong","France","Japan"
