AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17
Hartlepool,E06000001,1220.8,1317.6,1258.9,1245.7,1300.8,1219.5,1211.8,1100.5,1058.6,988.7,1005.2,945.2,944.9,947.5,1012.7,932.1,973.2
Middlesbrough,E06000002,1209.3,1300.3,1196.1,1247.3,1135.0,1089.3,1177.4,1173.4,1137.8,1072.9,1051.4,1144.7,1056.2,1124.1,1155.6,1123.6,1104.9
Redcar and Cleveland,E06000003,1149.3,1183.7,1113.2,991.2,1065.2,1078.9,982.2,1057.1,935.8,904.9,963.6,921.6,931.3,888.8,963.1,933.6,930.2
Stockton-on-Tees,E06000004,1210.2,1137.9,1130.4,1119.9,1107.9,1093.6,1059.8,1058.6,989.8,880.2,952.5,882.1,905.7,926.2,983.4,981.3,957.3
Darlington,E06000005,1180.8,1105.8,1128.6,1134.9,1069.0,1054.1,1046.9,1040.9,989.4,901.0,843.4,929.9,949.4,877.8,1001.7,877.0,897.7
Halton,E06000006,1277.6,1337.4,1322.4,1252.0,1210.7,1240.0,1190.4,1237.0,1077.5,1017.4,1012.7,1111.3,1122.8,1028.1,1122.2,1071.6,943.8
Warrington,E06000007,1163.1,1079.4,1214.2,991.7,1003.4,1120.1,1086.9,1057.4,953.2,966.6,918.5,940.9,1016.2,944.8,950.5,946.3,881
Blackburn with Darwen,E06000008,1248.3,1261.8,1322.0,1177.7,1165.4,1108.4,1210.0,1120.5,1122.8,1062.6,985.1,1046.6,986.9,1016.1,1093.7,1106.5,1090.1
Blackpool,E06000009,1205.2,1230.3,1273.1,1172.8,1145.6,1172.9,1134.2,1162.6,1013.9,1075.3,1042.4,1057.1,1036.3,1061.1,1144.7,1064.0,1136.9
"Kingston upon Hull, City of",E06000010,1097.0,1191.5,1236.0,1164.4,1164.6,1175.0,1187.0,1066.7,1074.0,1062.6,1028.4,1063.3,1060.9,1087.0,1149.4,1077.1,1159.3
East Riding of Yorkshire,E06000011,996.8,982.8,1047.0,1009.6,960.5,904.0,966.0,899.2,870.9,873.9,854.4,892.0,876.9,804.9,863.6,825.6,818.3
North East Lincolnshire,E06000012,1003.8,1051.0,1079.4,1016.8,977.1,1026.8,1027.0,1015.3,973.1,908.2,922.1,972.3,933.3,850.6,899.1,892.2,949.1
North Lincolnshire,E06000013,1078.8,996.3,1054.3,1018.1,978.9,1008.9,1021.8,989.2,975.6,841.0,916.1,833.9,889.6,864.3,897.9,865.8,886.6
York,E06000014,966.1,978.2,960.2,915.4,825.7,862.6,866.1,897.3,828.6,877.9,812.3,811.6,806.0,826.7,804.8,803.8,793.9
Derby,E06000015,1052.0,1104.9,1079.1,980.4,944.5,977.3,969.7,1007.6,933.7,881.2,814.7,868.1,915.5,808.3,857.6,872.1,839.7
Leicester,E06000016,1157.3,1143.4,1185.7,1168.9,1132.7,1108.5,1041.7,1089.4,1015.1,986.5,917.8,914.6,963.1,926.0,972.4,942.4,918
Rutland,E06000017,829.6,808.6,839.8,830.9,766.3,707.1,682.4,850.2,781.0,793.2,744.8,714.0,587.0,650.9,760.5,582.5,681.8
Nottingham,E06000018,1197.8,1130.2,1142.0,1109.8,1062.4,1004.0,1038.2,1095.3,974.0,953.1,929.8,965.1,899.7,939.8,992.2,983.4,972.5
"Herefordshire, County of",E06000019,929.3,929.5,890.0,929.7,941.6,785.6,908.1,901.4,828.7,784.3,800.4,768.8,772.0,768.7,822.3,812.5,770.5
Telford and Wrekin,E06000020,1128.8,1152.7,1095.8,1103.3,1000.3,1023.5,924.7,951.2,939.5,952.0,913.5,988.1,948.0,832.9,1000.7,915.5,983.5
Stoke-on-Trent,E06000021,1174.6,1218.2,1223.6,1140.6,1090.0,1098.1,1117.3,1197.4,1080.9,1039.8,996.7,1024.6,1009.4,936.2,1026.0,984.8,1086
Bath and North East Somerset,E06000022,834.6,914.7,893.5,918.4,903.1,818.4,830.0,848.1,805.8,826.5,736.7,763.5,791.0,707.8,799.0,750.4,730.2
"Bristol, City of",E06000023,1043.9,1049.6,1077.9,1002.1,991.0,960.0,957.4,931.7,914.1,889.4,862.5,825.0,908.1,833.7,822.1,876.0,864.7
North Somerset,E06000024,989.7,978.2,949.3,876.1,914.0,873.2,854.9,874.1,780.3,816.1,836.5,777.0,833.0,737.6,864.9,815.7,784
South Gloucestershire,E06000025,932.2,939.0,1017.3,833.5,839.8,805.8,864.3,848.3,778.8,787.1,761.6,758.1,753.2,695.2,758.7,726.1,750.7
Plymouth,E06000026,1021.3,1071.7,1092.6,998.6,961.6,927.5,955.4,940.2,930.4,944.3,848.3,941.5,890.0,831.0,875.1,928.8,967.3
Torbay,E06000027,1017.9,937.9,1041.9,888.0,891.6,820.6,963.5,880.5,883.4,892.5,889.5,855.0,837.0,825.4,874.0,906.7,851.3
Bournemouth,E06000028,988.9,948.8,971.4,908.6,924.7,886.3,870.6,928.3,843.3,852.9,820.7,883.2,851.3,794.7,916.1,844.9,861.4
Poole,E06000029,860.1,969.1,941.8,883.4,835.4,832.0,808.7,881.0,788.2,797.7,771.5,799.7,787.5,775.3,889.2,828.6,825.2
Swindon,E06000030,1067.1,1154.0,1100.6,1017.4,1040.9,999.4,991.0,898.2,868.1,878.4,915.7,878.3,858.8,842.5,889.4,820.8,886.3
Peterborough,E06000031,1146.6,1124.8,1148.1,940.6,1104.8,1023.7,1004.3,986.5,899.5,917.8,830.1,916.9,865.0,890.3,880.0,892.6,854.4
Luton,E06000032,1225.3,1190.8,1131.6,1129.6,1091.3,1063.7,1070.3,1046.4,973.9,903.0,892.9,938.8,855.4,907.7,894.0,881.2,895.4
Southend-on-Sea,E06000033,1145.5,1070.0,1051.3,1037.6,1004.6,984.9,927.4,983.0,906.2,947.7,868.2,836.3,893.1,813.3,870.4,885.5,956.6
Thurrock,E06000034,1031.2,1085.8,1089.6,1029.4,982.5,983.8,996.3,965.7,914.5,966.5,904.7,909.0,893.0,894.9,899.0,963.1,952.9
Medway,E06000035,1120.0,1122.1,1132.3,1053.0,1050.1,1078.2,968.2,1000.8,938.7,961.2,904.3,928.8,886.6,956.3,959.2,834.3,913.2
Bracknell Forest,E06000036,1036.0,1000.7,1056.0,924.2,920.4,882.5,799.8,834.2,804.5,737.9,843.1,812.2,687.9,673.9,766.5,751.0,704.9
West Berkshire,E06000037,970.8,952.9,964.2,893.4,853.7,869.5,856.0,819.7,798.2,754.4,734.9,740.8,824.4,718.7,747.2,756.0,749.4
Reading,E06000038,981.5,987.5,973.8,956.0,967.7,927.5,909.0,931.8,855.8,857.1,847.7,898.8,866.6,826.2,825.3,836.7,896.9
Slough,E06000039,1113.9,1070.5,1054.0,1093.1,993.6,860.4,888.9,927.3,911.9,849.7,851.9,854.5,902.5,795.7,864.8,885.9,844.5
Windsor and Maidenhead,E06000040,1022.7,980.9,964.7,932.1,896.5,895.7,867.9,860.0,832.8,762.1,754.0,756.2,727.4,700.5,732.8,748.6,693.6
Wokingham,E06000041,906.3,980.3,888.6,863.8,840.1,868.9,808.6,796.0,752.3,780.6,750.5,764.8,745.2,731.4,693.5,703.9,616.8
Milton Keynes,E06000042,1124.5,1060.2,1179.9,1087.9,1069.1,970.8,961.4,975.6,905.6,933.3,870.8,923.7,871.8,861.1,877.3,864.4,803.9
Brighton and Hove,E06000043,990.4,963.6,1061.4,914.1,962.3,912.7,934.9,840.0,897.3,827.7,853.7,834.6,824.1,762.8,838.7,863.9,856.1
Portsmouth,E06000044,1098.1,1049.9,1125.6,1030.8,959.1,952.2,925.6,933.3,876.7,835.9,916.1,898.6,934.4,902.1,891.5,890.9,924.1
