AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17
Hartlepool,E06000001,1918.0,1719.4,1809.4,1810.6,1746.4,1550.1,1594.4,1547.7,1534.3,1406.7,1332.1,1280.0,1294.0,1360.7,1518.3,1352.3,1377.1
Middlesbrough,E06000002,1674.0,1602.6,1673.4,1670.3,1664.5,1617.0,1547.1,1472.3,1505.0,1500.7,1447.2,1399.4,1398.4,1548.9,1495.7,1507.4,1590.8
Redcar and Cleveland,E06000003,1565.5,1642.5,1628.3,1594.8,1412.0,1420.9,1402.9,1463.9,1240.2,1165.6,1204.2,1200.5,1243.1,1176.4,1281.6,1250.7,1253.1
Stockton-on-Tees,E06000004,1694.4,1520.1,1619.0,1479.4,1478.1,1444.0,1472.1,1420.1,1370.3,1295.4,1213.3,1218.7,1201.9,1212.6,1259.6,1282.2,1183.1
Darlington,E06000005,1807.2,1659.4,1604.7,1630.7,1414.2,1527.1,1322.7,1349.6,1388.9,1229.1,1230.5,1222.8,1178.8,1286.7,1290.1,1156.5,1180.2
Halton,E06000006,1865.2,1736.4,1672.6,1640.9,1570.1,1659.5,1531.2,1659.5,1487.5,1407.4,1432.6,1342.8,1364.4,1345.8,1279.9,1314.0,1323.5
Warrington,E06000007,1648.2,1640.9,1564.3,1563.2,1474.5,1534.6,1550.0,1411.8,1213.6,1358.3,1251.4,1255.1,1311.3,1244.6,1278.2,1148.7,1220.5
Blackburn with Darwen,E06000008,1619.8,1908.5,1628.5,1650.8,1654.1,1566.2,1666.8,1525.2,1566.7,1417.7,1353.5,1337.5,1402.2,1382.2,1336.6,1498.3,1349
Blackpool,E06000009,1895.0,1772.2,1791.7,1711.4,1719.5,1631.9,1608.4,1641.1,1628.6,1659.2,1538.8,1513.6,1546.5,1458.4,1685.1,1567.3,1450.5
"Kingston upon Hull, City of",E06000010,1783.0,1685.0,1775.4,1608.8,1610.4,1617.6,1564.3,1552.8,1537.0,1343.4,1454.1,1396.9,1420.3,1447.4,1446.9,1467.5,1565.9
East Riding of Yorkshire,E06000011,1426.0,1450.8,1452.0,1334.1,1321.3,1263.6,1143.7,1278.1,1200.0,1185.8,1149.5,1128.2,1111.6,1095.1,1175.6,1109.3,1131.5
North East Lincolnshire,E06000012,1614.9,1690.1,1618.2,1565.0,1475.5,1403.5,1518.7,1496.8,1348.6,1354.4,1170.6,1310.3,1339.2,1196.2,1253.2,1354.6,1276.4
North Lincolnshire,E06000013,1569.1,1561.9,1618.8,1396.6,1432.6,1386.3,1266.2,1368.3,1342.1,1183.4,1228.8,1335.9,1314.5,1167.1,1249.4,1229.0,1182.6
York,E06000014,1527.2,1410.6,1496.0,1354.6,1357.5,1268.8,1126.8,1166.8,1165.6,1114.9,1229.4,1182.1,1145.9,1036.7,1091.1,1057.6,1055.3
Derby,E06000015,1514.3,1576.7,1477.6,1362.9,1416.3,1389.8,1358.5,1391.1,1266.9,1262.2,1126.9,1210.7,1255.1,1244.1,1262.8,1199.2,1217.7
Leicester,E06000016,1719.6,1635.0,1737.9,1520.5,1580.0,1520.1,1451.2,1514.1,1422.1,1433.0,1309.6,1293.7,1425.6,1349.8,1449.6,1320.4,1403.9
Rutland,E06000017,1186.5,1186.1,1338.8,966.6,1103.1,944.8,1234.1,1048.8,990.4,913.5,1020.8,1038.0,940.0,896.8,957.4,879.8,909.5
Nottingham,E06000018,1793.5,1691.6,1786.9,1573.7,1607.5,1540.4,1616.3,1479.4,1482.1,1428.3,1383.3,1341.2,1405.5,1320.0,1465.5,1331.5,1326.2
"Herefordshire, County of",E06000019,1362.8,1386.3,1413.2,1249.4,1368.1,1308.7,1225.6,1230.8,1174.2,1154.9,1138.2,1124.9,1016.9,1009.3,1118.2,1084.5,1085.4
Telford and Wrekin,E06000020,1586.7,1503.3,1448.9,1450.8,1472.0,1339.3,1448.1,1304.2,1421.0,1331.7,1269.8,1244.3,1270.8,1179.9,1285.0,1233.3,1222.9
Stoke-on-Trent,E06000021,1690.4,1801.6,1862.1,1710.0,1585.0,1543.3,1720.2,1594.6,1504.0,1397.4,1307.3,1462.9,1443.2,1408.5,1456.5,1448.0,1351.2
Bath and North East Somerset,E06000022,1330.8,1331.3,1230.6,1213.3,1212.7,1130.2,1158.5,1128.3,1111.3,1135.9,1087.3,971.5,1060.0,988.5,1024.6,1111.7,1020.1
"Bristol, City of",E06000023,1565.5,1539.6,1631.9,1409.6,1413.9,1396.3,1371.5,1463.0,1329.5,1285.8,1239.0,1216.8,1320.6,1152.9,1216.6,1188.2,1164.7
North Somerset,E06000024,1392.2,1324.3,1395.7,1264.2,1269.2,1204.9,1179.3,1190.3,1127.3,1167.3,1101.9,1066.1,1047.4,1074.8,1053.5,1107.3,1060.7
South Gloucestershire,E06000025,1235.8,1246.0,1325.8,1182.5,1234.1,1201.0,1185.7,1101.3,1078.8,1053.0,1040.7,989.6,1029.9,952.4,992.9,999.2,1048.4
Plymouth,E06000026,1584.6,1530.3,1578.8,1528.2,1446.2,1376.5,1332.2,1287.7,1364.6,1268.0,1205.4,1267.6,1195.1,1133.3,1197.0,1140.1,1153.8
Torbay,E06000027,1410.4,1437.0,1427.3,1360.1,1388.1,1240.6,1262.3,1252.1,1221.1,1174.5,1087.8,1114.5,1199.7,1196.9,1190.3,1213.9,1163.7
Bournemouth,E06000028,1467.4,1474.3,1471.6,1290.8,1249.7,1214.1,1202.2,1186.9,1213.5,1272.2,1178.1,1159.9,1168.1,1150.4,1122.4,1170.0,1135.5
Poole,E06000029,1262.4,1316.3,1324.5,1266.8,1265.6,1164.6,1131.1,1293.1,1105.4,1069.7,1038.1,1048.8,1112.0,1033.8,1098.5,1022.1,1082
Swindon,E06000030,1615.6,1519.7,1427.5,1365.9,1448.0,1406.7,1286.6,1339.7,1213.1,1211.8,1200.9,1160.6,1213.5,1086.3,1127.0,1134.3,1133.5
Peterborough,E06000031,1566.0,1711.2,1661.9,1421.4,1462.7,1467.8,1405.0,1414.7,1308.4,1273.6,1297.9,1210.6,1186.4,1173.3,1172.3,1241.0,1277.8
Luton,E06000032,1575.9,1610.3,1738.5,1511.2,1478.2,1461.0,1384.5,1422.5,1368.7,1216.1,1164.7,1318.6,1143.2,1180.5,1114.9,1226.2,1220.9
Southend-on-Sea,E06000033,1531.7,1495.0,1571.7,1351.7,1367.9,1391.9,1341.1,1285.7,1296.7,1321.0,1128.0,1074.8,1197.8,1113.6,1280.2,1206.2,1177.2
Thurrock,E06000034,1444.0,1629.0,1677.8,1358.6,1357.8,1317.2,1329.4,1406.1,1326.1,1168.7,1241.7,1238.4,1243.6,1166.8,1252.7,1176.4,1272.9
Medway,E06000035,1633.0,1623.4,1632.4,1481.3,1486.9,1477.5,1415.3,1426.3,1294.0,1310.3,1242.6,1277.7,1216.4,1191.7,1285.2,1224.4,1157.9
Bracknell Forest,E06000036,1449.1,1309.5,1374.1,1258.7,1369.6,1168.3,1201.2,1172.3,1139.7,1111.9,953.4,1074.1,1050.2,965.7,981.5,891.3,941.2
West Berkshire,E06000037,1389.8,1357.1,1445.8,1171.4,1203.3,1180.8,1181.0,1139.2,1092.5,1065.7,1097.3,1052.0,1023.2,976.1,991.7,995.6,940.2
Reading,E06000038,1495.6,1525.6,1479.4,1457.9,1320.8,1253.7,1272.8,1291.6,1297.0,1235.8,1146.6,1288.2,1298.9,1084.8,1174.9,1203.8,1208.9
Slough,E06000039,1667.8,1433.0,1293.9,1444.0,1178.0,1268.6,1343.6,1191.3,1182.0,1194.4,1284.6,1183.1,1243.8,1188.5,1233.2,1272.4,1084.1
Windsor and Maidenhead,E06000040,1472.0,1407.5,1389.0,1421.5,1248.2,1305.1,1147.5,1236.4,1207.2,1037.9,1013.3,1041.9,1069.6,1007.5,963.1,914.8,991.3
Wokingham,E06000041,1447.2,1255.1,1286.7,1165.5,1129.7,1109.7,972.9,1062.0,1018.4,993.6,926.9,1004.5,1028.4,968.0,1044.9,992.3,939
Milton Keynes,E06000042,1515.2,1584.8,1502.7,1526.6,1373.2,1277.6,1300.3,1338.3,1297.4,1272.5,1234.3,1215.6,1159.7,1188.0,1236.0,1155.6,1192.4
Brighton and Hove,E06000043,1580.9,1462.9,1542.8,1364.7,1366.2,1411.7,1345.8,1329.3,1216.8,1207.5,1141.1,1233.1,1140.2,1088.4,1142.6,1105.3,1171.1
Portsmouth,E06000044,1493.9,1560.2,1538.7,1462.4,1352.4,1436.5,1365.0,1311.1,1266.3,1275.5,1326.8,1195.9,1279.7,1291.8,1289.9,1291.4,1252.8
Southampton,E06000045,1405.4,1549.5,1512.4,1400.8,1389.2,1398.3,1251.1,1377.2,1187.3,1172.6,1176.5,1250.8,1353.4,1273.7,1145.5,1273.3,1279.9
Isle of Wight,E06000046,1383.2,1452.3,1360.1,1271.0,1238.3,1239.1,1159.6,1229.3,1183.8,1187.2,1050.8,1131.1,1121.3,1118.4,1121.6,1076.5,1094.1
County Durham,E06000047,1699.1,1671.0,1689.0,1560.5,1545.8,1516.3,1399.8,1478.9,1393.9,1309.4,1255.1,1305.9,1256.0,1229.9,1239.9,1281.5,1208.5
Cheshire East,E06000049,1502.7,1433.1,1431.8,1353.6,1283.1,1280.0,1243.2,1209.2,1166.6,1132.6,1030.2,1090.6,1089.6,1022.6,1039.3,1079.3,1030
Cheshire West and Chester,E06000050,1477.0,1445.8,1409.7,1423.0,1339.9,1287.5,1254.3,1288.3,1167.4,1159.5,1142.6,1191.2,1165.6,1089.3,1102.3,1172.4,1057.6
Shropshire,E06000051,1441.4,1492.7,1429.7,1336.3,1291.8,1220.7,1174.2,1195.3,1197.9,1199.4,1039.3,1120.7,1144.3,1013.5,1095.3,1102.1,1077.5
Cornwall,E06000052,1386.2,1353.8,1366.8,1287.6,1293.0,1210.0,1288.0,1214.1,1227.4,1115.9,1132.8,1121.7,1127.2,1096.0,1130.9,1116.6,1107.3
Isles of Scilly,E06000053,1386.2,1353.8,1366.8,1287.6,1293.0,1210.0,1288.0,1214.1,1227.4,1115.9,1132.8,1121.7,1127.2,1096.0,1130.9,1116.6,1107.3
Wiltshire,E06000054,1373.6,1352.6,1324.4,1257.0,1228.0,1189.6,1203.2,1197.6,1121.9,1095.1,1056.8,1040.2,1039.3,997.3,1068.2,1007.9,1068.3
Bedford,E06000055,1410.3,1455.9,1389.8,1359.3,1286.9,1285.6,1214.9,1206.4,1225.4,1205.3,1093.8,1129.5,1087.4,1019.0,1110.6,1044.0,1088
Central Bedfordshire,E06000056,1469.7,1414.0,1441.3,1351.0,1428.0,1216.2,1205.5,1295.8,1204.7,1098.3,1056.4,1093.9,980.3,942.1,978.4,1019.1,939.3
Northumberland,E06000057,1596.2,1564.4,1559.4,1505.2,1349.1,1269.3,1344.5,1272.3,1148.2,1226.1,1167.2,1173.0,1150.9,1152.7,1135.9,1140.2,1097.3
Aylesbury Vale,E07000004,1345.4,1433.7,1314.0,1295.8,1397.2,1242.0,1110.3,1134.3,1151.6,1153.3,1157.6,1088.5,1056.9,1080.8,1111.4,980.2,1114.6
Chiltern,E07000005,1404.9,1490.9,1177.2,1073.9,1172.8,1215.8,960.3,988.0,1058.4,936.1,872.2,947.1,933.6,884.7,928.7,830.8,909.2
South Bucks,E07000006,1384.5,1340.5,1244.1,1280.7,1153.2,1127.5,943.1,1015.8,1086.6,1039.2,1043.5,1092.5,1013.1,1032.4,987.0,934.6,942.2
