AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17
Hartlepool,E06000001,1487.1,1506.5,1476.4,1473.2,1484.8,1371.6,1371.9,1305.8,1246.4,1171.5,1135.8,1089.5,1093.1,1114.6,1218.8,1112.3,1161.5
Middlesbrough,E06000002,1416.8,1445.9,1401.7,1440,1346.6,1306.9,1329.8,1310,1302.9,1245.6,1229.1,1259,1192.4,1310,1297.1,1286.3,1324.3
Redcar and Cleveland,E06000003,1313.2,1368.4,1323,1223.6,1221.6,1213.1,1163.1,1212.9,1060.3,1034,1070.1,1045.2,1068.1,1015.6,1101.4,1074.6,1063.5
Stockton-on-Tees,E06000004,1412.4,1308.9,1331.4,1279.5,1269.9,1244,1240.2,1222.5,1143.6,1059.6,1063.9,1029.8,1036.5,1057.5,1107.3,1107.8,1059.1
Darlington,E06000005,1409.2,1321.5,1314,1328.7,1222.2,1238.6,1169.4,1178.8,1162.1,1040.2,995.7,1072,1058,1047.4,1131,1001.4,1024.8
Halton,E06000006,1512.5,1519.8,1478.9,1422.9,1362.1,1404.4,1351.9,1408.1,1251.1,1189.2,1161,1227.7,1232.4,1176.4,1195.3,1186.5,1111.9
Warrington,E06000007,1355.1,1315.4,1368.2,1218.5,1207.2,1294.5,1272.5,1207.4,1064,1132.2,1061.4,1085.9,1141.9,1073.8,1098,1036.9,1030.8
Blackburn with Darwen,E06000008,1397.7,1515,1454,1367.8,1356.4,1307.1,1391.9,1289.8,1308.3,1212.4,1152.6,1178,1165.8,1189.5,1200.7,1282.4,1206.2
Blackpool,E06000009,1485.4,1465.6,1484.8,1372.9,1395,1361.7,1337.9,1367.6,1277,1322.4,1262,1259.7,1259.9,1237.6,1379.7,1286.4,1290.7
"Kingston upon Hull, City of",E06000010,1362.1,1400.9,1462.3,1350.9,1360.6,1364.5,1351.8,1281.2,1280.9,1190.6,1214.2,1211.1,1219.8,1249.3,1284.2,1256.8,1345.8
East Riding of Yorkshire,E06000011,1164.8,1163.5,1214.5,1150.6,1109.7,1055.8,1048.6,1055.7,1004.4,1006.2,979.7,997.7,981,926.9,998.1,950.4,955.3
North East Lincolnshire,E06000012,1261.5,1292.8,1301.8,1233.1,1180.9,1183.9,1222.8,1221.3,1128.7,1086.1,1042.8,1118.1,1101.8,1001.8,1059.7,1092.1,1106.6
North Lincolnshire,E06000013,1273.6,1231.4,1293.3,1181.2,1168.3,1157.3,1135.1,1147,1119.2,982.7,1048.1,1041.1,1054.5,987.2,1045.6,1022.6,1018.4
York,E06000014,1178.1,1152.3,1154.7,1083,1040.2,1027.9,980.9,1014.6,968.5,973.5,983.8,962.9,954.3,915.7,928.6,914.4,909.5
