AREACD,AREANM,yr2,yr1
E23000001,Metropolitan Police,168.1686406,0.113719981
E23000002,Cumbria,36.07937462,13.20754717
E23000003,Lancashire,77.35433491,27.78390298
E23000004,Merseyside,99.78216569,32.33923579
E23000005,Greater Manchester,122.2000996,null
E23000006,Cheshire,34.4567167,-11.62227603
E23000007,Northumbria,64.1905808,13.60874848
E23000008,Durham,35.67482242,-8.502024291
E23000009,North Yorkshire,38.20960699,40.625
E23000010,West Yorkshire,112.6196018,1.161440186
E23000011,South Yorkshire,70.99579443,1.944728762
E23000012,Humberside,72.84626113,14.89001692
E23000013,Cleveland,78.73877048,0.902934537
E23000014,West Midlands,122.0641179,20.06745363
E23000015,Staffordshire,58.96914508,-1.331360947
E23000016,West Mercia,45.07877086,30.18018018
E23000017,Warwickshire,53.59019264,25.40983607
E23000018,Derbyshire,61.23611507,12.95971979
E23000019,Nottinghamshire,73.38416219,-1.62601626
E23000020,Lincolnshire,36.51759725,10.84337349
E23000021,Leicestershire,82.5100622,16.83937824
E23000022,Northamptonshire,75.57517389,25.27716186
E23000023,Cambridgeshire,47.15542522,-22.09302326
E23000024,Norfolk,30.09848401,18.26086957
E23000025,Suffolk,30.3190087,45.56962025
E23000026,Bedfordshire,102.7939638,57.07762557
E23000027,Hertfordshire,51.33400878,16.25239006
E23000028,Essex,38.68398079,-4.447439353
E23000029,Thames Valley,61.80428643,4.936530324
E23000030,Hampshire,41.19246651,-1.088270859
E23000031,Surrey,41.26397176,16.9047619
E23000032,Kent,47.71188735,4.756242568
E23000033,Sussex,59.3966428,10.96491228
E23000034,City of London,null,null
E23000035,Devon and Cornwall,24.45528824,-3.146067416
E23000036,Avon and Somerset,53.8708735,13.54679803
E23000037,Gloucestershire,45.9280303,-3.96039604
E23000038,Wiltshire,40.41105402,14.56692913
E23000039,Dorset,31.98239026,8.810572687
W15000001,North Wales,35.93928981,-6.343283582
W15000002,Gwent,26.38700947,18.18181818
W15000003,South Wales,55.52216379,6.637806638
W15000004,Dyfed-Powys,48.83227176,45.40229885
