Area code,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
E06000001,Hartlepool,0.942852072,0.88895803,0.776621475,0.66432676,0.718573466,0.716008856,0.659565346,0.656606004,0.546268983,0.544822551,0.488663018,0.541940798,0.485635967,0.485929637,0.486497005,0.484678766,0.537524592,0.536239034,0.589862937
E06000002,Middlesbrough,0.566439855,0.57106146,0.611290903,0.613935616,0.613643091,0.579001078,0.615095159,0.652717845,0.54635653,0.581112394,0.54203284,0.468549515,0.467925506,0.503629731,0.466585313,0.391944472,0.426624194,0.462485325,0.462485325
E06000003,Redcar and Cleveland,0.754532585,0.794109154,0.757767113,0.757340796,0.759894917,0.762964954,0.766759165,0.76916315,0.699213201,0.738645177,0.628865674,0.703828829,0.592768228,0.629154269,0.628122137,0.590423334,0.588213669,0.621717696,0.658289325
E06000004,Stockton-on-Tees,0.761718219,0.784038066,0.726982913,0.700102861,0.724443252,0.667485449,0.611907182,0.714138352,0.605333249,0.550020429,0.547376762,0.545491384,0.51697487,0.488625317,0.486859907,0.484797763,0.508939523,0.557772561,0.583125859
E06000005,Darlington,0.919361759,0.913946829,0.859358413,0.905952105,0.897424392,0.837364175,0.779483982,0.771500762,0.718700589,0.666488936,0.615623579,0.616096225,0.614796739,0.613919926,0.566048416,0.611321677,0.705238512,0.656869921,0.750708481
E06000006,Halton,0.674769524,0.757652288,0.713218883,0.666888963,0.706003522,0.700886415,0.655522779,0.732260978,0.727943317,0.641015368,0.596554302,0.556522845,0.475910973,0.51382993,0.512945967,0.471305359,0.470237862,0.428242183,0.428242183
E06000007,Warrington,0.70605956,0.861101688,0.781302901,0.781913812,0.803142099,0.770800039,0.763129646,0.731632246,0.67480768,0.645773413,0.616647509,0.588827008,0.584895084,0.604796764,0.601594949,0.574236863,0.524548888,0.524941898,0.524941898
E06000008,Blackburn with Darwen,1.083400143,1.146641058,1.032550257,0.95461681,0.914559077,0.908392146,0.937877756,0.862651999,0.75240942,0.714450961,0.575658452,0.608708591,0.642921435,0.644434797,0.608700357,0.606215732,0.57134407,0.570691947,0.604262062
E06000009,Blackpool,0.632599986,0.738583608,0.73602602,0.733532202,0.765547575,0.695734452,0.835398624,0.804640326,0.771507526,0.665485139,0.703828829,0.739244,0.670889741,0.709733282,0.749133146,0.785809705,0.714949596,0.681956857,0.717849323
E06000010,"Kingston upon Hull, City of",0.920320271,0.942023466,0.837975451,0.829878798,0.803420612,0.821927459,0.781980052,0.720556503,0.741958536,0.702647419,0.663743592,0.661447715,0.544348881,0.602142852,0.657418973,0.538389063,0.498709111,0.575495406,0.556312225
E06000011,East Riding of Yorkshire,1.111626341,1.098442409,1.071864641,1.076535524,1.115293888,1.080383582,1.072945159,1.067784783,0.991741498,0.92925938,0.896397379,0.893120294,0.907543622,0.889568915,0.876005179,0.873287468,0.843043119,0.839188019,0.795020229
E06000012,North East Lincolnshire,0.601452349,0.632899375,0.536707646,0.630747688,0.567018428,0.567429544,0.59903272,0.598583562,0.567147061,0.566212229,0.469527655,0.438080457,0.468858424,0.437448053,0.562601972,0.437970819,0.437976299,0.469275001,0.500560002
