Area code,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
K02000001,United Kingdom,52500,53900,51510,51560,51460,50950,51120,50365,47265,44670,43225,42580,41010,40540,40360,39580,38925,38815,39130
E92000001,England,43665,44950,43280,43285,43215,42705,42880,42355,39755,37505,36225,35695,34475,34085,34075,33450,32915,32835,33185
E12000001,North East,2150,2130,2070,2055,2045,2000,2020,2000,1890,1775,1690,1675,1610,1630,1640,1595,1595,1605,1690
E06000047,County Durham,495,490,480,475,460,445,445,435,405,380,365,355,330,315,320,305,310,325,330
E06000005,Darlington,90,90,85,90,90,85,80,80,75,70,65,65,65,65,60,65,75,70,80
E06000001,Hartlepool,85,80,70,60,65,65,60,60,50,50,45,50,45,45,45,45,50,50,55
E06000002,Middlesbrough,80,80,85,85,85,80,85,90,75,80,75,65,65,70,65,55,60,65,65
E06000057,Northumberland,325,305,300,325,320,320,330,330,320,295,290,280,265,275,280,265,255,245,260
E06000003,Redcar and Cleveland,105,110,105,105,105,105,105,105,95,100,85,95,80,85,85,80,80,85,90
E06000004,Stockton-on-Tees,140,145,135,130,135,125,115,135,115,105,105,105,100,95,95,95,100,110,115
E08000037,Gateshead,170,160,155,150,140,135,145,140,135,135,115,110,115,125,120,125,115,120,120
E08000021,Newcastle upon Tyne,185,185,205,190,195,190,190,190,185,180,175,185,190,200,210,205,195,195,210
E08000022,North Tyneside,150,155,140,150,140,140,135,135,120,110,110,115,110,110,110,105,110,105,110
E08000023,South Tyneside,125,120,110,100,110,115,120,115,115,110,110,95,95,100,100,90,95,100,105
E08000024,Sunderland,195,210,195,200,190,195,205,190,190,160,145,155,150,150,155,160,155,145,155
E12000002,North West,6090,6655,6205,6170,6175,6070,6115,5995,5545,5155,4990,4910,4700,4625,4640,4570,4490,4460,4515
E06000008,Blackburn with Darwen,150,160,145,135,130,130,135,125,110,105,85,90,95,95,90,90,85,85,90
E06000009,Blackpool,90,105,105,105,110,100,120,115,110,95,100,105,95,100,105,110,100,95,100
E06000049,Cheshire East,390,410,410,415,400,390,400,415,375,350,335,330,345,330,325,315,315,315,325
E06000050,Cheshire West and Chester,290,335,325,315,325,305,315,325,295,290,280,285,265,255,250,260,260,265,265
