Area code,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
K02000001,United Kingdom,443000,439000,425000,418000,418000,417000,426000,423000,418000,392000,384000,393000,395000,421000,448000,440000,449000,450000,457000
E92000001,England,373000,370000,361000,356000,357000,354000,362000,361000,357000,336000,328000,336000,339000,362000,386000,379000,387000,388000,395000
E12000001,North East,19000,19000,19000,19000,18000,18000,19000,19000,19000,17000,16000,16000,16000,17000,19000,18000,18000,18000,19000
E06000047,County Durham,3000,3000,3000,3000,2500,2500,3000,2500,2500,2500,2250,2250,2250,2500,2500,2500,2500,3000,2500
E06000005,Darlington,900,800,700,800,800,800,700,800,800,700,700,700,700,700,700,700,900,900,1000
E06000001,Hartlepool,900,900,800,800,800,500,600,600,500,500,450,450,500,500,500,500,500,500,600
E06000002,Middlesbrough,1000,1250,1250,1250,1250,1250,1250,1250,1250,1000,1000,900,700,800,900,800,800,800,800
E06000057,Northumberland,2250,2000,2000,2250,2250,2250,2250,2500,2500,2250,2000,2000,2250,2500,3000,2500,2500,2500,2500
E06000003,Redcar and Cleveland,1000,900,900,900,800,800,900,1000,900,1250,1000,900,900,900,900,900,900,900,900
E06000004,Stockton-on-Tees,1750,1750,1250,1500,1500,1500,1500,1750,1750,1250,1000,1000,1250,1250,1250,1250,1500,1500,1500
E08000037,Gateshead,1500,1500,1250,1250,1250,1250,1250,1250,1250,1250,1000,900,1000,1000,1000,1250,1000,1000,1250
E08000021,Newcastle upon Tyne,2500,2250,3000,3000,2500,2500,2500,2500,3000,2500,2500,3000,3000,3500,4000,3500,3500,3500,4000
E08000022,North Tyneside,1500,1250,1250,1500,1500,1500,1250,1250,1250,1250,1000,1250,1250,1250,1250,1250,1250,1250,1500
E08000023,South Tyneside,1250,1250,1000,1000,1000,1000,1250,1250,1000,1000,1000,1000,900,900,1000,900,900,900,900
E08000024,Sunderland,2000,2000,2000,2000,1750,1750,2000,2000,1750,1500,1250,1500,1500,1500,1750,1750,1750,1750,1500
E12000002,North West,53000,56000,53000,52000,52000,51000,52000,52000,50000,46000,44000,46000,46000,49000,52000,51000,53000,52000,53000
E06000008,Blackburn with Darwen,900,1000,900,800,700,700,800,700,700,600,500,600,500,600,600,600,600,600,700
E06000009,Blackpool,1250,1250,1250,1250,1500,1250,1500,1250,1250,1000,1250,1250,1000,1250,1250,1250,1500,1250,1500
E06000049,Cheshire East,3500,3500,4000,4000,4000,3500,4000,4000,3500,3000,3000,3500,3500,3500,4000,4000,4000,4000,4000
E06000050,Cheshire West and Chester,3000,3500,3500,3500,3000,3000,3500,3500,3500,3500,3000,3500,3500,3500,3500,3500,3500,3500,3500
E06000006,Halton,600,800,800,800,700,700,700,800,800,700,600,700,600,700,800,700,700,700,600
E06000007,Warrington,1750,2000,1750,1750,1750,1750,1500,1750,1500,1500,1500,1500,1500,1750,2000,1750,1750,1750,1750
E07000026,Allerdale,800,700,700,700,900,900,1000,1000,800,800,800,800,800,800,900,900,1000,900,800
E07000027,Barrow-in-Furness,450,500,500,450,450,350,400,400,450,400,400,450,400,450,500,500,500,450,450
E07000028,Carlisle,900,800,800,700,800,700,700,700,700,600,700,600,700,800,800,800,800,700,800
E07000029,Copeland,500,450,400,350,300,400,450,450,450,450,450,450,400,450,500,500,450,450,450
E07000030,Eden,500,500,600,500,600,600,600,700,800,600,700,700,600,600,900,800,900,900,900
E07000031,South Lakeland,1000,1000,1000,1250,1000,1000,1250,1250,1250,1250,1250,1250,1250,1250,1250,1500,1750,1500,1500
E08000001,Bolton,1750,2000,1750,1750,1500,1750,1750,1750,1750,1500,1500,1250,1250,1250,1500,1250,1250,1250,1250
E08000002,Bury,1500,1250,1250,1250,1250,1250,1250,1250,1250,1250,1000,1250,1000,1250,1250,1000,1000,1000,1000
E08000003,Manchester,4000,4500,4000,4000,4000,4000,4000,4000,4000,3500,3500,4000,4000,4000,4500,4500,4500,5000,5000
E08000004,Oldham,1500,1500,1500,1500,1500,1500,1500,1500,1250,1250,1250,1250,1250,1250,1500,1250,1500,1500,1500
E08000005,Rochdale,1500,1500,1500,1250,1500,1500,1250,1500,1250,1250,1000,1250,1000,1000,1250,1000,1000,1000,1000
E08000006,Salford,1250,1500,1250,1250,1250,1250,1250,1250,1000,900,900,900,1000,900,1000,1000,1250,900,900
E08000007,Stockport,2250,2250,2000,2000,2000,2000,2000,2000,1750,1500,1500,1500,1500,1750,1750,1500,1750,1750,2000
E08000008,Tameside,1500,1750,1500,1500,1250,1500,1500,1500,1250,1250,1250,1000,1000,1250,1250,1250,1250,1250,1250
E08000009,Trafford,1750,1750,1250,1250,1500,1250,1250,1250,1250,1250,1000,1250,1250,1250,1250,1250,1500,1250,1250
E08000010,Wigan,2250,2250,2000,2000,2000,2000,2000,2000,1750,1750,1750,1500,1750,1750,2000,2000,1750,2000,2000
E07000117,Burnley,600,600,500,600,600,500,600,500,600,600,500,500,500,500,500,500,500,400,350
E07000118,Chorley,1250,1250,1250,1250,1000,1000,1000,1250,1250,1000,1000,1000,900,1000,1000,1000,1000,900,900
E07000119,Fylde,400,600,600,600,500,600,600,700,600,600,600,600,600,700,700,600,700,700,700
E07000120,Hyndburn,500,500,500,450,450,500,450,400,400,350,300,300,300,350,350,350,400,350,400
E07000121,Lancaster,1000,1000,1000,1000,1250,1250,1250,1250,1250,1250,1000,1250,1000,1750,1500,1250,1250,1250,1250
E07000122,Pendle,450,400,500,450,400,350,500,450,450,400,350,350,300,350,400,350,400,350,450
E07000123,Preston,1250,1250,1250,1000,1250,1250,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
E07000124,Ribble Valley,500,500,600,600,600,600,600,500,500,500,600,600,600,600,700,800,900,900,800
E07000125,Rossendale,300,300,300,250,300,300,350,300,300,250,225,250,225,250,250,250,225,175,200
E07000126,South Ribble,600,600,600,500,600,700,700,1000,600,600,500,600,600,700,700,700,700,600,700
E07000127,West Lancashire,1000,1000,1000,900,900,900,900,1000,900,900,700,600,800,900,900,900,900,1000,900
E07000128,Wyre,800,900,800,800,800,800,900,900,800,700,700,800,800,800,900,800,900,800,1000
E08000011,Knowsley,500,700,600,600,600,500,450,450,350,250,250,350,300,400,400,400,450,350,350
E08000012,Liverpool,4000,4500,4500,4000,4000,4000,4000,4000,3500,3500,3500,3500,3500,3500,4000,3500,4500,4500,5000
E08000014,Sefton,2000,2250,2000,2000,2000,1750,1750,1750,1750,1750,1500,1500,1500,1500,1750,1750,1750,1750,1750
E08000013,St. Helens,900,1500,1250,1250,1250,1250,1250,1250,1250,1000,1000,1000,900,1000,1000,1000,1250,1000,1250
E08000015,Wirral,2000,2250,2000,2000,2250,1750,2250,2250,2250,2000,2000,2000,2250,2250,2000,2250,2000,2000,2000
E12000003,Yorkshire and The Humber,43000,40000,38000,38000,38000,37000,38000,38000,37000,34000,32000,33000,33000,36000,40000,39000,39000,39000,40000
E06000011,East Riding of Yorkshire,3000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,3000,3000,3000,3000,3000,3000
E06000010,"Kingston upon Hull, City of",2500,2250,2000,2000,2000,2000,1750,1750,1750,1500,1500,1250,1250,1500,1500,1250,1250,1500,1250
E06000012,North East Lincolnshire,1250,1000,1000,1250,1000,1000,1000,1000,1000,900,900,900,800,900,1000,900,1000,1000,1000
E06000013,North Lincolnshire,1000,1000,1000,1000,1250,1000,1250,1250,1000,900,900,900,900,1000,1000,1000,1000,1000,1000
E06000014,York,2000,2000,2000,2000,2000,2000,1750,2000,2000,1750,1750,2000,2000,2250,2500,2500,2500,2250,2500
E07000163,Craven,700,500,500,600,800,800,700,700,700,700,700,800,700,800,1000,1000,1000,1000,1000
E07000164,Hambleton,900,800,900,900,800,900,900,900,900,800,800,900,900,1000,1250,1250,1250,1250,1250
E07000165,Harrogate,1500,1500,1500,1500,1500,1250,1250,1250,1250,1500,1500,1500,1500,1750,2000,1750,1750,1750,1750
E07000166,Richmondshire,500,500,500,500,500,500,600,600,600,600,600,600,700,800,900,800,900,900,900
E07000167,Ryedale,600,600,600,600,700,600,600,600,600,600,600,700,600,700,800,800,800,800,800
E07000168,Scarborough,1000,1000,1000,1000,1000,1000,1250,1250,1250,1250,1250,1250,1250,1500,1250,1500,1500,1500,1750
E07000169,Selby,800,600,700,700,700,700,700,700,600,600,500,600,600,500,600,600,600,500,500
E08000016,Barnsley,1750,1500,1250,1250,1500,1500,1500,1500,1250,1000,1000,1000,1000,1250,1250,1250,1250,1250,1500
E08000017,Doncaster,2000,1750,1750,1750,1750,1750,1750,1750,2000,1750,1750,1750,1500,2000,2000,2250,2000,1750,1750
E08000018,Rotherham,2000,2000,1750,1750,1750,1750,1750,2000,1750,1500,1500,1500,1500,1750,1750,1750,1750,1750,1750
E08000019,Sheffield,4500,4500,4000,4000,4000,4000,3500,4000,4000,3000,3000,3000,3000,3000,3500,3500,3500,3500,4000
