year,debt
1948,100344
1949,95674
1950,92530
1951,90639
1952,90422
1953,90913
1954,92315
1955,92539
1956,95313
1957,97977
1958,99481
1959,99251
1960,101292
1961,101169
1962,104334
1963,102691
1964,104355
1965,100660
1966,96536
1967,96221
1968,94786
1969,90290
1970,87335
1971,86728
1972,78550
1973,74392
1974,70093
1975,67943
1976,64895
1977,62342
1978,64295
1979,68366
1980,68892
1981,69054
1982,66196
1983,65078
1984,65106
1985,66676
1986,65812
1987,66241
1988,66212
1989,63480
1990,65973
1991,67024
1992,65789
1993,63337
1994,61656
1995,60051
1996,59296
1997,59440
1998,57319
1999,55147
2000,53076
2001,52527
2002,51270
2003,52432
2004,53957
2005,54386
2006,55690
2007,57781
2008,60041
2009,59046
2010,58791
2011,58590
2012,58027
2013,56014
2014,56725
2015,55098
2016,54488
