id,parentId,name,size,fake_size
c0,NULL,Total,2345103,100
c1,c0,"1  Managers, Directors and Senior Officials",137845,5.9
c1_1,c1,Chief Executives and Senior Officials,753,0.5
c1_2,c1,Production Managers and Directors,8792,6.4
c1_3,c1,Functional Managers and Directors,40207,29.2
c1_4,c1,Financial Institution Managers and Directors,6424,4.7
c1_5,c1,Managers and Directors in Transport and logistics,8585,6.2
c1_6,c1,Senior Officers in Protective Services,1429,1
c1_7,c1,Health and Social Services Managers and Directors,4149,3
c1_8,c1,Managers and Directors in Retail and Wholesale,17443,12.7
c1_9,c1,Managers and Proprietors in Agriculture Related Services,1118,0.8
c1_10,c1,Managers and Proprietors in Hsptlty and Leisure Services,24448,17.7
c1_11,c1,Managers and Proprietors in Health and Care Services,2147,1.6
c1_12,c1,Managers and Proprietors in Other Services,22350,16.2
c2,c0,2  Professional Occupations,818158,34.9
c2_1,c2,Natural and Social Science Professionals,33720,4.1
c2_2,c2,Engineering Professionals,62323,7.6
c2_3,c2,IT and Telecommunications Professionals,124517,15.2
c2_4,c2,Conservation and Environment Professionals,5564,0.7
c2_5,c2,Research and Development Managers ,6518,0.8
c2_6,c2,Health Professionals,76429,9.3
c2_7,c2,Therapy Professionals,23329,2.9
c2_8,c2,Nursing and Midwifery Professionals,76358,9.3
c2_9,c2,Teaching and Educational Professionals,208782,25.5
c2_10,c2,Legal Professionals,27710,3.4
c2_11,c2,"Business, Research and Administrative Professionals",76243,9.3
c2_12,c2,"Architects, Town Planners and Surveyors",30543,3.7
c2_13,c2,Welfare Professionals,20655,2.5
c2_14,c2,Librarians and Related Professionals,5505,0.7
c2_15,c2,Quality and Regulatory Professionals,8448,1
c2_16,c2,Media Professionals,31514,3.9
c3,c0,3  Associate Professional and Technical Occupations,550382,23.5
c3_1,c3,"Science, Engineering and Production Technicians",39956,7.3
c3_2,c3,Draughtspersons and Related Architectural Technicians,9236,1.7
c3_3,c3,Information Technology Technicians,30939,5.6
c3_4,c3,Health Associate Professionals,13798,2.5
c3_5,c3,Welfare and Housing Associate Professionals,25183,4.6
c3_6,c3,Protective Service Occupations,25699,4.7
c3_7,c3,"Artistic, Literary and Media Occupations",56929,10.3
c3_8,c3,Design Occupations,34640,6.3
c3_9,c3,Sports and Fitness Occupations,21796,4
c3_10,c3,Transport Associate Professionals,0,0
c3_11,c3,Legal Associate Professionals,14348,2.6
c3_12,c3,"Business, Finance and Related Associate Professionals",91843,16.7
c3_13,c3,"Sales, Marketing and Related Associate Professionals",132308,24
c3_14,c3,Conservation and Environmental Assct Professionals,0,0
c3_15,c3,Public Services and Other Associate Professionals,52005,9.4
c4,c0,4  Administrative and Secretarial Occupations,237986,10.1
c4_1,c4,Administrative Occupations: Government and Related Organisations,25992,10.9
c4_2,c4,Administrative Occupations: Finance,61041,25.6
c4_3,c4,Administrative Occupations: Records,37840,15.9
c4_4,c4,Other Administrative Occupations,69765,29.3
c4_5,c4,Administrative Occupations: Office Managers and Supervisors,6879,2.9
c4_6,c4,Secretarial and Related Occupations,36469,15.3
c5,c0,5  Skilled Trades Occupations,91324,3.9
c5_1,c5,Agricultural and Related Trades,11563,12.7
c5_2,c5,"Metal Forming, Welding and Related Trades",2545,2.8
c5_3,c5,"Metal Machining, Fitting and Instrument Making Trades",16977,18.6
