date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c
Dec-08,198,28,12,6,134,32,13.7,6.4,63,43,18,9
Jun-09,183,27,12,5,121,21,9.0,4.2,62,34,15,7
Dec-09,167,19,8,4,109,16,6.9,3.2,58,25,11,5
Mar-10,172,19,8,4,115,18,7.7,3.6,58,26,11,5
Jun-10,176,20,9,4,104,16,6.9,3.2,72,26,11,5
Sep-10,182,22,9,4,101,16,6.9,3.2,81,27,12,5
Dec-10,176,21,9,4,99,14,6.0,2.8,77,25,11,5
Mar-11,169,20,9,4,92,13,5.6,2.6,77,24,10,5
Jun-11,175,20,9,4,95,13,5.6,2.6,79,24,10,5
Sep-11,166,18,8,4,91,13,5.6,2.6,75,22,9,4
Dec-11,174,18,8,4,92,14,6.0,2.8,82,23,10,5
Mar-12,166,18,8,4,90,14,6.0,2.8,76,23,10,5
Jun-12,158,16,7,3,86,13,5.6,2.6,72,21,9,4
Sep-12,149,16,7,3,84,13,5.6,2.6,65,21,9,4
Dec-12,158,18,8,4,75,11,4.7,2.2,82,21,9,4
Mar-13,170,18,8,4,75,12,5.1,2.4,95,22,9,4
Jun-13,183,21,9,4,77,12,5.1,2.4,106,24,10,5
Sep-13,208,21,9,4,78,13,5.6,2.6,130,25,11,5
Dec-13,201,20,9,4,78,12,5.1,2.4,123,24,10,5
Mar-14,213,22,9,4,83,14,6.0,2.8,130,26,11,5
Jun-14,223,22,9,4,85,15,6.4,3.0,138,27,12,5
Sep-14,246,24,10,5,87,15,6.4,3.0,158,28,12,6
Dec-14,264,25,11,5,89,15,6.4,3.0,174,29,12,6
Mar-15,270,25,11,5,86,13,5.6,2.6,184,28,12,6
Jun-15,265,24,10,5,85,12,5.1,2.4,180,27,12,5
Sep-15,256,22,9,4,85,12,5.1,2.4,171,26,11,5
Dec-15,269,24,10,5,86,13,5.6,2.6,184,27,12,5
Mar-16,267,24,10,5,89,13,5.6,2.6,178,28,12,6
Jun-16,284,26,11,5,95,14,6.0,2.8,189,30,13,6
Sep-16,267,26,11,5,102,15,6.4,3.0,165,30,13,6
Dec-16,249,24,10,5,116,16,6.9,3.2,133,29,12,6
Mar-17,245,23,10,5,121,16,6.9,3.2,123,28,12,6
Jun-17,226,23,10,5,123,16,6.9,3.2,103,29,12,6
Sep-17,248,27,12,5,142,19,8.1,3.8,106,33,14,7
Dec-17,243,28,12,6,144,20,8.6,4.0,99,34,15,7
Mar-18,229,28,12,6,143,20,8.6,4.0,86,34,15,7
Jun-18,219,27,12,5,145,22,9.4,4.4,74,34,15,7
Sep-18,202,26,11,5,145,25,10.7,5.0,57,36,15,7
Dec-18,201,28,12,6,127,23,9.9,4.6,74,36,15,7
