AREACD,time1,time2,time3,time4,time5,time6,time7
E06000001,142,147,140,142,141,139,139
E06000002,112,124,131,104,98,98,137
E06000003,77,81,103,64,33,47,59
E06000004,85,100,91,113,89,82,89
E06000005,62,55,63,75,87,75,82
E06000006,101,94,123,133,137,142,146
E06000007,125,127,116,114,78,96,83
E06000008,126,116,133,102,83,99,140
E06000009,100,104,115,111,113,113,114
E06000010,143,141,128,126,95,103,106
E06000011,48,78,62,63,82,72,109
E06000012,117,120,119,130,126,121,73
E06000013,115,88,79,73,80,79,79
E06000014,38,24,20,36,50,44,39
E06000015,69,98,92,78,72,126,113
E06000016,134,144,136,144,112,135,129
E06000017,1,3,17,40,16,2,6
E06000018,102,101,111,139,140,147,150
E06000019,14,9,32,39,25,21,16
E06000020,109,122,114,121,139,106,92
E06000021,111,113,93,103,75,73,103
E06000022,4,1,2,4,15,27,22
E06000023,96,93,80,97,47,31,80
E06000024,52,52,15,8,10,20,57
E06000025,17,34,60,54,53,42,30
E06000026,99,110,98,123,102,64,68
E06000027,40,62,64,69,63,74,50
E06000028,68,84,56,100,84,39,38
E06000029,29,26,36,26,36,48,26
E06000030,82,64,52,57,81,110,102
E06000031,98,115,84,76,58,61,110
E06000032,129,131,132,136,118,116,69
E06000033,18,29,42,22,14,28,51
E06000034,73,72,45,68,74,108,35
E06000035,97,95,107,72,91,115,100
E06000036,21,14,14,11,3,1,12
E06000037,25,28,28,24,12,4,14
E06000038,54,53,96,116,49,43,31
E06000039,120,103,129,141,150,137,143
E06000040,11,2,1,13,27,14,11
E06000041,13,15,11,5,13,3,4
E06000042,71,70,70,77,100,63,54
E06000043,66,45,81,59,59,71,27
E06000044,64,82,61,71,107,109,61
E06000045,47,61,83,93,115,107,131
E06000046,57,67,59,47,52,26,36
E06000047,127,92,106,120,145,128,147
E06000049,50,40,37,89,109,17,7
E06000050,75,99,34,6,18,40,99
E06000051,53,47,43,28,61,38,45
E06000052,28,38,86,43,55,57,44
E06000054,23,16,13,23,40,33,13
E06000055,24,58,49,95,88,46,70
E06000056,51,49,72,20,77,45,21
E06000057,107,75,73,94,64,56,67
E08000001,72,66,109,90,69,102,60
E08000002,92,89,75,87,46,60,46
E08000003,144,148,149,149,147,149,138
E08000004,104,117,145,145,136,86,120
E08000005,108,109,110,101,92,59,87
E08000006,139,137,124,135,122,95,141
E08000007,63,19,9,21,41,34,58
E08000008,118,97,99,109,121,130,119
E08000009,79,86,71,44,24,13,33
E08000010,122,130,104,122,133,125,64
E08000011,113,133,130,146,143,140,132
E08000012,131,126,105,119,128,122,135
E08000013,128,125,87,92,101,132,144
E08000014,94,74,77,91,103,100,81
E08000015,90,83,88,108,70,93,98
E08000016,137,138,147,128,120,134,111
E08000017,91,121,113,118,106,87,97
E08000018,121,119,121,129,130,143,127
E08000019,132,107,120,105,114,138,117
E08000021,89,85,90,107,60,91,108
E08000022,86,87,89,62,97,92,76
E08000023,123,129,117,125,131,136,148
E08000024,146,142,144,138,124,131,130
E08000025,136,134,101,117,117,127,142
E08000026,93,106,108,85,105,111,107
E08000027,83,48,95,86,104,114,134
E08000028,145,143,138,148,132,141,145
E08000029,36,36,68,34,30,54,40
E08000030,110,96,118,55,99,129,123
E08000031,140,140,142,140,144,150,149
E08000032,95,71,122,112,108,112,136
E08000033,43,76,74,82,38,50,28
E08000034,114,112,25,50,67,118,124
E08000035,84,80,100,61,76,105,90
E08000036,135,108,134,96,96,101,121
E08000037,138,132,135,124,138,119,133
E09000002,147,136,146,150,125,120,116
E09000003,65,43,46,15,19,16,24
E09000004,56,44,69,60,134,97,128
