AREACD,time1,time2,time3,time4,time5,time6,time7
E06000001,132,142,145,144,149,144,146
E06000002,130,125,120,104,120,130,142
E06000003,108,111,115,113,97,112,97
E06000004,95,104,86,93,86,87,109
E06000005,89,78,82,97,98,72,63
E06000006,114,109,108,116,123,120,140
E06000007,103,97,98,83,66,70,69
E06000008,124,122,129,117,114,115,136
E06000009,146,133,138,128,135,141,139
E06000010,147,150,147,148,148,146,147
E06000011,29,52,33,40,45,47,78
E06000012,78,80,93,114,140,143,116
E06000013,97,75,87,53,61,78,99
E06000014,33,19,20,33,44,39,55
E06000015,98,116,131,124,122,135,114
E06000016,141,144,143,145,116,125,124
E06000017,1,1,2,7,3,3,11
E06000018,122,129,111,130,145,149,150
E06000019,9,7,19,27,15,28,17
E06000020,133,134,144,138,138,110,89
E06000021,129,131,126,123,124,138,132
E06000022,19,12,9,14,27,48,64
E06000023,80,93,81,67,60,80,110
E06000024,70,69,84,43,34,16,39
E06000025,3,28,36,21,48,51,26
E06000026,112,118,125,125,117,139,121
E06000027,65,61,64,76,80,94,90
E06000028,72,85,61,70,42,38,65
E06000029,35,47,35,22,21,19,27
E06000030,61,63,75,86,96,105,100
E06000031,113,119,118,115,84,88,113
E06000032,121,114,124,119,100,100,84
E06000033,45,54,57,47,37,54,81
E06000034,73,72,55,65,70,106,106
E06000035,82,81,103,95,121,119,111
E06000036,18,14,27,12,10,5,8
E06000037,13,10,10,8,8,6,9
E06000038,40,35,47,64,47,55,24
E06000039,106,99,130,143,143,121,123
E06000040,5,3,1,3,7,2,3
E06000041,4,2,3,2,2,1,1
E06000042,49,56,49,51,59,30,44
E06000043,69,42,72,88,99,91,45
E06000044,94,100,73,85,101,103,76
E06000045,60,65,92,84,74,77,105
E06000046,79,70,78,81,78,61,79
E06000047,118,120,114,142,146,128,131
E06000049,31,18,14,31,58,23,5
E06000050,67,83,80,36,32,46,49
E06000051,28,34,32,37,46,15,42
E06000052,58,60,66,41,62,86,56
E06000054,16,11,24,25,29,18,7
E06000055,17,24,26,39,81,56,51
E06000056,55,49,51,44,76,59,16
E06000057,91,77,59,68,64,53,47
E08000001,93,94,101,102,119,129,120
E08000002,88,92,97,111,91,92,73
E08000003,149,149,150,149,147,150,149
E08000004,116,117,132,136,136,108,135
E08000005,134,138,117,140,132,131,119
E08000006,138,132,128,137,127,117,138
E08000007,64,45,23,34,39,36,54
E08000008,145,143,136,129,133,136,141
E08000009,77,91,85,54,54,31,43
E08000010,117,115,94,103,104,96,87
E08000011,139,140,135,134,131,132,134
E08000012,135,124,109,121,142,137,118
E08000013,100,98,95,99,106,124,137
E08000014,81,68,76,74,79,95,96
E08000015,85,82,88,108,93,114,103
E08000016,144,146,148,147,144,118,104
E08000017,127,127,140,122,105,98,102
E08000018,115,108,121,131,139,148,143
E08000019,99,96,116,106,118,142,115
E08000021,107,103,104,118,103,116,117
E08000022,104,113,106,87,87,93,85
E08000023,131,130,134,126,141,140,129
E08000024,143,135,142,132,113,127,122
E08000025,128,126,105,127,128,126,128
E08000026,84,71,77,71,68,81,75
E08000027,74,57,71,77,82,97,108
E08000028,142,136,137,141,125,122,126
E08000029,34,37,40,18,16,37,53
E08000030,101,102,107,112,130,145,144
E08000031,136,141,127,133,126,133,133
E08000032,110,112,122,105,111,102,127
E08000033,62,79,90,91,43,67,60
E08000034,111,121,65,90,85,123,130
E08000035,96,105,99,92,90,79,70
E08000036,102,88,102,101,109,113,148
E08000037,125,110,119,120,129,109,125
E09000002,140,139,146,150,137,111,92
E09000003,22,4,7,10,11,17,14
E09000004,27,30,21,42,63,42,72
E09000005,68,64,74,30,51,27,50
E09000006,6,16,16,45,9,9,19
E09000007,57,90,68,49,55,50,35
E09000008,43,41,69,63,67,82,101
E09000009,119,128,112,96,102,104,91
E09000010,63,74,53,24,38,65,38
E09000011,75,73,56,59,94,134,107
E09000012,123,137,139,135,134,101,68
E09000013,50,50,67,98,107,57,71
E09000014,120,123,123,109,108,74,59
E09000015,36,31,8,11,5,25,52
E09000016,52,21,29,38,56,64,58
E09000017,32,53,60,75,83,62,86
E09000018,71,62,96,100,92,99,112
E09000019,137,107,141,107,95,83,94
E09000020,23,26,11,4,22,22,32
E09000021,53,46,13,9,13,8,20
E09000022,90,101,83,69,75,71,28
E09000023,105,106,52,94,88,66,62
E09000024,44,33,48,48,36,24,46
E09000025,148,147,133,89,110,107,98
E09000026,87,87,89,80,77,76,80
E09000027,2,8,6,1,1,7,30
E09000028,126,95,110,139,115,84,2
E09000029,20,55,44,58,30,34,25
E09000030,150,148,149,146,150,147,145
E09000031,109,145,113,110,112,29,23
E09000032,47,67,45,46,18,85,22
E09000033,59,66,91,66,49,20,13
E10000002,7,9,5,16,6,4,4
E10000003,15,23,41,19,23,44,21
E10000006,66,48,62,79,57,32,40
E10000007,92,86,100,72,71,68,93
E10000008,41,22,17,32,33,40,29
