state,All deaths,Covid deaths
10,0,0
9,8.681408681,6.719367589
8,14.08681409,19.76284585
7,19.41031941,16.99604743
6,23.58722359,26.87747036
5,30.87633088,37.94466403
4,40.21294021,56.12648221
3,58.96805897,107.1146245
2,77.23177723,127.6679842
1,87.71498771,117.7865613
