AREANM,AREACD,value
North East,E12000001,3.79
North West,E12000002,3.78
Yorkshire and  The Humber,E12000003,3.22
East Midlands,E12000004,3.47
West Midlands,E12000005,3.63
East,E12000006,3.47
London,E12000007,4.6
South East,E12000008,3.32
South West,E12000009,2.91
Scotland,S92000003,2.12
Northern Ireland,N92000002,2.47
Wales,W92000004,3.23
