United Kingdom	England	North East	North West	Yorkshire and The Humber	East Midlands	West Midlands	East	London	South East	South West	Wales	Scotland	Northern Ireland	toplevel	secondlevel	name
5.4	5.4	4.8	5.1	4.9	5.3	5.4	5.5	5.8	5.7	5.3	5.1	5.4	6.2	Food	Food and non-alcoholic drinks	Bread, rice and cereals
0.4	0.4	0.3	0.4	0.4	0.4	0.4	0.4	0.5	0.5	0.4	0.4	0.4	0.5	Food	Food and non-alcoholic drinks	Pasta products
3.6	3.6	3.2	3.4	3.1	3.6	3.6	4	3.5	3.9	3.9	3.4	3.6	4.4	Food	Food and non-alcoholic drinks	Buns, cakes, biscuits etc
0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.9	0.7	0.9	0.9	0.7	0.9	0.8	Food	Food and non-alcoholic drinks	Pastry (savoury)
2	1.9	1.9	1.8	1.8	1.9	1.9	2.1	1.7	2.1	1.8	1.8	2.1	3.5	Food	Food and non-alcoholic drinks	Beef (fresh, chilled or frozen)
0.7	0.7	0.5	0.5	0.7	0.8	0.7	0.8	0.6	0.7	0.8	0.7	0.5	0.7	Food	Food and non-alcoholic drinks	Pork (fresh, chilled or frozen)
0.7	0.7	0.4	0.6	0.4	0.6	0.7	0.7	1.1	0.8	0.7	0.6	0.3	0.5	Food	Food and non-alcoholic drinks	Lamb (fresh, chilled or frozen)
2.3	2.4	1.9	2.3	2.1	2.4	2.3	2.5	2.7	2.5	2.3	1.8	2.1	2.8	Food	Food and non-alcoholic drinks	Poultry (fresh, chilled or frozen)
1	0.9	0.9	1	0.9	1	0.9	1	0.7	1	1.1	0.9	1	1.3	Food	Food and non-alcoholic drinks	Bacon and ham
6.2	6.1	6.1	6.4	5.9	5.9	6	6.4	5.4	6.6	6.1	6.1	7	7.4	Food	Food and non-alcoholic drinks	Other meat and meat preparations
2.7	2.8	2	2.5	2.3	2.6	2.4	2.8	3.6	3.1	2.6	2	2.4	2.2	Food	Food and non-alcoholic drinks	Fish and fish products
2.3	2.3	2.2	2.3	2.2	2.5	2.4	2.3	2.3	2.3	2.4	2.3	1.9	2.6	Food	Food and non-alcoholic drinks	Milk
1.9	2	1.5	1.8	1.7	2	1.7	2.2	2.1	2.4	2.1	1.7	1.8	1.7	Food	Food and non-alcoholic drinks	Cheese and curd
0.7	0.7	0.6	0.6	0.6	0.6	0.7	0.7	0.9	0.8	0.7	0.6	0.6	0.7	Food	Food and non-alcoholic drinks	Eggs
2.1	2.1	1.7	1.9	1.8	2.1	1.9	2.2	2.3	2.3	2.3	1.8	1.9	2.2	Food	Food and non-alcoholic drinks	Other milk products
0.5	0.5	0.4	0.5	0.4	0.5	0.5	0.4	0.4	0.5	0.5	0.4	0.6	0.6	Food	Food and non-alcoholic drinks	Butter
0.5	0.5	0.4	0.5	0.4	0.5	0.5	0.5	0.4	0.5	0.5	0.5	0.4	0.4	Food	Food and non-alcoholic drinks	Margarine, other vegetable fats and peanut butter
0.3	0.4	0.2	0.3	0.3	0.3	0.3	0.3	0.7	0.4	0.3	0.3	0.3	0.3	Food	Food and non-alcoholic drinks	Cooking oils and fats
3.5	3.6	2.5	2.9	2.9	3.3	3.2	3.8	4.5	4.1	4	3.1	3	3.5	Food	Food and non-alcoholic drinks	Fresh fruit
0.4	0.4	0.4	0.4	0.3	0.4	0.3	0.4	0.6	0.4	0.4	0.3	0.4	0.5	Food	Food and non-alcoholic drinks	Other fresh, chilled or frozen fruits
0.7	0.8	0.4	0.5	0.5	0.7	0.6	0.8	1.1	1	0.9	0.6	0.6	0.7	Food	Food and non-alcoholic drinks	Dried fruit and nuts
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.1	0.1	0.1	Food	Food and non-alcoholic drinks	Preserved fruit and fruit based products
4.2	4.4	3	3.6	3.5	4.1	3.7	4.6	5.5	5.2	4.8	3.6	3.3	3.4	Food	Food and non-alcoholic drinks	Fresh vegetables
0	0	0	0	0	0	0.1	0	0.1	0.1	0	0	0.1	0	Food	Food and non-alcoholic drinks	Dried vegetables
1.4	1.5	1.2	1.4	1.3	1.4	1.3	1.6	1.7	1.6	1.5	1.2	1.3	1.4	Food	Food and non-alcoholic drinks	Other preserved or processed vegetables
0.9	0.9	0.8	0.9	0.8	0.9	0.9	0.9	0.8	0.9	0.9	0.9	0.7	1.4	Food	Food and non-alcoholic drinks	Potatoes
1.6	1.6	1.6	1.6	1.5	1.7	1.7	1.6	1.3	1.6	1.5	1.6	1.9	2	Food	Food and non-alcoholic drinks	Other tubers and products of tuber vegetables
0.4	0.4	0.3	0.4	0.3	0.4	0.4	0.4	0.4	0.5	0.4	0.4	0.3	0.4	Food	Food and non-alcoholic drinks	Sugar and sugar products
0.3	0.3	0.3	0.3	0.2	0.3	0.3	0.3	0.4	0.3	0.3	0.3	0.3	0.4	Food	Food and non-alcoholic drinks	Jams, marmalades
1.9	1.9	1.6	1.9	1.6	1.9	1.8	2.1	1.7	2.1	2	2	1.8	2.3	Food	Food and non-alcoholic drinks	Chocolate
